target_gene	real_shift_mean_abs
GATA1	0.1189075364544144
AQR	0.1113893838070112
POLR2K	0.1041667245342168
SUPT6H	0.1017764750792651
MED9	0.0976897972722073
RPS8	0.0952840999236544
INTS2	0.0947076102176551
MED30	0.0922285938547565
PAF1	0.0900719845123344
SRSF3	0.0898243302775474
SUPT5H	0.0891519292060485
SARS	0.0890230741280468
SLU7	0.0876930499416729
MED18	0.0876438652374785
PRPF31	0.0872800019967673
MED21	0.086728199920274
FIP1L1	0.0863038889523492
MED4	0.0859397035943334
EIF2S3	0.0847906136414545
AARS	0.0840241721710641
PSMA5	0.0836991680310953
PSMD2	0.0834245564261206
PHB	0.0833056969664148
RTF1	0.0832295263687891
RPL27	0.0829798539862106
HSPA9	0.0826581893283557
NPAT	0.0822888214433382
EIF2S1	0.0821612884688525
MED12	0.0817810193617805
CTR9	0.0809935688505982
PLRG1	0.0807743435000644
SUPT16H	0.080677114154294
MED7	0.080516547255583
CHMP3	0.0804876320697412
SNRPF	0.080390908027459
MED17	0.079455489690204
POLR2H	0.0793361220351287
TAF5	0.0792854670072301
DNAJC17	0.0786094121907645
RPL17	0.0785881165984066
FAM136A	0.0782113906051784
TAF10	0.0779199732566979
RPS4X	0.076760832750397
RBBP5	0.0766556162800381
FAM50A	0.0758523758308847
INTS5	0.0758444416688249
RBM25	0.0755986957697738
INTS8	0.075141883149184
UTP3	0.0749813815401956
CPSF2	0.0747136730830286
RPS15	0.0746731037047412
EP400	0.0740166022455724
SNRPD1	0.0738903087447531
RUVBL1	0.073880955831518
CDC73	0.0737954145871404
SNRPC	0.0737286510908051
CNOT1	0.0734943710254942
INTS4	0.0734664733104962
SFPQ	0.0734293068713663
RPL23A	0.0734268069498702
EXOSC9	0.0730062211345532
PPWD1	0.0727634799859734
TAF1	0.0727377731551104
PHB2	0.072326790225769
TAF12	0.0722713911024887
SMN2	0.0720315859674726
U2AF1	0.0720176482243472
DDX41	0.0720033481601157
POLR2G	0.0718412673297764
RPS13	0.0714683463532024
RPS6	0.071290752552853
VPS28	0.0712751430086399
NOL10	0.0709970109931805
MED1	0.0709492195425943
EIF3B	0.0704832852255514
SMC3	0.0701759258995307
CHAF1A	0.07016078967892
PPIE	0.0699526368971754
RPS26	0.0698978002379187
RPS27A	0.0698674479108284
RPL6	0.0698448175128765
NAT10	0.0698102543668552
RPS18	0.0697174150297411
MED28	0.0694603016736136
EXOSC5	0.0692431815717241
RPL36	0.0691870922872732
NUP62	0.0687138344634128
RPL31	0.0687034102535467
SNRPD3	0.068646541000214
HNRNPK	0.0686267005738673
EXOSC3	0.0680422799526947
DHX15	0.0680130383041097
CPSF4	0.0678261195085423
CSE1L	0.0677376978674175
NUP88	0.0677264863132494
ETF1	0.0675194467797612
BMS1	0.0674518814640859
NFYC	0.0671724368038509
PDCD11	0.0670023945353155
NPLOC4	0.0669715609815333
CPSF6	0.0669453538034721
RPS24	0.0669375306510953
OGT	0.0667875540377081
POLR2I	0.0667027052562776
RPS3	0.0666613139296744
RPL27A	0.0665188233455105
HARS	0.0664790741687526
SF3B5	0.066119252328443
HSPE1	0.0661000475296788
NUDT21	0.0660955988503281
EXOC7	0.0660177490651339
THOC5	0.0658667081735423
RPS16	0.0657168496381599
RRN3	0.0657152605315806
NOL6	0.0656308320618459
XRCC6	0.065470953348043
SNRPE	0.0652917043619859
SF3A3	0.0652059189937409
SYMPK	0.0651427483969839
DMAP1	0.0651176779058139
FBL	0.0650822607223465
HBS1L	0.0650590193813428
WDR82	0.0650486731468212
INTS9	0.0650076804813356
RPL23	0.0650025735156429
ZC3H8	0.0649286637172599
TWISTNB	0.0649170511064159
RPL14	0.06481336005324
SNRNP70	0.0647949007706645
RPS7	0.0645874673347421
TSR2	0.0645258750977947
SMC1A	0.0644480502875919
MPHOSPH10	0.064430337965736
WDR70	0.0644272261145949
KANSL1	0.0644198742145589
TIMM23B	0.0643301615746647
PRPF3	0.0642910266092348
NCBP1	0.0642522089624622
PRPF4	0.0642268210511082
HSPA5	0.0638943038985577
NEPRO	0.0638495085737785
INTS7	0.0638316302781031
DDX47	0.0637849148773951
RPS23	0.0637671878380883
DDX18	0.0636879735182649
MED22	0.0636583809084558
MED19	0.063643973717891
GPN1	0.0634443613836042
GSPT1	0.0633750154449804
DIS3	0.0633560633086675
NOC4L	0.0633288097373427
RPL35	0.063284963470736
RPL19	0.063274901591207
RPS5	0.063043961915421
SRRT	0.0630140506567881
PAK1IP1	0.0630013366422964
FAU	0.0629686097978573
CDC5L	0.062943722074198
MED20	0.0626100923727852
SPC24	0.0625977316803288
SPC25	0.0623758968547908
MED6	0.0623686580462162
PSMD8	0.0623487709401723
PSMC4	0.0621342863700368
NOP2	0.0616524069789813
EXOSC4	0.061323181927815
RPL7L1	0.0613131915449191
PSMB3	0.0612728260499846
VPS35	0.0611099153744292
QARS	0.0609424883784103
EIF2B3	0.0606263424069719
CWC15	0.0606052188833826
GPN3	0.0605709032819924
RPL15	0.0605049767602299
POLR2C	0.0604898164279763
CWC22	0.0604258436574698
TIMM44	0.0602671112291173
PCNA	0.0602476952085737
GPN2	0.0601942614457169
THG1L	0.0601371720040537
TSG101	0.059987224311384
MED29	0.0599557199241274
RPL38	0.0598682164944655
SNRPA1	0.0598549291769824
MAX	0.059824131730591
LSM6	0.059782194619862
SLC7A6OS	0.059696400164562
XAB2	0.0596513235855363
RNF113A	0.0596414032920255
GTF2B	0.0596377800097094
RPS19	0.0596113024713014
EIF3D	0.0594994671059588
POLR1B	0.0594716715539401
SEC61G	0.059361540846646
ATF5	0.0593439448665199
CHAF1B	0.0592460799301271
SETD1A	0.0591812849963531
IMP4	0.0591736363148324
NAA38	0.059161395496546
RPS19BP1	0.059087210635309
CUL7	0.0588677325099734
UTP6	0.0587201177143585
RPS11	0.058554916771533
DHX16	0.0585331649699875
FAM133B	0.0585042666518903
RPL26	0.0584120715509903
LSM2	0.0584028789975712
RPAP2	0.0583921905977471
DARS	0.0583686618647222
RNF4	0.0582114613640791
PPIL4	0.0581368307736758
ZC3H18	0.0579180655743111
TAF7	0.0577637189907124
DNTTIP2	0.0577410184313509
PAM16	0.0577394455361294
IFITM3	0.057735786334338
NOC2L	0.0577033959268592
THOC2	0.0575455736104992
ACTL6A	0.057537570237245
ZNF131	0.0575313291552332
TERF2	0.057526246366572
DNAJC19	0.0575251213364702
RRP7A	0.0575162341404104
WDR5	0.0574746567628604
MED14	0.0573841535984322
PRPF38B	0.057365226314623
EIF2B2	0.0572305786769321
CACTIN	0.0570659597370328
PSMC3	0.0570355864528407
EXOSC2	0.056999369675323
XPO1	0.0568819260979264
VARS	0.056836573295788
PHF5A	0.0567716113653729
EXOSC6	0.0567652723166439
RPAP1	0.0567565446890549
TAF2	0.0567071727172889
UTP15	0.0566801162467764
NOP14	0.0565859517699006
RPS2	0.0565421645351641
CPSF1	0.0563868027951219
MFAP1	0.056308973383073
PSMB2	0.0562831440336202
