cell_line	truth_metric	depmap_endpoint	n_targets	spearman_rho_raw	spearman_pvalue	pearson_r_raw	pearson_pvalue	spearman_rho_aligned	pearson_r_aligned	alignment_note
HCC1143	real_shift_L2	depmap_gene_effect	48	-0.7630264871906209	2.8935720750661314e-10	-0.816416667671228	1.520514840332913e-12	0.7630264871906209	0.816416667671228	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_L2	depmap_gene_dependency	48	0.7612248502417618	3.3715818883980997e-10	0.7373696695795875	2.2681403333994104e-09	0.7612248502417618	0.7373696695795875	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_mean_abs	depmap_gene_effect	48	-0.7807207989578809	5.98037167299349e-11	-0.8317792517562884	2.429744805137044e-13	0.7807207989578809	0.8317792517562884	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_mean_abs	depmap_gene_dependency	48	0.7792497165337711	6.855312366129821e-11	0.7610164660837115	3.431439275203321e-10	0.7792497165337711	0.7610164660837115	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top20_mean	depmap_gene_effect	48	-0.7063612679114198	2.031618496051567e-08	-0.7392195381091036	1.9709816697253723e-09	0.7063612679114198	0.7392195381091036	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top20_mean	depmap_gene_dependency	48	0.7044899548346837	2.2982684286578196e-08	0.68186696055062	9.502474490301064e-08	0.7044899548346837	0.68186696055062	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top50_mean	depmap_gene_effect	48	-0.7295918367346939	4.0425074379002315e-09	-0.759934972591457	3.7585227667130276e-10	0.7295918367346939	0.759934972591457	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top50_mean	depmap_gene_dependency	48	0.7276725388909729	4.648033127539051e-09	0.6850322111505371	7.850326603175066e-08	0.7276725388909729	0.6850322111505371	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top100_mean	depmap_gene_effect	48	-0.7345853234910985	2.7958652484972865e-09	-0.7731835049033611	1.1908963144224787e-10	0.7345853234910985	0.7731835049033611	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top100_mean	depmap_gene_dependency	48	0.7324502142936743	3.276571257029044e-09	0.6907574402302122	5.523367481931381e-08	0.7324502142936743	0.6907574402302122	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top50_concentration	depmap_gene_effect	48	-0.19735128093790705	0.1787819628156735	-0.007090111528647969	0.9618537496405538	0.19735128093790705	0.007090111528647969	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_shift_top50_concentration	depmap_gene_dependency	48	0.1953960656172955	0.18321210536010207	0.0054687760993499535	0.9705724729679609	0.1953960656172955	0.0054687760993499535	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_Edistance	depmap_gene_effect	48	-0.7430525401650021	1.4678358654741307e-09	-0.7637191172263746	2.7274197057403974e-10	0.7430525401650021	0.7637191172263746	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_Edistance	depmap_gene_dependency	48	0.740702562716522	1.7596257114289729e-09	0.5938695824260432	8.608422591968998e-06	0.740702562716522	0.5938695824260432	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_DEG_burden	depmap_gene_effect	48	-0.7162847950457641	1.0393346675202138e-08	-0.6270685480850677	1.8520997092775068e-06	0.7162847950457641	0.6270685480850677	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
HCC1143	real_DEG_burden	depmap_gene_dependency	48	0.7135785375072098	1.2512425966820436e-08	0.3985018874179231	0.005026029929205351	0.7135785375072098	0.3985018874179231	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
