target_gene	7d_real_shift_mean_abs	7d_depmap_gene_dependency	13d_real_shift_mean_abs	13d_depmap_gene_dependency	delta_13d_minus_7d_real_shift_mean_abs	ratio_13d_over_7d_real_shift_mean_abs
CREB1	0.0026383122258462	0.0071578592789096	0.0039865045133055	0.0071578592789096	0.0013481922874592996	1.511005586924757
E2F4	0.0031633745164676	0.0737611734867184	0.0046425123797298	0.0737611734867184	0.0014791378632622002	1.4675822782165824
EGR1	0.0028422518033918	0.0951212499906231	0.0041187526611999	0.0951212499906231	0.0012765008578081	1.4491160340842384
ELF1	0.0023201360490387	0.0214694821905055	0.0033302761709936	0.0214694821905055	0.0010101401219548998	1.4353796935198824
ELK1	0.0024652698331102	0.0115968945203785	0.0039757957071744	0.0115968945203785	0.0015105258740641995	1.6127223291247232
ETS1	0.0028045103468223	0.0104489076569362	0.0044597684393875	0.0104489076569362	0.0016552580925651996	1.5902128670841664
GABPA	0.0032335956895071	0.3039556555377878	0.0043769327212049	0.3039556555377878	0.0011433370316977997	1.3535807013251182
IRF1	0.0032418031709357	0.0282070976172631	0.0049139718663376	0.0282070976172631	0.0016721686954019	1.5158143808340012
NR2C2	0.0029624276925827	0.0531572523792977	0.0046086260733258	0.0531572523792977	0.0016461983807430996	1.555692341407973
YY1	0.0053201925384121	0.7276949214878715	0.005413713961871	0.7276949214878715	9.352142345889995e-05	1.0175785787419664
