run_id	context	model	role	training_seed	feature_seed	evaluation_setting	inference_family	reported_runtime_json	seed_semantics	endpoint_inference_seed	inference_overrides	inference_seed_record	registration_record	checkpoint_archive
m3|HCC1143|observed_shift_oracle	HCC1143	observed_shift_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|negated_oracle	HCC1143	negated_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|shared_mean_baseline	HCC1143	shared_mean_baseline	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260920	HCC1143	observed_magnitude_random_direction_seed20260920	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260921	HCC1143	observed_magnitude_random_direction_seed20260921	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260922	HCC1143	observed_magnitude_random_direction_seed20260922	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260923	HCC1143	observed_magnitude_random_direction_seed20260923	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260924	HCC1143	observed_magnitude_random_direction_seed20260924	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260925	HCC1143	observed_magnitude_random_direction_seed20260925	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260926	HCC1143	observed_magnitude_random_direction_seed20260926	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260927	HCC1143	observed_magnitude_random_direction_seed20260927	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260928	HCC1143	observed_magnitude_random_direction_seed20260928	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260929	HCC1143	observed_magnitude_random_direction_seed20260929	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_shift_oracle	HCC38	observed_shift_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|negated_oracle	HCC38	negated_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|shared_mean_baseline	HCC38	shared_mean_baseline	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260920	HCC38	observed_magnitude_random_direction_seed20260920	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260921	HCC38	observed_magnitude_random_direction_seed20260921	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260922	HCC38	observed_magnitude_random_direction_seed20260922	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260923	HCC38	observed_magnitude_random_direction_seed20260923	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260924	HCC38	observed_magnitude_random_direction_seed20260924	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260925	HCC38	observed_magnitude_random_direction_seed20260925	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260926	HCC38	observed_magnitude_random_direction_seed20260926	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260927	HCC38	observed_magnitude_random_direction_seed20260927	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260928	HCC38	observed_magnitude_random_direction_seed20260928	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC38|observed_magnitude_random_direction_seed20260929	HCC38	observed_magnitude_random_direction_seed20260929	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m4|HCC1143|cellot_hcc_seed123_retrain_v1	HCC1143	cellot_hcc_seed123_retrain_v1	formal	123	not_applicable_or_not_recorded	same-context fit includes scored-target cells; A010 formal seed-123 retraining	m4	"{""n_iters"": 1000, ""n_inner_iters"": 10, ""learning_rate"": 0.0001, ""batch_size"": 256, ""datasplit_random_state"": 0, ""checkpoint_selection"": ""沿用原训练程序的固定步数MMD最优model.pt，不用endpoint分数选checkpoint"", ""seed"": 123, ""runtime"": {""environment"": ""cellot"", ""device"": ""cpu"", ""torch_threads"": 1, ""torch_interop_threads"": 1, ""deterministic_algorithms"": true, ""max_workers"": 4, ""python_hash_seed"": 123, ""blas_threads"": 1}}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20933264	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	WTShiftBench_v1.2.1_cellot_training_20260912.zip
m4|HCC1143|cpa_v0.8.8	HCC1143	cpa_v0.8.8	formal	not_applicable_or_not_recorded	not_applicable_or_not_recorded	same-context CPA fit includes all scored perturbation labels	m4	"{""batch_size"": 256, ""device"": ""cuda:0"", ""early_stopping_patience"": 15, ""max_epochs"": 400, ""n_latent"": 64, ""seed"": 1}"	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20689055	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	reports/revision/finalization_v2/m4/model_training_evaluation_registry.tsv	not_in_this_training_archive
