path	figure_group	bytes	sha256
figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_a_source_data.tsv	Extended_Data_Figure_1	1106	77bf2d473c0275aa93f57ad7548d3f5c4e0010f5b1c84b13f9fce2296f81a34d
figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_b_source_data.tsv	Extended_Data_Figure_1	1875082	08cd7229533e10e00135d849b6ac63fdf8726b47e9f52e90ee61bb8bc0ab7fc4
figures/Extended_Data_Figure_1/panels/Extended_Data_Figure_1_panel_c_source_data.tsv	Extended_Data_Figure_1	1629083	acbee30b9dbd7de0435e775b83c3a3c35f9ac4ac7ff04ddd0dfe4722b13aae25
figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_a_source_data.tsv	Extended_Data_Figure_2	8133	924fbc0ccb289f9c0c49ca4007b1975e3f8d2e6639b855817c06ffef17920d63
figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_b_source_data.tsv	Extended_Data_Figure_2	4181	fa734c4aa2703d15497f5bbd6aa60a5827c072d05ebea9b2601d5b081caa5d97
figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_c_source_data.tsv	Extended_Data_Figure_2	2793	0b2ac0fb96d5c8f908ab7917195fc45f087d0247844291252301c3be22c8165b
figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_d_source_data.tsv	Extended_Data_Figure_2	734	b4fea3931d761e16c2fbf6dd2b15f82795cbc483cd9c3c88cee957854d65aab5
figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_e_source_data.tsv	Extended_Data_Figure_2	1060	86f4164ad7f961bebd76a9571f4c6b415b58ba6ff9c8365d524e1bc67893dd10
figures/Extended_Data_Figure_2/panels/Extended_Data_Figure_2_panel_f_source_data.tsv	Extended_Data_Figure_2	2177	b877d2f56293dfaddcb27b9602cc3daef7b253c0caa557f90dfb7239a898da62
figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_a_source_data.tsv	Extended_Data_Figure_3	4164	8bf9c130c6226c1e2c154746e8e5a738862bbb7910b0a064003fc76a405f32bd
figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_b_source_data.tsv	Extended_Data_Figure_3	4184	ac5b2c8f9142618179632cabf41a4ab9f3d8b566433b4c94b92c611d3d8b6b4b
figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_c_source_data.tsv	Extended_Data_Figure_3	655658	600dfe3963a02cdd7c89bef7674e0d4340e32a0559cd1a6e8f7e93869ba35be8
figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_d_source_data.tsv	Extended_Data_Figure_3	3223878	26510811c8419ec2d0976dd1b700fd349094204c800be592508155fa285a3970
figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_e_source_data.tsv	Extended_Data_Figure_3	354409	ac9a8657b5e1c7aab640a49c9a7a8e3fcad4c3368fd6b5cf162587ade13e35a8
figures/Extended_Data_Figure_3/panels/Extended_Data_Figure_3_panel_f_source_data.tsv	Extended_Data_Figure_3	580589	0addb46190b4d8dc0ca9638c3ed6d8ac2cb044014656ee4dfa25a5d786ac2f32
figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_a_source_data.tsv	Extended_Data_Figure_4	5373	6f7ff5b97b78307535cbbeefa0dd6a83f82082d2d614c5e170cb4f916e93e97e
figures/Extended_Data_Figure_4/panels/Extended_Data_Figure_4_panel_b_source_data.tsv	Extended_Data_Figure_4	10209	423d4e1574754f1b8a1f0ccc0ab19bc01a2c2daaabf4fabd756ef4e4e7a55dd4
figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_a_source_data.tsv	Extended_Data_Figure_5	2880	d2e8f2ea32cf985e6c136996c94c144b82e8c6f513369c9de95339a393f2ba6a
figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_b_source_data.tsv	Extended_Data_Figure_5	1375832	c5775aa874d4b0587537e46695b577f018808cc96068b0dee027c8456b691635
figures/Extended_Data_Figure_5/panels/Extended_Data_Figure_5_panel_c_source_data.tsv	Extended_Data_Figure_5	3507	689291c35a0d793f936c040bba9bacd1ea7d74ca73ddc5d4c397a9ad44f513c6
