cell_line	truth_metric	depmap_endpoint	n_replicates	spearman_aligned_mean	spearman_aligned_std	spearman_aligned_q025	spearman_aligned_q50	spearman_aligned_q975	configured_replicates	completed_replicates	formal_interval_citable	sensitivity_claim_status
HCC38	real_shift_L2	depmap_gene_effect	24	0.7003787002775209	0.00912747189895722	0.6831348288621647	0.7009713228492137	0.7138471322849215	24	24	True	formal_interval_citable
HCC38	real_shift_L2	depmap_gene_dependency	24	0.7005483124741358	0.009128888836629113	0.6832947879470607	0.7011650432232396	0.7139834063866429	24	24	True	formal_interval_citable
HCC38	real_shift_mean_abs	depmap_gene_effect	24	0.724849676225717	0.010338204801663099	0.7053393848288623	0.7249074930619797	0.7406452358926919	24	24	True	formal_interval_citable
HCC38	real_shift_mean_abs	depmap_gene_dependency	24	0.7252922246774353	0.010338608823339488	0.7057890783788247	0.7253620887076071	0.7410713772574343	24	24	True	formal_interval_citable
HCC38	real_shift_top20_mean	depmap_gene_effect	24	0.6321307431390688	0.012991427800334495	0.6084701665124884	0.636158649398705	0.6506706753006476	24	24	True	formal_interval_citable
HCC38	real_shift_top20_mean	depmap_gene_dependency	24	0.6322020181300987	0.013008278775586985	0.6085051027375825	0.6361770405364315	0.650831141320214	24	24	True	formal_interval_citable
HCC38	real_shift_top50_mean	depmap_gene_effect	24	0.6285846438482886	0.013966451561064493	0.6047005087881592	0.6317645698427383	0.6514512025901943	24	24	True	formal_interval_citable
HCC38	real_shift_top50_mean	depmap_gene_dependency	24	0.6287256803529241	0.013958353829895636	0.6048090546310396	0.6319273802183885	0.6515278543383421	24	24	True	formal_interval_citable
HCC38	real_shift_top100_mean	depmap_gene_effect	24	0.6325306429232193	0.01533225044526243	0.6016622340425533	0.6354070305272896	0.657099907493062	24	24	True	formal_interval_citable
HCC38	real_shift_top100_mean	depmap_gene_dependency	24	0.6326404751470397	0.01533558863312278	0.6017706920499082	0.6354832184436898	0.6572099681853583	24	24	True	formal_interval_citable
