target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	195	1325	0.15980648282535076	num_umis_quantile_bin	4
BMPR1A	93	1325	0.13498072631365393	num_umis_quantile_bin	4
CDKN2A	169	1325	0.16469800156302333	num_umis_quantile_bin	4
COMMD6	324	1325	0.05802003261122758	num_umis_quantile_bin	4
ENY2	161	1325	0.12393296613148952	num_umis_quantile_bin	4
ERC1	412	1325	0.12039018135189594	num_umis_quantile_bin	4
ETV3	187	1325	0.1262839269498537	num_umis_quantile_bin	4
GON4L	115	1325	0.1607875307629204	num_umis_quantile_bin	4
HDGF	319	1325	0.09825516058437332	num_umis_quantile_bin	4
HLX	213	1325	0.06915404375941185	num_umis_quantile_bin	4
KLF3	223	1325	0.09496573314155173	num_umis_quantile_bin	4
LAMTOR5	274	1325	0.1949208098058119	num_umis_quantile_bin	4
MAML3	341	1325	0.0888507718696398	num_umis_quantile_bin	4
MIER1	254	1325	0.047333234289110085	num_umis_quantile_bin	4
MTDH	290	1325	0.12774235523747562	num_umis_quantile_bin	4
MYBL1	142	1325	0.23604039330321547	num_umis_quantile_bin	4
NCOA1	334	1325	0.1560908371935375	num_umis_quantile_bin	4
NPM1	125	1325	0.17841509433962266	num_umis_quantile_bin	4
PA2G4	154	1325	0.05228620436167601	num_umis_quantile_bin	4
PARK7	215	1325	0.13632294866169375	num_umis_quantile_bin	4
PCBD1	214	1325	0.10292364662317052	num_umis_quantile_bin	4
PEX14	282	1325	0.031765020741335484	num_umis_quantile_bin	4
PFDN5	57	1325	0.12021185038066864	num_umis_quantile_bin	4
PMF1	40	1325	0.17141509433962263	num_umis_quantile_bin	4
PRDX2	186	1325	0.04985595455467641	num_umis_quantile_bin	4
PRPF6	23	1325	0.1922559474979491	num_umis_quantile_bin	4
RORC	230	1325	0.19904840032813784	num_umis_quantile_bin	4
RPS3	72	1325	0.17006289308176104	num_umis_quantile_bin	4
RUVBL2	51	1325	0.07501294857565666	num_umis_quantile_bin	4
SMAD1	299	1325	0.12258724048715847	num_umis_quantile_bin	4
SMAD5	186	1325	0.06400486914181376	num_umis_quantile_bin	4
SS18L2	26	1325	0.1572423802612482	num_umis_quantile_bin	4
STAT3	305	1325	0.01592329106093411	num_umis_quantile_bin	4
TAB3	222	1325	0.15150433452320244	num_umis_quantile_bin	4
TADA3	133	1325	0.11482479784366575	num_umis_quantile_bin	4
THAP8	335	1325	0.13458744015770208	num_umis_quantile_bin	4
THRA	188	1325	0.13490164592533116	num_umis_quantile_bin	4
TMF1	145	1325	0.09834743005855563	num_umis_quantile_bin	4
TMSB4X	266	1325	0.1620173074194921	num_umis_quantile_bin	4
UBP1	267	1325	0.07338279980213411	num_umis_quantile_bin	4
UXT	19	1325	0.11177755710029794	num_umis_quantile_bin	4
VEZF1	255	1325	0.09163152053274139	num_umis_quantile_bin	4
XBP1	314	1325	0.11584184593197933	num_umis_quantile_bin	4
YBX1	177	1325	0.2548086557936254	num_umis_quantile_bin	4
ZBTB17	75	1325	0.18641509433962267	num_umis_quantile_bin	4
ZBTB20	315	1325	0.24263551961665167	num_umis_quantile_bin	4
ZBTB5	212	1325	0.14716981132075468	num_umis_quantile_bin	4
ZNF131	43	1325	0.39757788503729713	num_umis_quantile_bin	4
ZNF24	462	1325	0.09750878052764844	num_umis_quantile_bin	4
ZNF566	372	1325	0.14176506390748628	num_umis_quantile_bin	4
