cell_line	model_a	model_b	conventional_distance	audit_profile_distance	discordance_ratio	conventional_distance_median	audit_profile_distance_median	is_predefined_candidate
HCC1143	cpa_v0.8.8	geneformer_hcc_formal_v1	0.03533685675002366	2.6955060202868077	9.446750241060768	0.9529706246952125	2.75855085048033	False
HCC1143	cpa_v0.8.8	lm_g_geneformer_ridge_hcc_formal_v1	0.2302149512638716	3.132794841462259	6.523734492683113	0.9529706246952125	2.75855085048033	True
HCC1143	geneformer_hcc_formal_v1	lm_g_geneformer_ridge_hcc_formal_v1	0.25262095024752873	3.1652727417432747	6.297534434616094	0.9529706246952125	2.75855085048033	True
HCC1143	cpa_v0.8.8	lm_train_lowrank_hcc_formal_v1	0.40126512718623514	3.4174286841123678	5.247369376089937	0.9529706246952125	2.75855085048033	True
HCC1143	cpa_v0.8.8	lm_g_scgpt_ridge_hcc_formal_v1	0.35296534531169377	3.064054012330388	5.081641981839722	0.9529706246952125	2.75855085048033	True
HCC1143	cpa_v0.8.8	scgpt_hcc_formal_v1	0.3547985767208482	2.997542774714284	4.956266251429747	0.9529706246952125	2.75855085048033	True
HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	scgpt_hcc_formal_v1	0.23855246663184543	1.9409239078052212	3.9728054617884627	0.9529706246952125	2.75855085048033	False
HCC1143	geneformer_hcc_formal_v1	lm_g_scgpt_ridge_hcc_formal_v1	0.3290273758887698	2.1924346697299115	3.786409349583282	0.9529706246952125	2.75855085048033	False
HCC1143	geneformer_hcc_formal_v1	lm_train_lowrank_hcc_formal_v1	0.3682685347379201	2.0990689719605573	3.3950764983541313	0.9529706246952125	2.75855085048033	False
HCC1143	geneformer_hcc_formal_v1	scgpt_hcc_formal_v1	0.3894002000272872	1.7839356673698477	2.7900142466231888	0.9529706246952125	2.75855085048033	False
HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	lm_train_lowrank_hcc_formal_v1	0.5146632266929587	1.927954392138797	2.5213117681582244	0.9529706246952125	2.75855085048033	False
HCC1143	gears_hcc_formal_v1	geneformer_hcc_formal_v1	0.9699246067282211	2.8215956806738522	2.312926278486369	0.9529706246952125	2.75855085048033	False
HCC1143	gears_hcc_formal_v1	scgpt_hcc_formal_v1	0.5828822766750233	1.8321307327687024	2.1997475322476685	0.9529706246952125	2.75855085048033	False
HCC1143	gears_hcc_formal_v1	scgen_hcc_formal_v1	2.2013095073505204	5.3305026661974795	2.1745530909962136	0.9529706246952125	2.75855085048033	False
HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	lm_g_scgpt_ridge_hcc_formal_v1	0.38942192014199567	1.362614702887832	2.131010307849999	0.9529706246952125	2.75855085048033	False
HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	lm_train_lowrank_hcc_formal_v1	0.17092294315108966	0.829307327994344	1.9702117489392004	0.9529706246952125	2.75855085048033	False
HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	scgen_hcc_formal_v1	2.965866652954507	6.254067534967713	1.9447533775139356	0.9529706246952125	2.75855085048033	False
HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	scgpt_hcc_formal_v1	0.6205637509100419	1.548882521273429	1.7791718523247815	0.9529706246952125	2.75855085048033	False
HCC1143	cpa_v0.8.8	gears_hcc_formal_v1	0.9360166426622041	2.065050649553231	1.7411649847660606	0.9529706246952125	2.75855085048033	False
HCC1143	gears_hcc_formal_v1	lm_train_lowrank_hcc_formal_v1	1.2804045770099608	2.566987170348667	1.6773258580838388	0.9529706246952125	2.75855085048033	False
HCC1143	cpa_v0.8.8	scgen_hcc_formal_v1	3.1327518232580083	5.643547646084171	1.6683303833530232	0.9529706246952125	2.75855085048033	False
HCC1143	scgen_hcc_formal_v1	scgpt_hcc_formal_v1	2.7779615889556144	4.998593260834172	1.650811317774429	0.9529706246952125	2.75855085048033	False
HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	scgen_hcc_formal_v1	3.3375886883208437	5.784677670067374	1.6124138446804137	0.9529706246952125	2.75855085048033	False
HCC1143	gears_hcc_formal_v1	lm_g_geneformer_ridge_hcc_formal_v1	0.765766118566261	1.5809514757084797	1.5564128856158046	0.9529706246952125	2.75855085048033	False
HCC1143	gears_hcc_formal_v1	lm_g_scgpt_ridge_hcc_formal_v1	1.1455713684645055	2.1401512542971077	1.5335304970120127	0.9529706246952125	2.75855085048033	False
HCC1143	lm_train_lowrank_hcc_formal_v1	scgpt_hcc_formal_v1	0.7263039841752496	1.4706583230017112	1.506352884797532	0.9529706246952125	2.75855085048033	False
HCC1143	lm_train_lowrank_hcc_formal_v1	scgen_hcc_formal_v1	3.479711557658366	5.573217654171831	1.4942757819242403	0.9529706246952125	2.75855085048033	False
