cell_line	context_role	target_gene	raw_category	corrected_category	category_changed_from_raw	observed_shift_mean_abs	noise_corrected_shift	equal_n_primary_shift	depmap_gene_dependency
HCC1143	qualified_primary_context	ARID1A	middle	endpoint_anchor	True	0.0073327186787757	0.0025274853359367	0.0149698629334307	0.2654515287532237
HCC1143	qualified_primary_context	BMPR1A	middle	dependency_excess	True	0.0070281282052424	0.0003716073858904	0.013708179679072	0.307130270365165
HCC1143	qualified_primary_context	CDKN2A	middle	low_information	True	0.0050523230156554	-5.524423694538636e-05	0.0137339112205155	6.198489826465077e-05
HCC1143	qualified_primary_context	COMMD6	middle	middle	False	0.0045342930040741	0.0005475981761952	0.014072970551924	0.1351756293730245
HCC1143	qualified_primary_context	ENY2	middle	middle	False	0.0105137437444661	0.0052970777139176	0.0176433942167485	0.148881151602389
HCC1143	qualified_primary_context	ERC1	middle	middle	False	0.0048784834929897	0.0011727642485481	0.0140050132111776	0.0303840215886299
HCC1143	qualified_primary_context	ETV3	middle	middle	False	0.0053871026377591	0.0004824127798667	0.0136492645426465	0.1444988533493548
HCC1143	qualified_primary_context	GON4L	middle	middle	False	0.0076879048971422	0.001639764285359	0.0150544461269532	0.1493363288328347
HCC1143	qualified_primary_context	HDGF	middle	middle	False	0.0039901671750222	-2.232035737835883e-06	0.0139084989174735	0.0196252078195258
HCC1143	qualified_primary_context	HLX	middle	middle	False	0.0050212083343797	0.0003806089003583	0.0136070111463687	0.0236239287972883
HCC1143	qualified_primary_context	KLF3	middle	middle	False	0.0053919861225157	0.0008195901120722	0.0141017240814643	0.0369385703770605
HCC1143	qualified_primary_context	LAMTOR5	middle	middle	False	0.0093777769035242	0.0051478700974567	0.0167635470247819	0.1226400958971878
HCC1143	qualified_primary_context	MAML3	low_information	low_information	False	0.0042930848646172	0.0003873163964322	0.0140282318980046	0.0050198572939971
HCC1143	qualified_primary_context	MIER1	middle	middle	False	0.0057833931966825	0.001451416208981	0.0147550627671587	0.0105919574277721
HCC1143	qualified_primary_context	MTDH	middle	middle	False	0.0047338690320834	0.0006004795018292	0.0140549787094812	0.0123435627679496
HCC1143	qualified_primary_context	MYBL1	middle	middle	False	0.0084130142568229	0.002892924147223	0.0155542507092412	0.0210310036855235
HCC1143	qualified_primary_context	NCOA1	middle	middle	False	0.0039071575713196	-3.731790556072735e-05	0.0137410260822874	0.0248991192692647
HCC1143	qualified_primary_context	NPM1	middle	middle	False	0.0074812035133293	0.0016454699152962	0.0150195113414971	0.1622748801750765
HCC1143	qualified_primary_context	PA2G4	middle	middle	False	0.0059315461556859	0.0006252623413598	0.0141723685067049	0.0861889371200693
HCC1143	qualified_primary_context	PARK7	middle	middle	False	0.0061480042391653	0.0015154817356561	0.0155558797909663	0.1318604273725387
HCC1143	qualified_primary_context	PCBD1	middle	low_information	True	0.004675198066501	3.5101351587623654e-05	0.0136014740086021	0.0111916491629234
HCC1143	qualified_primary_context	PEX14	middle	middle	False	0.0044493142820248	0.000275420560782	0.0137277437581533	0.0227993432195642
HCC1143	qualified_primary_context	PFDN5	endpoint_anchor	endpoint_anchor	False	0.0102329499993855	0.0019242298235236	0.0150359383243839	0.9694975960688984
HCC1143	qualified_primary_context	PMF1	endpoint_anchor	endpoint_anchor	False	0.0127756932567781	0.0029423176940619	0.0165014583059142	0.9510487581740272
HCC1143	qualified_primary_context	PRDX2	middle	middle	False	0.0055213995831513	0.0006112575546722	0.0144906463072833	0.1660158727868937
HCC1143	qualified_primary_context	PRPF6	endpoint_anchor	endpoint_anchor	False	0.0154111896961658	0.0025883202614396	0.0161807344389335	1.0
HCC1143	qualified_primary_context	RORC	middle	middle	False	0.0045634026869297	5.970803625961543e-05	0.0139372663017795	0.0451125018855452
HCC1143	qualified_primary_context	RPS3	endpoint_anchor	middle	True	0.007860948328555	0.0004164407695485	0.0137170944049595	1.0
HCC1143	qualified_primary_context	RUVBL2	endpoint_anchor	endpoint_anchor	False	0.0119327730703482	0.0031427387771154	0.0165176193828915	1.0
HCC1143	qualified_primary_context	SMAD1	middle	middle	False	0.0045476060135123	0.0004516434159773	0.0139675303944863	0.0296077539081418
HCC1143	qualified_primary_context	SS18L2	endpoint_anchor	endpoint_anchor	False	0.0243279181183303	0.0122222557914382	0.0257390744257771	1.0
HCC1143	qualified_primary_context	STAT3	low_information	middle	True	0.0045791788860737	0.0005131955358154	0.0143945461907458	0.0037329167002494
HCC1143	qualified_primary_context	TAB3	middle	middle	False	0.0060275444241772	0.0014569268678928	0.014327028238195	0.0084525379475361
HCC1143	qualified_primary_context	TADA3	endpoint_anchor	endpoint_anchor	False	0.0103750807743799	0.0047211986633615	0.0160917754849646	0.2498577956515995
HCC1143	qualified_primary_context	THAP8	middle	middle	False	0.0050716034302432	0.0011315266762759	0.0142088431343581	0.0157775614105068
HCC1143	qualified_primary_context	THRA	middle	middle	False	0.0053431820384494	0.0004492409036489	0.0135790008209455	0.0463338341696651
HCC1143	qualified_primary_context	TMF1	middle	middle	False	0.0058951763799742	0.0004469662783664	0.0142446622581542	0.1394316818255967
HCC1143	qualified_primary_context	TMSB4X	low_information	low_information	False	0.0039703565382887	-0.0002807008856658	0.0136805234721719	0.0090048231316929
HCC1143	qualified_primary_context	UBP1	middle	low_information	True	0.0046551429363536	0.000382982434592	0.0137379232211518	0.0108785135935251
HCC1143	qualified_primary_context	VEZF1	middle	middle	False	0.0060274132373266	0.0016981011330781	0.0148777256073332	0.0275909199432945
HCC1143	qualified_primary_context	XBP1	middle	middle	False	0.0045885756847594	0.0005622989990018	0.0137870458249493	0.0085039693399301
HCC1143	qualified_primary_context	YBX1	endpoint_anchor	endpoint_anchor	False	0.0077493948528648	0.0027372039056544	0.0155480560864399	0.9913468022551738
HCC1143	qualified_primary_context	ZBTB17	endpoint_anchor	endpoint_anchor	False	0.010587215682323	0.0032471002507312	0.0164688414805113	0.7578619386258375
HCC1143	qualified_primary_context	ZBTB20	low_information	low_information	False	0.0043814448697306	0.0003629878206648	0.0139176135800308	0.0078803596044426
HCC1143	qualified_primary_context	ZBTB5	middle	middle	False	0.0053368219337521	0.0006902378432346	0.0138445684265129	0.0773557703888747
HCC1143	qualified_primary_context	ZNF131	endpoint_anchor	middle	True	0.0105522037854389	0.0010507528033756	0.0147138934154576	0.9463812533969612
HCC1143	qualified_primary_context	ZNF24	low_information	middle	True	0.0043616307953344	0.0007716042444563	0.0138434021731109	0.0092505619875028
HCC1143	qualified_primary_context	ZNF566	low_information	middle	True	0.0044548810181222	0.0006522417044015	0.0135882904776845	0.0082561267211935
HCC38	sensitivity_boundary_context	ARID1A	middle	middle	False	0.0085365617536346	0.0042572862999502	0.0187305108965319	0.0939245801107399
HCC38	sensitivity_boundary_context	BMPR1A	middle	middle	False	0.0056197913890013	0.000340389816312	0.0158109493883429	0.2329854350238944
HCC38	sensitivity_boundary_context	CDKN2A	low_information	low_information	False	0.0040551040534158	-7.83487363521405e-05	0.0157968638185981	0.0034117871973033
HCC38	sensitivity_boundary_context	COMMD6	low_information	low_information	False	0.0042202270388882	6.78145213169612e-05	0.0158610467523189	0.0087958879569685
HCC38	sensitivity_boundary_context	ENY2	endpoint_anchor	endpoint_anchor	False	0.0103397858020701	0.0026942573104302	0.0174832487292563	0.4895161201697765
