model_id	object_role	cell_line	endpoint_recovery_score	common_response_score	common_response_quadrant	mean_stress_axis_share	mean_top_axis_share	mean_target_axis_cosine_proxy	panel	target_identity_preservation_spearman	target_identity_preservation_pvalue	target_identity_label_permutation_pvalue	target_identity_label_permutation_zscore	target_identity_preservation_status	target_identity_n_pairs	predicted_target_similarity_mean	observed_target_similarity_mean	target_identity_label_permutation_qvalue	target_gene	fine_axis	projected_mean_abs	label
cellot_hcc_formal_v1	entrant	HCC1143	1.1644666682169402	0.2569163937652669	high_recovery/low_common	0.123652731668838	0.1200363064522831	0.9348539590940624	a													
cellot_hcc_formal_v1	entrant	HCC38	0.535104012779166	0.2528416842528738	low_recovery/low_common	0.0943047769525485	0.1164369120243864	0.9169762074678888	a													
cpa_v0.8.8	candidate	HCC1143	-1.271227215776623	0.907800958985443	low_recovery/high_common	0.2634075972395723	0.1974494839356401	0.9938789985197216	a													
cpa_v0.8.8	candidate	HCC38	1.3133024645927576	0.6605230189798669	high_recovery/high_common	0.175418486224289	0.0935251129924128	0.9846092868407312	a													
gears_hcc_formal_v1	entrant	HCC1143	0.6308542779548804	0.1065350359555124	low_recovery/low_common	0.1000376672244845	0.1240927683255225	0.8951722923241306	a													
gears_hcc_formal_v1	entrant	HCC38	1.3672536929012795	0.3218258701853763	high_recovery/low_common	0.0835094002854025	0.1475447730062259	0.9296548583009722	a													
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	0.5493274545802985	0.1449922281442987	low_recovery/low_common	0.0830625690272641	0.1113892663851426	0.9305959190636376	a													
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	0.5801109996819873	0.339077516584952	low_recovery/low_common	0.083009868139477	0.1503240631485726	0.9336356310905876	a													
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	0.6187361160599738	0.1656279901845046	low_recovery/low_common	0.1091571012565679	0.1223953683524476	0.9109621949734708	a													
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	1.0958920807196828	0.5188067113229822	low_recovery/high_common	0.0984713473943082	0.1635213057673427	0.9672754806151588	a													
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	1.4176800562405845	0.2987954814104352	high_recovery/low_common	0.1167486285801652	0.1424783040589142	0.932085031380762	a													
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	1.4573236370680276	0.4010322335752296	high_recovery/high_common	0.120397980235844	0.1426414537599799	0.9270389877073802	a													
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	0.8627817884676641	0.287131891462135	low_recovery/low_common	0.1395152442519359	0.1499963305647873	0.906949264095796	a													
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	1.9491623961271196	0.3113900489545178	high_recovery/low_common	0.1046763184106925	0.1260066823169737	0.9212922727194258	a													
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	-0.067834692573133	0.2382628746451952	low_recovery/low_common	0.0907985362917787	0.1299242228586277	0.9396809649994838	a													
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	1.1272633904034095	0.3513107291948283	high_recovery/low_common	0.0839248186645132	0.1578913846471374	0.9327295093160508	a													
geneformer_hcc_formal_v1	entrant	HCC1143	1.2510034110345924	0.4911981833535601	high_recovery/high_common	0.2119450320739361	0.1620241450308775	0.9192108781093258	a													
geneformer_hcc_formal_v1	entrant	HCC38	0.4274116709700121	0.466846360777347	low_recovery/high_common	0.1438923810347894	0.1408777879246397	0.9291348289139942	a													
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	1.145053473235152	0.4829846138904355	high_recovery/high_common	0.1791873046208924	0.1532305977575393	0.94507355851241	a													
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	1.1363153618638222	0.3999111287861076	high_recovery/low_common	0.1177632390416096	0.1505224925161823	0.9248086472556568	a													
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	-0.2838018694423823	0.5811138504970058	low_recovery/high_common	0.1607493422876829	0.1827740287688959	0.9616820954827796	a													
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	0.3280408597569585	0.5486269916442886	low_recovery/high_common	0.1443281198130645	0.1788152388658025	0.93363308567578	a													
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	1.0934215344881302	0.5386050566035546	high_recovery/high_common	0.1531050580537135	0.2042215452982777	0.9319545672906162	a													
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	1.104278326268875	0.5696369544770917	low_recovery/high_common	0.1285400120185772	0.2102422462537024	0.9360862313311168	a													
null_model		HCC1143			not_estimable				a													
null_model		HCC38			not_estimable				a													
scgen_hcc_formal_v1	entrant	HCC1143	2.426114108989938	0.2991877244175069	high_recovery/high_common	0.1626420632393037	0.1656734533473	0.8818781700360901	a													
scgen_hcc_formal_v1	entrant	HCC38	2.8461055385644096	0.2739552578539064	high_recovery/low_common	0.1150867638969521	0.1511118076141621	0.8901953447325545	a													
scgpt_hcc_formal_v1	entrant	HCC1143	1.20048332371371	0.54508551239525	high_recovery/high_common	0.177200349280991	0.2201388089665744	0.9041825945686676	a													
scgpt_hcc_formal_v1	entrant	HCC38	0.7447646481151986	0.6144383695225172	low_recovery/high_common	0.17156083918556	0.219776312401316	0.9117614303167502	a													
shared_mean_baseline	baseline	HCC1143	1.5438113314697843	0.7811051074844687	high_recovery/high_common	0.1550951550886698	0.2303550879099205	0.9875957405742796	a													
shared_mean_baseline	baseline	HCC38	2.991590451663796	0.6666666666666666	high_recovery/high_common	0.0482329246293423	0.2879265842906668	0.9863820994399072	a													
cellot_hcc_formal_v1	entrant	HCC38							b	0.0573004959352234	0.0596562149619813	0.1458541458541458	1.0742101582128156	estimated	1081.0	0.3270921291540744	0.0573125562535606	0.3473193473193474				
cpa_v0.8.8	candidate	HCC38							b	0.0330358918939869	0.2778276555247682	0.2307692307692307	0.7299861387382959	estimated	1081.0	0.9943975900943736	0.0573125562535606	0.4615384615384615				
gears_hcc_formal_v1	entrant	HCC38							b	0.0957375941622403	0.0016253773209933	0.0359640359640359	1.9311724207648389	estimated	1081.0	0.5460301042813953	0.0573125562535606	0.2237762237762237				
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38							b	0.052526813047639	0.0843114613501531	0.1488511488511488	1.0489699766820388	estimated	1081.0	0.6182453610071568	0.0573125562535606	0.3473193473193474				
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38							b	-0.0415299439201624	0.1724247678912987	0.7652347652347652	-0.7703723837694278	estimated	1081.0	0.8195872415007046	0.0573125562535606	0.8423883808499194				
