path	bytes	sha256	role
LICENSE	1087	04d6275bc2bb6709e146c95314448d152bb9d3872a5314e8158b06978c69b3d0	frozen_bundle_member
README.md	4309	384eb2858b1a9a1c987b6db8cea77a0f54b7a4490dbf91384b7066f0f1799994	public_documentation
archive_manifest.json	164093	2a3a6523410f9da735138fc7fcbd4fb7a2193dfd61ab0e93cd7e7a75b25debe4	current_matrix_archive_manifest
build_figures.py	34644	784dbda2c9922f04cedf173aa29aadf949f54aa060233bcea33595c5d41431d8	generated_public_entry_or_index
configs/checkpoint_registry_v1.yaml	518	146fb5bea3caf5d78da23692f8dd5fc814f91d040b1ff0b78cffeae237e50ae5	frozen_bundle_member
configs/feature_registry_v1.json	638	443983c4db34f7b948ce11fbb3e1a5635ab67a455b0eb0250eaec4d4c7a3339b	referenced_scientific_config_or_script
configs/gears_hcc_formal_v1.json	1553	57c8c9c5d880f3b5187a57223e56e8e745edc926e1fe20872fc2ab2480273766	registered_implementation
configs/geneformer_hcc_formal_v1.json	2482	8d5e6100258314c32ca54bea44bdfd09bc17bb2f84a0e369462597073c57c0ce	registered_implementation
configs/hcc_model_execution_plan_v1.json	4379	76bd36734455ec698d25334cefe00b38d40924c739723266d84b9418d96a364c	referenced_scientific_config_or_script
configs/hcc_prediction_contract_v1.json	2379	b6c10dfa72e2f222f40ccecc66ff696825168d5f54119cc47af914b4ca1b0631	referenced_scientific_config_or_script
configs/lm_g_geneformer_ridge_hcc_formal_v1.json	2472	9af9f9d93f7d2ffc631ab2cdf8dc4840f52401ff1a24cfe87483f900440a2228	registered_implementation
configs/lm_g_scgpt_ridge_hcc_formal_v1.json	2258	d391688a050212293b8ccf84df1ba1ff8df6fc948c0cdb267a9361db8ef2593c	registered_implementation
configs/lm_train_lowrank_hcc_formal_v1.json	2036	15d2db792f2c658314e48034ec1738b03c11678b6ef408d36ee77a8980334f9b	registered_implementation
configs/revision/amendment_001_m1_statistical_clarifications.json	1246	92f8a37def94aa293347d976e1fd771091a3e7a5c9d75b81e8efdcc2e4ae40b2	frozen_bundle_member
configs/revision/amendment_002_m1_code_audit.json	3050	b01a07bf925e26701a5d741b5aac202d4a89da21651cf605b183390c22ff1e32	frozen_bundle_member
configs/revision/amendment_003_corrected_endpoint_object.json	2642	c8ce3504dc0c31e3836e5de4dc67117c6bd7435a0d48416acc1ac8a116472ffe	frozen_bundle_member
configs/revision/amendment_004_metric_contract.json	3083	874882b6034756d9d02a642aa26a573e65d44ccb413eaf58cbc1e6c596b9ef9f	frozen_bundle_member
configs/revision/amendment_005_hcc_audit_scope.json	2839	c3e0eaa5c0f503729a54c0eb4de8a205d9ae346801882e7b3e0c72c68e638490	frozen_bundle_member
configs/revision/amendment_006_independent_context_qualification.json	4317	2e9fd7cf9feacb3827f05fd7f76f96b97fbc5b9da9ef0c7dffb3c682f95e3b0a	frozen_bundle_member
configs/revision/amendment_007_independent_full_audit.json	2548	f7c9b9e68e6d21c30b4bfd425ba63a8e05e6fe0da3ce71bc9666e269fbf15db1	frozen_bundle_member
configs/revision/amendment_008_constant_similarity_guard.json	1006	8f4250436003d0b63d10c71714d2bce3357c0eb5864985ca18ef9ae51cc862ea	frozen_bundle_member
configs/revision/amendment_009_endpoint_tuning_counterfactual.json	1913	12430e1f8e81d964b839f443584da3102908795d53c22f7c5fc8035b0f1c0342	frozen_bundle_member
