context	profile	umap1	umap2	is_control
HCC38	control	-0.1811756044626236	3.1781930923461914	True
HCC38	ARID1A	-0.0064020780846476555	5.921777248382568	False
HCC38	BMPR1A	-0.6135168671607971	2.4970602989196777	False
HCC38	CDKN2A	-1.0537737607955933	3.0423686504364014	False
HCC38	COMMD6	1.0738273859024048	2.3153867721557617	False
HCC38	ENY2	-1.0831713676452637	4.734131813049316	False
HCC38	ERC1	0.3548271954059601	1.7392690181732178	False
HCC38	ETV3	-0.45808714628219604	3.5839595794677734	False
HCC38	GON4L	0.522932767868042	3.942136526107788	False
HCC38	HDGF	0.594892680644989	2.9122939109802246	False
HCC38	HLX	0.277427077293396	4.459259510040283	False
HCC38	KLF3	0.16542623937129974	3.1739234924316406	False
HCC38	LAMTOR5	1.5831084251403809	2.1430442333221436	False
HCC38	MAML3	-0.3190303444862366	1.7132271528244019	False
HCC38	MIER1	-1.1777626276016235	3.9582390785217285	False
HCC38	MTDH	1.2162405252456665	3.7580995559692383	False
HCC38	MYBL1	-0.17812234163284302	2.3134875297546387	False
HCC38	NCOA1	0.4536142349243164	5.641357421875	False
HCC38	NPM1	-0.7932538390159607	5.643231391906738	False
HCC38	PA2G4	0.18451152741909027	1.3023691177368164	False
HCC38	PARK7	-0.6877871751785278	1.7622190713882446	False
HCC38	PCBD1	0.7635255455970764	3.25518536567688	False
HCC38	PEX14	2.0694689750671387	2.909268856048584	False
HCC38	PFDN5	-1.6881695985794067	2.8786323070526123	False
HCC38	PMF1	2.437258720397949	3.339988946914673	False
HCC38	PRDX2	-0.6447674036026001	3.401027202606201	False
HCC38	PRPF6	0.17804232239723206	5.21047830581665	False
HCC38	RORC	0.3128008544445038	3.6970231533050537	False
HCC38	RPS3	1.7534065246582031	2.4304983615875244	False
HCC38	RUVBL2	0.9111737012863159	4.250853538513184	False
HCC38	SMAD1	-1.4075947999954224	2.5238120555877686	False
HCC38	STAT3	0.8650009632110596	1.6214771270751953	False
HCC38	TAB3	1.626545786857605	4.213476181030273	False
HCC38	TADA3	-1.353236436843872	3.290724992752075	False
HCC38	THAP8	1.340551733970642	5.163301467895508	False
HCC38	THRA	0.599963366985321	2.2182040214538574	False
HCC38	TMF1	-0.5246832370758057	4.913764953613281	False
HCC38	TMSB4X	1.582026720046997	4.7744669914245605	False
HCC38	UBP1	-0.8879886865615845	2.4024627208709717	False
HCC38	VEZF1	-0.42236700654029846	6.135856628417969	False
HCC38	XBP1	-0.13784527778625488	4.139520168304443	False
