target_gene	n_cell_lines	q1_anchor_count	q2_count	q3_count	q4_count	shift_quantile_mean	depmap_quantile_mean	shift_value_mean	depmap_strength_mean	shared_anchor_call
SS18L2	1	1	0	0	0	1.0	0.96875	0.0243279181183303	1.0	not_shared_canonical_anchor
ENY2	2	1	0	0	0	0.9055851063829787	0.7586436170212766	0.0104267647732681	0.31919863588608277	not_shared_canonical_anchor
TADA3	2	1	0	0	0	0.8526152482269503	0.6088209219858156	0.00975758403408365	0.14270487102333274	not_shared_canonical_anchor
NPM1	2	1	0	0	0	0.8435283687943262	0.8113918439716312	0.009426754375921751	0.5089025899006879	not_shared_canonical_anchor
YBX1	2	1	0	0	0	0.7473404255319149	0.9530141843971631	0.0076994273845309505	0.995673401127587	not_shared_canonical_anchor
LAMTOR5	2	0	0	0	0	0.8849734042553192	0.600177304964539	0.0100106629914682	0.1058688184415251	not_shared_canonical_anchor
ARID1A	2	0	0	0	0	0.7480053191489362	0.7149822695035462	0.00793464021620515	0.1796880544319818	not_shared_canonical_anchor
MYBL1	2	0	0	0	0	0.7362588652482269	0.29432624113475175	0.007776869103643849	0.01779930006385285	not_shared_canonical_anchor
GON4L	2	0	0	0	0	0.6837322695035462	0.7477836879432624	0.0068511815013019	0.2311416306665161	not_shared_canonical_anchor
VEZF1	2	0	0	0	0	0.6637854609929078	0.474290780141844	0.00670073567807515	0.04851869465892415	not_shared_canonical_anchor
PA2G4	2	0	0	0	0	0.6427304964539007	0.6855053191489362	0.0065508800211546495	0.23132931377485186	not_shared_canonical_anchor
BMPR1A	2	0	0	0	0	0.6205673758865249	0.7679521276595744	0.00632395979712185	0.2700578526945297	not_shared_canonical_anchor
TMF1	2	0	0	0	0	0.6110372340425532	0.6101507092198581	0.0060988765954770995	0.11020303941059965	not_shared_canonical_anchor
TAB3	2	0	0	0	0	0.5678191489361701	0.25398936170212766	0.005691691262781099	0.0178024040707619	not_shared_canonical_anchor
THRA	2	0	0	0	0	0.537677304964539	0.5157358156028369	0.00559254861341265	0.051837748050219803	not_shared_canonical_anchor
PARK7	2	0	0	0	0	0.5356826241134752	0.4616578014184397	0.0056020387838678996	0.0766957710649123	not_shared_canonical_anchor
KLF3	2	0	0	0	0	0.5265957446808511	0.5800088652482269	0.0054298232940776	0.0993135255751906	not_shared_canonical_anchor
ETV3	2	0	0	0	0	0.47362588652482274	0.6099290780141844	0.00525849573771235	0.11264513931485476	not_shared_canonical_anchor
MIER1	2	0	0	0	0	0.47296099290780136	0.16799645390070922	0.00538862936638265	0.00873144565432565	not_shared_canonical_anchor
MTDH	2	0	0	0	0	0.46453900709219853	0.34818262411347517	0.005182442623971949	0.0232799337433307	not_shared_canonical_anchor
PRDX2	2	0	0	0	0	0.44126773049645396	0.7047872340425532	0.00519289773646225	0.1616261990603448	not_shared_canonical_anchor
HLX	2	0	0	0	0	0.43218085106382975	0.24069148936170212	0.0051601689056537	0.01496969629547515	not_shared_canonical_anchor
THAP8	2	0	0	0	0	0.43173758865248224	0.3266843971631206	0.0050639864208834	0.02126244080418715	not_shared_canonical_anchor
ZBTB5	2	0	0	0	0	0.36768617021276595	0.387854609929078	0.0049876159443688	0.04586399183156295	not_shared_canonical_anchor
STAT3	2	0	0	0	1	0.31648936170212766	0.19104609929078015	0.0047606692392822	0.013647543014425799	not_shared_canonical_anchor
HDGF	2	0	0	0	0	0.29720744680851063	0.3583776595744681	0.00469208460755555	0.02416241661865555	not_shared_canonical_anchor
RORC	2	0	0	0	0	0.2741578014184397	0.6223404255319149	0.0046618807989441	0.15417101798182162	not_shared_canonical_anchor
UBP1	2	0	0	0	0	0.2522163120567376	0.2528812056737589	0.0045266059919483	0.0155284850071185	not_shared_canonical_anchor
SMAD1	2	0	0	0	0	0.2424645390070922	0.32513297872340424	0.0045560429078357004	0.02109442469807605	not_shared_canonical_anchor
ERC1	2	0	0	0	1	0.2409131205673759	0.27171985815602834	0.00452510297049985	0.0179067916758659	not_shared_canonical_anchor
CDKN2A	2	0	0	0	1	0.24046985815602837	0.03169326241134752	0.0045537135345356	0.0017368860477839753	not_shared_canonical_anchor
ZBTB20	2	0	0	0	1	0.2327127659574468	0.05230496453900709	0.00459385534447565	0.00485669742560945	not_shared_canonical_anchor
ZNF566	2	0	0	0	1	0.21099290780141844	0.3499556737588652	0.0044980228672354995	0.0473100491872364	not_shared_canonical_anchor
PCBD1	2	0	0	0	0	0.20944148936170212	0.27393617021276595	0.00442210337378325	0.0161404478404961	not_shared_canonical_anchor
PEX14	2	0	0	0	1	0.1686613475177305	0.2089982269503546	0.004420527688858899	0.01387240586287675	not_shared_canonical_anchor
COMMD6	2	0	0	0	1	0.16821808510638298	0.386968085106383	0.004377260021481149	0.0719857586649965	not_shared_canonical_anchor
XBP1	2	0	0	0	1	0.16733156028368792	0.1686613475177305	0.0043084359272625005	0.009948190324341001	not_shared_canonical_anchor
