model_id	cell_line	mean_top_axis_share	mean_stress_axis_share	mean_target_axis_cosine_proxy	common_response_score	endpoint_recovery_score	label
cellot_hcc_formal_v1	HCC1143	0.1200363064522831	0.123652731668838	0.9348539590940624	0.2569163937652669	1.1644666682169402	CellOT 1143
cellot_hcc_formal_v1	HCC38	0.1164369120243864	0.0943047769525485	0.9169762074678888	0.2528416842528738	0.535104012779166	CellOT 38
cpa_v0.8.8	HCC1143	0.1974494839356401	0.2634075972395723	0.9938789985197216	0.907800958985443	-1.271227215776623	CPA 1143
cpa_v0.8.8	HCC38	0.0935251129924128	0.175418486224289	0.9846092868407312	0.6605230189798669	1.3133024645927576	CPA 38
gears_hcc_formal_v1	HCC1143	0.1240927683255225	0.1000376672244845	0.8951722923241306	0.1065350359555124	0.6308542779548804	GEARS 1143
gears_hcc_formal_v1	HCC38	0.1475447730062259	0.0835094002854025	0.9296548583009722	0.3218258701853763	1.3672536929012795	GEARS 38
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC1143	0.1113892663851426	0.0830625690272641	0.9305959190636376	0.1449922281442987	0.5493274545802985	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06 1143
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC38	0.1503240631485726	0.083009868139477	0.9336356310905876	0.339077516584952	0.5801109996819873	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06 38
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC1143	0.1223953683524476	0.1091571012565679	0.9109621949734708	0.1656279901845046	0.6187361160599738	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05 1143
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC38	0.1635213057673427	0.0984713473943082	0.9672754806151588	0.5188067113229822	1.0958920807196828	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05 38
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC1143	0.1424783040589142	0.1167486285801652	0.932085031380762	0.2987954814104352	1.4176800562405845	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06 1143
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC38	0.1426414537599799	0.120397980235844	0.9270389877073802	0.4010322335752296	1.4573236370680276	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06 38
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC1143	0.1499963305647873	0.1395152442519359	0.906949264095796	0.287131891462135	0.8627817884676641	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06 1143
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC38	0.1260066823169737	0.1046763184106925	0.9212922727194258	0.3113900489545178	1.9491623961271196	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06 38
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC1143	0.1299242228586277	0.0907985362917787	0.9396809649994838	0.2382628746451952	-0.067834692573133	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06 1143
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC38	0.1578913846471374	0.0839248186645132	0.9327295093160508	0.3513107291948283	1.1272633904034095	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06 38
geneformer_hcc_formal_v1	HCC1143	0.1620241450308775	0.2119450320739361	0.9192108781093258	0.4911981833535601	1.2510034110345924	Geneformer 1143
geneformer_hcc_formal_v1	HCC38	0.1408777879246397	0.1438923810347894	0.9291348289139942	0.466846360777347	0.4274116709700121	Geneformer 38
lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	0.1532305977575393	0.1791873046208924	0.94507355851241	0.4829846138904355	1.145053473235152	Geneformer-ridge 1143
lm_g_geneformer_ridge_hcc_formal_v1	HCC38	0.1505224925161823	0.1177632390416096	0.9248086472556568	0.3999111287861076	1.1363153618638222	Geneformer-ridge 38
