axis_id	database	term	NES_or_effect	FDR	leading_edge_size	overlap_gene_count	term_gene_count_in_universe	axis_gene_count	overlap_genes
ER stress / UPR	MSigDB_Hallmark	Unfolded Protein Response	1.0	0.0638297872340425	1	1	3	1	XBP1
chromatin remodeling	MSigDB_Hallmark	Myc Targets V1	0.5	0.2035152636447733	1	1	5	2	RUVBL2
growth / proliferation	MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1	1	5	1	PA2G4
growth factor / proliferation	MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1	1	5	1	HDGF
growth factor / proliferation	MSigDB_Hallmark	heme Metabolism	1.0	0.1063829787234042	1	1	4	1	HDGF
oxidative stress / antioxidant	MSigDB_Hallmark	heme Metabolism	1.0	0.0851063829787234	1	1	4	1	PRDX2
ribosomal / translation	MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1	1	5	1	RPS3
ribosome biogenesis / nucleolar	MSigDB_Hallmark	Myc Targets V1	1.0	0.1063829787234042	1	1	5	1	NPM1
ribosome biogenesis / nucleolar	MSigDB_Hallmark	Unfolded Protein Response	1.0	0.1063829787234042	1	1	3	1	NPM1
transcription regulation	MSigDB_Hallmark	heme Metabolism	0.2	0.3881927508199478	2	2	4	10	KLF3; VEZF1
transcription regulation	MSigDB_Hallmark	Unfolded Protein Response	0.1	0.5208140610545791	1	1	3	10	ZBTB17
JAK-STAT signaling	Reactome	Cellular Response To Chemical Stress R-HSA-9711123	1.0	0.1560283687943262	1	1	4	1	STAT3
JAK-STAT signaling	Reactome	Cytokine Signaling In Immune System R-HSA-1280215	1.0	0.1560283687943262	1	1	3	1	STAT3
JAK-STAT signaling	Reactome	Developmental Biology R-HSA-1266738	1.0	0.1560283687943262	1	1	4	1	STAT3
JAK-STAT signaling	Reactome	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	1.0	0.1560283687943262	1	1	3	1	STAT3
JAK-STAT signaling	Reactome	Immune System R-HSA-168256	1.0	0.1560283687943262	1	1	4	1	STAT3
JAK-STAT signaling	Reactome	Signaling By Interleukins R-HSA-449147	1.0	0.1560283687943262	1	1	3	1	STAT3
JAK-STAT signaling	Reactome	Cellular Responses To Stimuli R-HSA-8953897	1.0	0.1872340425531915	1	1	8	1	STAT3
