cell_line	entrant_id	training_seed	metric	estimate	ci_low	ci_high	jackknife_se	status
HCC38	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_uncentered	0.29815223444143535	0.2345690449783267	0.361735423904544	0.031587922144219335	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_uncentered	0.05731255625356057	0.025554880463540597	0.08907023204358054	0.01577711025205096	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_uncentered	0.24083967818787477	0.17659734663912832	0.30508200973662125	0.03191538179289244	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_centered	0.07748130918700667	0.024412428388053617	0.13055018998595974	0.02636444772766244	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_centered	0.02214992680773614	-0.006005815162228298	0.050305668777700575	0.013987681221559193	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_centered	0.05533138237927053	-0.007810523902793368	0.11847328866133443	0.03136869409221224	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_uncentered	0.1953815876201759	0.15711557313808683	0.23364760210226498	0.019010431789225037	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_uncentered	0.060528249569990214	0.021331611724677534	0.09972488741530289	0.019472762455417156	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_uncentered	0.13485333805018568	0.07560443409293482	0.19410224200743653	0.029434663173319626	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_centered	0.01438049370192412	-0.008202480093112849	0.03696346749696109	0.011219148080586027	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_centered	0.03613003595670653	0.0006229633227230885	0.07163710859068997	0.017639798434178358	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_centered	-0.02174954225478241	-0.06222706792969816	0.018727983420133338	0.020109103371603113	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_uncentered	0.27529558278291283	0.22468686221659878	0.3259043033492269	0.025142248109381347	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_uncentered	0.05731255625356057	0.025554880463540597	0.08907023204358054	0.01577711025205096	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_uncentered	0.21798302652935225	0.16014125301978582	0.2758248000389187	0.028735605334234568	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_centered	0.027549624747074855	-0.005066153531195328	0.06016540302534504	0.016203412782947672	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_centered	0.02214992680773614	-0.006005815162228298	0.050305668777700575	0.013987681221559193	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_centered	0.005399697939338716	-0.03523547701146183	0.04603487289013926	0.020187423020157875	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_uncentered	0.25384222003910495	0.20896473582124855	0.2987197042569613	0.022294988494161203	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_uncentered	0.060528249569990214	0.021331611724677534	0.09972488741530289	0.019472762455417156	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_uncentered	0.19331397046911475	0.13694470412125123	0.24968323681697827	0.02800406855582769	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_centered	0.027532911156940777	-0.016028763274126213	0.07109458558800777	0.021641298462996273	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_centered	0.03613003595670653	0.0006229633227230885	0.07163710859068997	0.017639798434178358	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_centered	-0.008597124799765755	-0.06299797428322035	0.045803724683688846	0.02702616544676152	target_delete_one_jackknife
