context	target	n_genes_total	n_genes_after_filter	gene_filter_applied	max_rank	min_rank
K562_13d	CREB1	21713	21713	False	0.13226757031532	-0.11689695052784765
K562_13d	E2F4	21713	21713	False	0.07956194748260292	-0.09559316163505704
K562_13d	EGR1	21713	21713	False	0.06874147115216189	-0.07720372067474646
K562_13d	ELF1	21713	21713	False	0.07829948764619388	-0.07874561143467251
K562_13d	ELK1	21713	21713	False	0.07382552910601581	-0.0701339678510946
K562_13d	ETS1	21713	21713	False	0.06485253300936256	-0.08603387293888076
K562_13d	GABPA	21713	21713	False	0.1332231562924635	-0.08022178696446691
K562_13d	IRF1	21713	21713	False	0.08879555341792011	-0.07653817811994967
K562_13d	NR2C2	21713	21713	False	0.0983185460193774	-0.11786365127504994
K562_13d	YY1	21713	21713	False	0.18371897569564133	-0.14694439784537217
