context	target	n_genes_total	n_genes_after_filter	gene_filter_applied	max_rank	min_rank
HCC38	ARID1A	36601	36601	False	0.8962560286851808	-0.6531901235486801
HCC38	BMPR1A	36601	36601	False	0.17953343412052836	-0.44081902978367427
HCC38	CDKN2A	36601	36601	False	0.08497684092727109	-0.07495704389294522
HCC38	COMMD6	36601	36601	False	0.12494432502976549	-0.17447884605471636
HCC38	ENY2	36601	36601	False	0.37345023876754335	-0.39698380099924657
HCC38	ERC1	36601	36601	False	0.08874271607425932	-0.1993664780310057
HCC38	ETV3	36601	36601	False	0.1996638617289106	-0.12736086830281146
HCC38	GON4L	36601	36601	False	0.2534011213250231	-0.2312113593047478
HCC38	HDGF	36601	36601	False	0.21753624871451427	-0.5190075074973471
HCC38	HLX	36601	36601	False	0.22860586654000392	-0.17848525212465183
HCC38	KLF3	36601	36601	False	0.24531800721396912	-0.18963357343521714
HCC38	LAMTOR5	36601	36601	False	1.062192212595183	-0.7057699630172161
HCC38	MAML3	36601	36601	False	0.08779157124213754	-0.07438602581835374
HCC38	MIER1	36601	36601	False	0.1384262246198995	-0.16276525960763666
HCC38	MTDH	36601	36601	False	0.21021335989896195	-0.8654734239111463
HCC38	MYBL1	36601	36601	False	0.4462569526372049	-0.3572393685744957
HCC38	NCOA1	36601	36601	False	0.3040020624022677	-0.1362848251603872
HCC38	NPM1	36601	36601	False	0.4103264261002426	-1.0518435699038788
HCC38	PA2G4	36601	36601	False	0.34229322436184606	-0.8254075977257468
HCC38	PARK7	36601	36601	False	0.13018453878173253	-0.8097874615839706
HCC38	PCBD1	36601	36601	False	0.15571296781565058	-0.2815585489466187
HCC38	PEX14	36601	36601	False	0.1525093486289557	-0.17628410959895824
HCC38	PFDN5	36601	36601	False	0.21618890392819323	-0.7338350135694895
HCC38	PMF1	36601	36601	False	0.18415815341767772	-0.2273921007505726
HCC38	PRDX2	36601	36601	False	0.14469334019417746	-0.7211307269566529
HCC38	PRPF6	36601	36601	False	0.6961067504150107	-0.45908356791351024
HCC38	RORC	36601	36601	False	0.2351084638358505	-0.10151780908801555
HCC38	RPS3	36601	36601	False	0.2874733505752465	-0.8242814272169086
HCC38	RUVBL2	36601	36601	False	0.1908228097657687	-0.35043222704499005
HCC38	SMAD1	36601	36601	False	0.07854416483333015	-0.2320550674871722
HCC38	STAT3	36601	36601	False	0.15986953212493782	-0.3885314141892705
HCC38	TAB3	36601	36601	False	0.18757176031908118	-0.11365299400240636
HCC38	TADA3	36601	36601	False	0.37567035347596134	-0.5967208396493602
HCC38	THAP8	36601	36601	False	0.26517215279519757	-0.1776455289197334
HCC38	THRA	36601	36601	False	0.32733695248786177	-0.226983255964327
HCC38	TMF1	36601	36601	False	0.28959674309667816	-0.22354138956755543
HCC38	TMSB4X	36601	36601	False	0.24672421126068955	-0.7781792979203432
HCC38	UBP1	36601	36601	False	0.1033021048949676	-0.23077140303319332
HCC38	VEZF1	36601	36601	False	0.2834518773002155	-0.3303780759016962
HCC38	XBP1	36601	36601	False	0.23311779614508388	-0.12393073292719267
HCC38	YBX1	36601	36601	False	0.35442051247150674	-1.4881367331774717
HCC38	ZBTB17	36601	36601	False	0.40915927793302265	-0.4475282592646142
HCC38	ZBTB20	36601	36601	False	0.4570382093051164	-0.18190672997619567
HCC38	ZBTB5	36601	36601	False	0.17673294840963671	-0.11524433564501768
HCC38	ZNF131	36601	36601	False	0.49699407178858457	-0.3501864439671563
HCC38	ZNF24	36601	36601	False	0.09527450263939219	-0.12002573660755245
HCC38	ZNF566	36601	36601	False	0.24520489978641824	-0.1432834203977118
