dataset_id	context	evidence_layer	current_status	claim_boundary	n_targets_matched_depmap	spearman_rho	spearman_bootstrap_ci_low	spearman_bootstrap_ci_high	spearman_permutation_pvalue	status	source_exists	n_obs	n_vars	n_gene_labels_ge_50_cells	n_control_cells_non_targeting	decision	resource_role	supported_claim	not_used_to_claim	claim_boundary_frozen	manuscript_layer_label
frangieh_melanoma_til_perturb_citeseq	Frangieh melanoma/TIL Perturb-CITE-seq	excluded_future_registry	future_non_depmap_immune_endpoint_extension	immune co-culture endpoint is not baseline DepMap dependency												excluded_or_future_extension	excluded/future module	governance and scope definition	requires a separate endpoint module before inclusion	True	Excluded / future-extension registry
gasperini_k562_enhancer_crispri	Gasperini K562 enhancer CRISPRi	excluded_future_registry	future_regulatory_extension	regulatory-element perturbation is not direct gene-level DepMap dependency mapping												excluded_or_future_extension	excluded/future module	governance and scope definition	requires a separate endpoint module before inclusion	True	Excluded / future-extension registry
norman_k562_crispra	Norman K562 CRISPRa	excluded_future_registry	excluded_gain_of_function_direction_mismatch	activation perturbation does not match loss-of-function DepMap dependency endpoint												excluded_or_future_extension	excluded/future module	governance and scope definition	requires a separate endpoint module before inclusion	True	Excluded / future-extension registry
replogle_rpe1_essential_day7	RPE1 essential CRISPRi day 7	excluded_future_registry	excluded_non_cancer_boundary	non-cancer context; not a baseline cancer-dependency endpoint analysis												excluded_or_future_extension	excluded/future module	governance and scope definition	requires a separate endpoint module before inclusion	True	Excluded / future-extension registry
thp1_stimulated_perturbseq	THP-1 stimulated Perturb-seq	excluded_future_registry	excluded_stimulus_confounded_boundary	stimulus context changes baseline dependency endpoint interpretation												excluded_or_future_extension	excluded/future module	governance and scope definition	requires a separate endpoint module before inclusion	True	Excluded / future-extension registry
gse90063_dixit_k562_temporal	K562 TF day 13	external_bridge_form_boundary	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	10.0	0.5151515151515151	-0.1853568800588667	0.8580645161290322	0.1488511488511488	estimated						include_external_bridge_boundary	observed bridge-form / temporal / modality / scale boundary	recovery-object external validity and boundary evidence	do not use as model-generalization evidence	True	External bridge-form / boundary layer
gse90063_dixit_k562_temporal	K562 TF day 7	external_bridge_form_boundary	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	10.0	0.7333333333333332	0.1949685534591195	0.95	0.0279720279720279	estimated						include_external_bridge_boundary	observed bridge-form / temporal / modality / scale boundary	recovery-object external validity and boundary evidence	do not use as model-generalization evidence	True	External bridge-form / boundary layer
replogle_k562_essential_day6	K562 essential CRISPRi day 6	external_bridge_form_boundary	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	1882.0	0.4018413096087801	0.3615927482184992	0.4403946139040008	0.0009990009990009	estimated						include_external_bridge_boundary	observed bridge-form / temporal / modality / scale boundary	recovery-object external validity and boundary evidence	do not use as model-generalization evidence	True	External bridge-form / boundary layer
replogle_k562_gwps_day8	K562 genome-scale CRISPRi day 8	external_bridge_form_boundary	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	9261.0	0.2516792653082492	0.2315777608303988	0.2720596216471849	0.0009990009990009	estimated						include_external_bridge_boundary	observed bridge-form / temporal / modality / scale boundary	recovery-object external validity and boundary evidence	do not use as model-generalization evidence	True	External bridge-form / boundary layer
gse241115_hcc38_hcc1143	HCC1143 day 14	primary_model_audit	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	48.0	0.7792497165337711	0.6146649965329112	0.8802489330734145	0.0009990009990009	estimated						include_primary_model_audit	formal endpoint-recovery model audit	primary bridge and model-audit claim	do not expand into broad model-generalization language	True	Primary model-audit layer
gse241115_hcc38_hcc1143	HCC38 day 14	primary_model_audit	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	47.0	0.7257957275155708	0.5562942073993075	0.8355070632318312	0.0009990009990009	estimated						include_primary_model_audit	formal endpoint-recovery model audit	primary bridge and model-audit claim	do not expand into broad model-generalization language	True	Primary model-audit layer
gse264667_hepg2_day7	HepG2 day 7	candidate_secondary_endpoint_extension	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	1000.0	0.4928629353883227	0.4390555020064388	0.5392432586704033	0.0009990009990009	estimated	True	145473.0	9624.0	1061.0	4976.0	include_secondary_endpoint_extension	secondary endpoint-object portability evidence	additional cancer-line or lineage bridge-form evidence	do not use as primary model-audit evidence without same output contract	True	Secondary endpoint-extension / candidate layer
gse264667_jurkat_day7	Jurkat day 7	candidate_secondary_endpoint_extension	bridge_form_summary_completed	observed shift-DepMap bridge evidence; not model generalization	1687.0	0.31097786434046	0.268546339783433	0.3566341067728488	0.0009990009990009	estimated	True	262956.0	8882.0	1815.0	12013.0	include_secondary_endpoint_extension	secondary endpoint-object portability evidence	additional cancer-line or lineage bridge-form evidence	do not use as primary model-audit evidence without same output contract	True	Secondary endpoint-extension / candidate layer
gse200201_molm13_mswi_snf	MOLM13 mSWI/SNF Perturb-seq	candidate_secondary_endpoint_extension	registry_candidate_pending_single_target_and_combinatorial_audit	candidate hematologic cancer endpoint-extension only if single-target mapping is sufficient												registry_candidate	candidate secondary endpoint-extension	eligibility governance only	complete single-target/control/DepMap mapping audit before endpoint claims	True	Secondary endpoint-extension / candidate layer
gse90546_adamson_k562_upr	Adamson K562 UPR Perturb-seq	narrow_pathway_boundary_candidate	registry_candidate_pending_pathway_boundary_audit	stress-axis/pathway-boundary candidate; not primary endpoint recovery or model generalization												registry_pathway_boundary_candidate	narrow stress/pathway boundary candidate	future stress-axis interpretability module	do not use as broad endpoint-recovery or model-generalization evidence	True	Narrow pathway-boundary candidate layer
