context	profile	umap1	umap2	is_control	is_highlight
HCC1143	control	5.943431377410889	3.564429998397827	True	False
HCC1143	ARID1A	5.326613903045654	2.5981884002685547	False	False
HCC1143	BMPR1A	5.735822677612305	4.945460796356201	False	False
HCC1143	CDKN2A	6.407556533813477	3.793292760848999	False	False
HCC1143	COMMD6	4.27923059463501	2.845875740051269	False	False
HCC1143	ENY2	4.412012100219727	3.759512424468994	False	False
HCC1143	ERC1	3.767275094985962	2.966454267501831	False	False
HCC1143	ETV3	6.529021263122559	4.608123779296875	False	False
HCC1143	GON4L	7.626965522766113	4.45113468170166	False	False
HCC1143	HDGF	6.860710144042969	4.253717422485352	False	False
HCC1143	HLX	7.776236057281494	3.7328927516937256	False	False
HCC1143	KLF3	6.088342189788818	3.90878701210022	False	False
HCC1143	LAMTOR5	3.7114453315734863	2.585392713546753	False	False
HCC1143	MAML3	3.93117618560791	4.361451625823975	False	False
HCC1143	MIER1	3.1981565952301025	4.747197151184082	False	False
HCC1143	MTDH	5.116885185241699	4.738487720489502	False	False
HCC1143	MYBL1	5.56870174407959	4.487830638885498	False	False
HCC1143	NCOA1	6.636699676513672	2.92720627784729	False	False
HCC1143	NPM1	6.460617542266846	5.114940166473389	False	False
HCC1143	PA2G4	5.310665607452393	3.3915464878082275	False	False
HCC1143	PARK7	3.379523038864136	3.481804132461548	False	False
HCC1143	PCBD1	4.849058151245117	4.172760486602783	False	False
HCC1143	PEX14	5.807249069213867	2.6974825859069824	False	False
HCC1143	PFDN5	6.124223232269287	5.542069435119629	False	False
HCC1143	PMF1	4.9953227043151855	6.160761833190918	False	True
HCC1143	PRDX2	4.605700492858887	5.96426248550415	False	False
HCC1143	PRPF6	8.101171493530273	4.256793022155762	False	True
HCC1143	RORC	7.216287136077881	4.720755100250244	False	False
HCC1143	RPS3	5.756421089172363	3.887739896774292	False	False
HCC1143	RUVBL2	3.219010829925537	5.389406204223633	False	False
HCC1143	SMAD1	3.83758544921875	3.657460927963257	False	False
HCC1143	STAT3	4.959218978881836	3.112080812454224	False	False
HCC1143	TAB3	4.03501558303833	2.186943292617798	False	False
HCC1143	TADA3	7.195237159729004	3.5311670303344727	False	False
HCC1143	THAP8	7.539765357971191	5.657246112823486	False	False
HCC1143	THRA	6.179967880249023	3.0742897987365723	False	False
HCC1143	TMF1	4.089914798736572	4.208193302154541	False	False
HCC1143	TMSB4X	6.806154251098633	3.6219735145568848	False	False
HCC1143	UBP1	3.6951382160186768	5.256480693817139	False	False
HCC1143	VEZF1	7.258550643920898	4.126148223876953	False	False
HCC1143	XBP1	4.622771739959717	4.876387596130371	False	False
HCC1143	YBX1	3.1567931175231934	4.224655628204346	False	False
HCC1143	ZBTB17	3.6861982345581055	5.885105133056641	False	False
HCC1143	ZBTB20	5.048190593719482	3.6833035945892334	False	False
HCC1143	ZBTB5	4.911611080169678	2.466936588287353	False	False
HCC1143	ZNF131	7.4896559715271	3.228759527206421	False	False
HCC1143	ZNF24	4.5583696365356445	2.1585867404937744	False	False
HCC1143	ZNF566	7.288137912750244	6.05203914642334	False	False
