pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection
HALLMARK_ADIPOGENESIS	-0.524635966671031	-1.40351146299751	0.0067443286327406	down	200	188	0.112405477212344	0.194887297433682	APOE;SLC25A1;IDH3G;CD151;CYC1;APLP2;ALDOA;CMPK1;GPX4;SDHC;STAT5A;NDUFB7;REEP6;UQCRC1;PEMT;IDH1;DECR1;PTCD3;ESRRA;GHITM;PFKL;CMBL;TALDO1;YWHAG;ESYT1;COQ9;BCL2L13;DLD;AK2;SLC5A6;SLC1A5;NDUFAB1;JAGN1;G3BP2;ALDH2;COX6A1;PTGER3;MDH2;RREB1;ACAA2;DHRS7B;SDPR;CHCHD10;ECHS1;GRPEL1;AGPAT6;NDUFA5;UQCR10;DBT;CRAT;PREB;RNF11;ELMOD3;MRPL15;SCP2;PHYH;TOB1;UQCRQ;DGAT1;ACOX1;ELOVL6;MAP4K3;TANK;HADH;SNCG;GADD45A;QDPR;RETSAT	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ALLOGRAFT_REJECTION	-0.376217915464631	-0.99414455430772	0.475346398701785	down	200	165	0.819562756382388	0.0183990018875178	SPI1;EIF5A;UBE2D1;UBE2N;PTPRC;CAPG;B2M;NME1;RPS9;WAS;HLA-E;BCAT1;FLNA;MTIF2;BRCA1;EIF3A;CCND3;FYB;RPL9;MAP3K7;FCGR2B;PSMB10;HCLS1;LYN;SOCS1;CCND2;AARS;CD3D;LCP2;TGFB1;JAK2;F2R	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANDROGEN_RESPONSE	0.460912028380421	1.29490924983793	0.0454201362604088	up	101	93	0.283875851627555	0.131183404131763	SAT1;SEPP1;LMAN1;CENPN;PDLIM5;UAP1;SPCS3;SRP19;PGM3;HMGCS1;INSIG1;ELOVL5;MYL12A;DBI;UBE2J1;TSC22D1;TMEM50A;HMGCR;DHCR24;DNAJB9;CCND1;XRCC5;PIAS1;NCOA4;CDK6;ARID5B;ACTN1;ZBTB10	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANGIOGENESIS	0.394816494763537	0.900386038437412	0.611931976582102	up	36	28	0.825337819128316	0.0272088482181238	TIMP1;PTK2;PDGFA;MSX1	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_JUNCTION	-0.45885116143785	-1.21902547548144	0.0846784206605414	down	200	176	0.38490191209337	0.0533476589218	PFN1;ARPC2;ACTB;GAMT;RAC2;CNN2;INPPL1;PTPRC;MVD;MSN;VASP;ICAM5;BMP1;PBX2;EPB41L2;VCL;CAP1;ARHGEF6;YWHAH;DLG1;NF1;PTEN;ACTG1;FYB;KCNH2;ITGB1;STX4;CRAT;ADAM9;CERCAM;HRAS;SYMPK;GTF2F1;NF2;ICAM4;ZYX;ACTN4;TAOK2;RSU1;HADH;B4GALT1;LDLRAP1	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_SURFACE	-0.493807034609325	-1.07405309890258	0.350160134207717	down	44	36	0.73276740237691	0.0264308634155429	PCSK9;BRCA1;FLOT2;HSPB1;DCBLD2;LYN;AKAP7;B4GALT1;ADIPOR2;PLAUR	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APOPTOSIS	-0.340378572310872	-0.891005760920355	0.727203839353372	down	161	149	0.865718856373062	0.0123846353366712	HMGB2;RHOT2;TSPO;BAX;GPX4;DAP3;GSR;IFITM3;LMNA;ANXA1;DFFA;EBP;BCL2L2;DNAJC3;BRCA1;DAP;KRT18;HSPB1;BTG2;SOD2;CDC25B;CREBBP;TGFBR3;PSEN1;CCND2;BCAP31;LEF1;PPT1;CFLAR;DNAJA1;GADD45A;CASP3;RETSAT;BTG3	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_BILE_ACID_METABOLISM	-0.314125716063921	-0.789454886552491	0.89855460385439	down	112	102	0.974585571162983	0.0100945981820735	GSTK1;PXMP2;FADS1;IDH1;SLC27A5;ISOC1;ABCA8;SLC35B2;PEX16;ABCA3;SCP2;PHYH;HSD17B6;ACSL1;RETSAT;PAOX;PEX6;IDI1;PFKM;CAT;FADS2;RXRA;PEX19;PRDX5;ABCA5;ACSL5	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.383498906119834	1.02876098583806	0.366383701188455	up	74	66	0.73276740237691	0.0414939423465147	SQLE;ECH1;HMGCS1;TRIB3;ANXA5;HMGCR;ALDOC;ATXN2;CLU;ANTXR2;TM7SF2;STARD4	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_COAGULATION	-0.362490350125412	-0.920018890066563	0.638250066085118	down	138	111	0.825337819128316	0.0149309286722731	APOC1;CFD;RABIF;ANXA1;SIRT2;BMP1;ARF4;PROS1;FURIN;ADAM9;CFH;PREP	K562_13d	CREB1	1568	3491	21713	mean_log_expr_perturbed_minus_control	False	H
