pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection
HALLMARK_ADIPOGENESIS	0.556300055775782	1.54056302256764	0.0004254988210657	up	200	189	0.0070916470177626	0.49849310876659	SUCLG1;MRPL15;SNCG;IMMT;RIOK3;MTCH2;CHCHD10;NDUFAB1;SDPR;MGST3;COX6A1;STOM;ALDOA;GHITM;PRDX3;JAGN1;MDH2;GRPEL1;NDUFB7;CMPK1;SDHC;UQCR10;COX8A;ECH1;SDHB;ATP5O;SCP2;BAZ2A;UQCRQ;UCP2;PIM3;ETFB;CAT;ECHS1;COQ9;TALDO1;ME1;CD151;UQCR11;IDH3A;PREB;COX7B;IFNGR1;CYC1;HADH;ACADS;ATP1B3;REEP5;UQCRC1;ESRRA;POR;HIBCH;TKT;ELMOD3;AGPAT6;PLIN2;CRAT;DDT;CMBL;COQ3;SOD1;PPP1R15B;CS;PPM1B;ARAF;GPHN;PDCD4;UCK1;TOB1;CDKN2C;LPCAT3;ATL2;ADIPOR2	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ALLOGRAFT_REJECTION	0.427220385964163	1.17602461259561	0.118641439205955	up	200	179	0.371077184054283	0.0501437564723626	TIMP1;NME1;UBE2N;EIF3J;EIF5A;ABI1;PRKCB;CCND2;CCND3;RPL9;MRPL3;RPS19;SOCS1;WARS;ABCE1;IFNGR1;IL4R;SRGN;BRCA1;CD3D;RIPK2;IL2RG;HLA-E;AKT1;GALNT1;CD96;RPS3A;IFNGR2;DARS;NPM1;F2R	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANDROGEN_RESPONSE	-0.40430465713882	-1.09811263322552	0.234668018246325	down	101	97	0.498428925473535	0.0451750626902472	FADS1;DBI;SAT1;UBE2J1;KRT19;HMGCS1;XRCC5;SCD;B2M;ELOVL5;ABCC4;SRP19;DNAJB9;PGM3;INSIG1;HMGCR;LMAN1;HPGD;GNAI3	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANGIOGENESIS	0.70750716992696	1.49974579641255	0.0222906850308083	up	36	28	0.159219178791488	0.129547467550097	TIMP1;CCND2;JAG2;LRPAP1;ITGAV;PDGFA	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_JUNCTION	0.389881116268697	1.07298710181434	0.27912019826518	up	200	178	0.498428925473535	0.0307770496452784	ACTB;TUBG1;ACTG1;PFN1;MSN;YWHAH;VASP;VCL;ACTN4;EXOC4;BAIAP2;EVL;RAC2;WASL;HRAS;RSU1;TIAL1;HADH;MYL12B;DLG1;EPB41L2;ARHGEF6;CRAT;TSC1;DHX16;AMIGO2;PTEN;FSCN1;RRAS;ACTN1;NEXN	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_SURFACE	-0.39672249209433	-0.917588293396788	0.593642808140864	down	44	37	0.723954644074225	0.024367764741698	FLOT2;LYN;PCSK9;EPHB4;NCOA6	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APOPTOSIS	0.404259897272992	1.09172892020449	0.2486881857211	up	161	150	0.498428925473535	0.0335126487672167	TIMP1;KRT18;HSPB1;TNFRSF12A;BID;CFLAR;BTG3;CCND2;ETF1;SLC20A1;ATF3;CD69;TXNIP;NEFH;CDK2;MCL1;IFNGR1;IER3;TGFBR3;DFFA;GSN;BRCA1;PMAIP1;CASP2;PPP3R1;DNAJC3;BCL2L2;CASP9;SOD1;RHOT2;CASP3;VDAC2;CDKN1A;MADD;PDCD4;F2R;CASP6;BNIP3L	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_BILE_ACID_METABOLISM	-0.330244142974962	-0.895124412253198	0.719604863221885	down	112	96	0.808224369907144	0.0229046042919004	FADS1;IDH2;IDH1;PEX16;PNPLA8;EFHC1;GNPAT;ABCA8;LONP2;PEX26;GSTK1;HSD17B11;SLC29A1;PEX7;RXRA;PHYH;OPTN;NEDD4;SLC22A18	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.463632682636984	-1.19327229534934	0.142682029909291	down	74	70	0.375479026077083	0.0580618893746958	ATF5;FASN;DHCR7;HMGCS1;ACAT2;SCD;SQLE;TM7SF2;PMVK;EBP;FAM129A;ANTXR2;HMGCR;NSDHL;CYP51A1;CBS;ALDOC;FDFT1;GUSB;PNRC1;TMEM97;LSS	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_COAGULATION	0.395040966578988	1.03303365607997	0.375144032921811	up	138	114	0.568400049881531	0.0265585316014455	TIMP1;PEF1;CAPN2;ARF4;WDR1;ISCU;F12;PREP;GSN;LTA4H;CASP9;CTSB	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_COMPLEMENT	0.360129093553546	0.987985576727352	0.474446868183235	up	200	173	0.642330011536433	0.0218064754381049	TIMP1;USP16;CTSC;PPP4C;CALM1;PFN1;SCG3;PLSCR1;CD59;SH2B3;KLK1;ME1;ANXA5;PREP;LTA4H;TNFAIP3;CASP9;CTSB;PRDM4;CASP3;SIRT6;GRB2;GMFB;DOCK4;RABIF;NOTCH4;RCE1;DOCK9;CALM3;CASP10;CCL5;MMP15;DUSP5;CEBPB;CSRP1	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_DNA_REPAIR	0.5701521545444	1.53050878813413	0.0006028286881344	up	150	142	0.0075353586016809	0.477270815362862	EDF1;GTF2A2;POLR3GL;NME1;CSTF3;EIF1B;POLR2I;SSRP1;NT5C;POLE4;APRT;POLR2G;RPA2;HPRT1;POLR2E;TAF12;TMED2;PCNA;SF3A3;DUT;NUDT21;TAF10;DAD1;FEN1;RAD51;POLR2C;GUK1;AK1;ITPA;GMPR2;NCBP2;POLB;ERCC1;PRIM1;MPG;RNMT;TAF6;AAAS;POLR3C;RBX1;TYMS;VPS28;RFC2;POLA1;RPA3;GTF2B;RFC5;POLR2F;POLR1C;POLD4	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_E2F_TARGETS	0.399876189238211	1.11265364878326	0.201847575057737	up	200	198	0.480589464423183	0.0371496772766645	TUBG1;DCTPP1;NME1;SSRP1;DEK;RAN;DDX39A;H2AFZ;POLE4;RPA2;SRSF2;STMN1;HMGB3;SYNCRIP;HN1;PA2G4;PCNA;PSIP1;DUT;NUDT21;TIPIN;PAICS;CDC25A;UNG;TMPO;UBE2T;MCM7;DNMT1;MAD2L1;XRCC6;MELK;PMS2;NOP56;USP1;MCM5;BRCA2;PNN;CENPM;NBN;CHEK2;GSPT1;RFC2;MCM2;NUP205;SLBP;RPA3;BRCA1;MSH2;SMC3;TK1;HELLS;RAD1;BRMS1L;CDCA8;MRE11A;EZH2;PPP1R8;CDKN1A;POLD3;MCM4;MCM3;GINS4;STAG1;RANBP1;RNASEH2A;CCNB2;E2F8;RRM2;UBR7;CDKN2C	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.298960598771216	0.814983175800909	0.937549158408054	up	200	163	0.956682814702096	0.0118796376483607	TIMP1;TNFRSF12A;PDLIM4;CD59;PMP22;MCM7;DAB2;TGFBR3;EMP3	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.314510526987102	-0.919608593228335	0.72740193291643	down	200	185	0.808224369907144	0.0246045711829513	FASN;DHCR7;KRT19;NXT1;ELOVL5;MYB;STC2;RAB31;MICB;XBP1;SLC2A1;AFF1;OPN3;SLC9A3R1;DHRS3;ASB13;KLF10;MUC1;SCARB1;UGCG;TFF1;MAST4;FDFT1;ARL3;SYBU;TIPARP;RHOBTB3;TPD52L1;BHLHE40;RPS6KA2	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.396449032760059	-1.15850328444272	0.102311161217587	down	200	183	0.371077184054283	0.0743880192035108	GAL;TOP2A;NMU;DHCR7;IDH2;KRT19;DNAJC1;NXT1;ELOVL5;MYB;CDC20;RAB31;PTGER3;MICB;XBP1;AFF1;OPN3;RABEP1;SLC9A3R1;SLC2A8;SCARB1;TFF1;SLC29A1;FDFT1;UGDH;ARL3;DNAJC12;TPD52L1;RPS6KA2;LLGL2	K562_7d	CREB1	2713	5381	23111	mean_log_expr_perturbed_minus_control	False	H
