context	target	n_perturbed	n_control	included	exclusion_reason
HCC1143	ARID1A	195	1325	True	
HCC1143	BMPR1A	93	1325	True	
HCC1143	CDKN2A	169	1325	True	
HCC1143	COMMD6	324	1325	True	
HCC1143	ENY2	161	1325	True	
HCC1143	ERC1	412	1325	True	
HCC1143	ETV3	187	1325	True	
HCC1143	GON4L	115	1325	True	
HCC1143	HDGF	319	1325	True	
HCC1143	HLX	213	1325	True	
HCC1143	KLF3	223	1325	True	
HCC1143	LAMTOR5	274	1325	True	
HCC1143	MAML3	341	1325	True	
HCC1143	MIER1	254	1325	True	
HCC1143	MTDH	290	1325	True	
HCC1143	MYBL1	142	1325	True	
HCC1143	NCOA1	334	1325	True	
HCC1143	NPM1	125	1325	True	
HCC1143	PA2G4	154	1325	True	
HCC1143	PARK7	215	1325	True	
HCC1143	PCBD1	214	1325	True	
HCC1143	PEX14	282	1325	True	
HCC1143	PFDN5	57	1325	True	
HCC1143	PMF1	40	1325	True	
HCC1143	PRDX2	186	1325	True	
HCC1143	PRPF6	23	1325	True	
HCC1143	RORC	230	1325	True	
HCC1143	RPS3	72	1325	True	
HCC1143	RUVBL2	51	1325	True	
HCC1143	SMAD1	299	1325	True	
HCC1143	STAT3	305	1325	True	
HCC1143	TAB3	222	1325	True	
HCC1143	TADA3	133	1325	True	
HCC1143	THAP8	335	1325	True	
HCC1143	THRA	188	1325	True	
HCC1143	TMF1	145	1325	True	
HCC1143	TMSB4X	266	1325	True	
HCC1143	UBP1	267	1325	True	
HCC1143	VEZF1	255	1325	True	
HCC1143	XBP1	314	1325	True	
HCC1143	YBX1	177	1325	True	
HCC1143	ZBTB17	75	1325	True	
HCC1143	ZBTB20	315	1325	True	
HCC1143	ZBTB5	212	1325	True	
HCC1143	ZNF131	43	1325	True	
HCC1143	ZNF24	462	1325	True	
HCC1143	ZNF566	372	1325	True	
