pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection
HALLMARK_ADIPOGENESIS	-0.483241557873523	-1.0841629565131	0.292858951633325	down	200	189	0.472353147795685	0.0263044662674893	MYLK;ETFB;GPHN;BCL2L13;ANGPTL4;GHITM;SLC25A1;ATP1B3;CD151;GPD2;UQCRC1;GBE1;MRPL15;AK2;GADD45A;SDHB;ELOVL6;COX8A;IMMT;TALDO1;PIM3;SLC1A5;CS;IDH1;SCARB1;PPARG;GRPEL1;SLC25A10;CYC1;DHCR7;ATL2;SSPN;NDUFA5;QDPR;ME1;SDHC;CMBL;VEGFB;GPX3;REEP5;SNCG;COX7B;COL4A1;ESYT1;PFKFB3;CDKN2C;RIOK3;NDUFB7;ADIPOR2;PRDX3;CMPK1;DHRS7;AIFM1;ACLY;ECHS1;SLC19A1;PREB;UCK1;LPCAT3;ARL4A;ALDH2;CAT;YWHAG;SLC5A6;PHLDB1;UQCR11;CHUK;LAMA4;COQ3;UBQLN1;PGM1;ESRRA	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ALLOGRAFT_REJECTION	-0.569212921714419	-1.28184409849202	0.0474328245237795	down	200	199	0.169402944727784	0.0730396943187741	TGFB2;FLNA;EREG;EGFR;EIF5A;NME1;RIPK2;HIF1A;LYN;EIF4G3;INHBA;CD47;EIF3J;NPM1;RPL9;EIF3A;DEGS1;TPD52;EIF3D;NCK1;AARS;MRPL3;ABCE1;BCL3;IL4R;BRCA1;MTIF2;UBE2D1;SRGN;B2M;GLMN;IL11;TAP1;ITGB2;GCNT1;TAP2;ELF4;IL15	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANDROGEN_RESPONSE	-0.640965035971227	-1.3511501623252	0.0409340659340659	down	101	97	0.160660893876442	0.0823897152356557	ELL2;KRT19;SMS;INPP4B;PMEPA1;ACTN1;FADS1;TSC22D1;PDLIM5;LMAN1;TNFAIP8;PA2G4;XRCC6;VAPA;STK39;ZMIZ1;AKAP12;DHCR24;CENPN;HMGCS1;ANKH;TPD52;CDC14B;RPS6KA3;TMEM50A;RRP12;NCOA4;GSR;XRCC5;HOMER2;PTK2B;SRP19;SRF;IDI1;B2M;UBE2I;SPCS3;GNAI3;ITGAV;ELK4	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANGIOGENESIS	0.468199235084298	0.947785424507095	0.525514519312095	up	36	36	0.59717559012738	0.0301460999658088	S100A4;FGFR1;APP;CXCL6;JAG2;LRPAP1;VAV2;JAG1	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_JUNCTION	-0.58487835667177	-1.31475368679568	0.0327309490711487	down	200	194	0.160660893876442	0.0885639937858774	TGFBI;SLIT2;MSN;CDH3;DLG1;NEGR1;LAMA3;MYH9;ACTB;FSCN1;ACTG1;ACTN1;ITGA2;RSU1;CAP1;EGFR;VCL;ITGA3;ZYX;IRS1;ACTN4;CLDN4;ARPC2;MPP5;MMP2;DHX16;CDH11;SKAP2;NF2;SIRPA;NEXN;MAPK14;YWHAH;AMIGO2;TJP1;LAMC2;PARVA;CDK8;CNN2;SPEG;AKT2;CTNND1;BMP1;GNAI1;BAIAP2;STX4;EXOC4;ADAM9;TUBG1;MVD;TSPAN4;COL16A1	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_SURFACE	-0.593900058788931	-1.12825731809547	0.288763531026071	down	44	43	0.472353147795685	0.0298511527978155	DCBLD2;HSPB1;EFNA5;ATP8B1;LYN;RTN4RL1	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APOPTOSIS	-0.519744858630878	-1.14947427027361	0.19778236204229	down	161	158	0.38111928963664	0.0338989746763238	CAV1;TGFB2;TNFRSF12A;ANXA1;HSPB1;EREG;EMP1;PMAIP1;CDC25B;CD44;LMNA;SQSTM1;DFFA;MMP2;JUN;GADD45A;ETF1;VDAC2;PPT1;TOP2A;PEA15;SMAD7;SLC20A1;GADD45B;ANKH;GPX3;IER3;BRCA1;BTG3;CLU;GSR;BAX	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_BILE_ACID_METABOLISM	-0.352884747678289	-0.753722003128926	0.938632062719654	down	112	112	0.938632062719654	0.0095724295880711	ATXN1;GCLM;FADS1;SLC23A2;DIO2;DHCR24;NPC1;PXMP2;IDH1;BCAR3;GNPAT;IDI1;ABCA5;ALDH9A1;CROT;CAT;ISOC1;HSD17B11;PEX26	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.419365600950219	-0.855445068136711	0.723574906903466	down	74	72	0.753723861357777	0.0142794746192913	TNFRSF12A;FABP5;ACTG1;ANXA5;TRIB3;CYP51A1;FASN;HMGCS1;PPARG;DHCR7;FDPS;PDK3;LDLR;CLU;STX5;GUSB;GNAI1;IDI1;MVD;NFIL3;ACSS2;TMEM97;SQLE;CPEB2;MAL2;ACAT2	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_COAGULATION	-0.481303576033811	-1.0489324875309	0.364843544570076	down	138	136	0.536534624367759	0.0232820004194105	PRSS23;ANXA1;CAPN2;CTSB;F3;THBS1;ITGA2;GNG12;MMP2;SPARC;DPP4;LAMP2;MMP7;GNB2;PLAU;ARF4;CTSH;CFI;CLU;BMP1;RAC1;F12;CSRP1	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_COMPLEMENT	-0.370918360042469	-0.834203991291179	0.844598862918509	down	200	195	0.861835574406642	0.0101610006263293	CTSB;F3;S100A9;CTSC;CPM;ANXA5;LYN;PDP1;DPP4;LAMP2;GPD2;GNB2;DOCK9;PCLO;DGKH;PSMB9;FDX1;GNB4;CTSH;PPP4C;CEBPB;ME1;LAP3;GNG2;EHD1;DUSP5;CLU;CD55;STX4;GNAI3;CSRP1;ADAM9;DGKG;XPNPEP1;RAF1;USP14;PPP2CB;PRCP;CBLB;GMFB;USP15;TNFAIP3;COL4A2;PDGFB;SRC;PRSS3;PRDM4;PREP;SIRT6;AKAP10	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_DNA_REPAIR	-0.426299780931619	-0.932478663454494	0.61087098886706	down	150	141	0.660368545204008	0.0154332109109736	SSRP1;RPA3;NME1;APRT;ZWINT;AK1;REV3L;PCNA;RALA;CETN2;TAF9;RFC2;HPRT1;RPA2;POLE4;GUK1;FEN1;SMAD5;PNP;POLR1D;ERCC8;POLA1;DGUOK;COX17;POLR2H;SAC3D1;NUDT21;AK3;CSTF3;POM121;SEC61A1;RFC3;NFX1;POLR2C;POLR2G;RFC4;CANT1;IMPDH2;SDCBP;SUPT4H1;POLA2;POLR2I;ERCC4;BOLA2;POLR3C;TSG101;RAD52;GMPR2;POLR2E;POLR2J;PRIM1;DGCR8;MRPL40;GTF2A2;EIF1B;UPF3B;GTF2H1;NME3;POLD3;DDB1;DUT;STX3;GTF3C5	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_E2F_TARGETS	-0.769742682002915	-1.73226883851995	9.06517725471281e-08	down	200	196	2.2662943136782e-06	0.704975715167238	HMGA1;H2AFZ;CDKN3;NOP56;RANBP1;PRKDC;SSRP1;CDC25B;TFRC;RPA3;PAICS;GSPT1;CSE1L;NME1;MYBL2;TK1;MCM4;PA2G4;ILF3;LBR;XRCC6;CKS1B;PSMC3IP;NOLC1;RFC1;HNRNPD;KIF2C;CDK4;SMC6;DSCC1;MSH2;SRSF2;ATAD2;PRPS1;AK2;PCNA;RAD50;POLD2;BIRC5;ORC6;EIF2S1;RPA1;GINS1;NUP153;SMC1A;DEK;CENPE;IPO7;RFC2;UNG;DCTPP1;RPA2;POLE4;TUBB;TOP2A;NUP107;DIAPH3;BARD1;STAG1;MYC;KPNA2;LYAR;XPO1;NAP1L1;CCNE1;KIF4A;RAD51C;KIF18B;EZH2;TRA2B;MMS22L;PRDX4;POLE;NUP205;CENPM;PNN;PLK1;NUDT21;BRCA1;CKS2;MCM6;TACC3;BRCA2;MCM2;MCM3;TIPIN;CDCA8;RFC3;NASP;CDK1;MKI67;AURKA;ORC2;CDC20;USP1;DONSON;CDKN2C;SLBP;MELK;PRIM2;TIMELESS;POLA2;TRIP13;GINS4;HELLS;RAN;RAD1;PPM1D;TUBG1;DCLRE1B;HMMR;H2AFX;SMC3	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.605817497408736	-1.3624975972463	0.0170562223626027	down	200	195	0.127931769722815	0.123558344666082	FLNA;TGFBI;SLIT2;TNFRSF12A;MYLK;CDH2;BASP1;EMP3;AREG;PLOD2;SERPINE2;ANPEP;TNC;LAMA3;TPM4;THBS1;COL6A2;TGM2;PDLIM4;COL5A1;PMEPA1;FSTL1;ITGA2;MEST;CD44;LOXL2;VIM;DST;VEGFA;CALD1;COL12A1;TPM2;PFN2;INHBA;VEGFC;MMP2;SPARC;ADAM12;PCOLCE2;IGFBP4;CDH11;JUN;GLIPR1;GADD45A;LGALS1;PLOD3;LAMC2;MATN2;PPIB;COPA;GADD45B;GEM;FAP;CTHRC1;PTX3;WIPF1	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.538626902291071	-1.21138439104651	0.106885660138977	down	200	195	0.285777440949855	0.0474718353392469	PRSS23;RAB31;KRT19;AREG;RHOBTB3;SLC16A1;NRIP1;FLNB;SVIL;PMAIP1;TGM2;RBBP8;KAZN;SLC7A5;CD44;FHL2;SFN;NBL1;UGCG;SLC9A3R1;PPIF;TPD52L1;AFF1;FKBP4;TIAM1;IGFBP4;SLC2A1;ISG20L2;ALDH3B1;FASN;MLPH;LAD1;MYC;SYNGR1;SCARB1;TPBG;DHCR7;ENDOD1;PTGES;OLFM1;DYNLT3;STC2;MYBL1;SH3BP5;TBC1D30;RRP12;SLC39A6;GFRA1;ASB13;CANT1;CELSR1;TSKU;HES1;BHLHE40;MYBBP1A;AKAP1;SNX24;BLVRB;GLA;INPP5F;SYBU;ADD3;NXT1;SLC22A5	HCC38	ARID1A	365	1666	36601	mean_log_expr_perturbed_minus_control	False	H
