context	target_gene	n_target_cells	n_control_cells	included	exclusion_reason
HCC38	ARID1A	365	1666	True	
HCC38	BMPR1A	212	1666	True	
HCC38	CDKN2A	399	1666	True	
HCC38	COMMD6	395	1666	True	
HCC38	ENY2	93	1666	True	
HCC38	ERC1	433	1666	True	
HCC38	ETV3	244	1666	True	
HCC38	GON4L	167	1666	True	
HCC38	HDGF	254	1666	True	
HCC38	HLX	289	1666	True	
HCC38	KLF3	236	1666	True	
HCC38	LAMTOR5	157	1666	True	
HCC38	MAML3	423	1666	True	
HCC38	MIER1	267	1666	True	
HCC38	MTDH	282	1666	True	
HCC38	MYBL1	220	1666	True	
HCC38	NCOA1	389	1666	True	
HCC38	NPM1	80	1666	True	
HCC38	PA2G4	194	1666	True	
HCC38	PARK7	254	1666	True	
HCC38	PCBD1	428	1666	True	
HCC38	PEX14	439	1666	True	
HCC38	PFDN5	67	1666	True	
HCC38	PMF1	94	1666	True	
HCC38	PRDX2	302	1666	True	
HCC38	PRPF6	25	1666	True	
HCC38	RORC	296	1666	True	
HCC38	RPS3	69	1666	True	
HCC38	RUVBL2	95	1666	True	
HCC38	SMAD1	321	1666	True	
HCC38	STAT3	394	1666	True	
HCC38	TAB3	246	1666	True	
HCC38	TADA3	177	1666	True	
HCC38	THAP8	276	1666	True	
HCC38	THRA	266	1666	True	
HCC38	TMF1	206	1666	True	
HCC38	TMSB4X	352	1666	True	
HCC38	UBP1	371	1666	True	
HCC38	VEZF1	226	1666	True	
HCC38	XBP1	394	1666	True	
HCC38	YBX1	177	1666	True	
HCC38	ZBTB17	139	1666	True	
HCC38	ZBTB20	471	1666	True	
HCC38	ZBTB5	363	1666	True	
HCC38	ZNF131	118	1666	True	
HCC38	ZNF24	472	1666	True	
HCC38	ZNF566	372	1666	True	
HCC1143	ARID1A	195	1325	True	
HCC1143	BMPR1A	93	1325	True	
HCC1143	CDKN2A	169	1325	True	
HCC1143	COMMD6	324	1325	True	
HCC1143	ENY2	161	1325	True	
HCC1143	ERC1	412	1325	True	
HCC1143	ETV3	187	1325	True	
HCC1143	GON4L	115	1325	True	
HCC1143	HDGF	319	1325	True	
HCC1143	HLX	213	1325	True	
HCC1143	KLF3	223	1325	True	
HCC1143	LAMTOR5	274	1325	True	
HCC1143	MAML3	341	1325	True	
HCC1143	MIER1	254	1325	True	
HCC1143	MTDH	290	1325	True	
HCC1143	MYBL1	142	1325	True	
HCC1143	NCOA1	334	1325	True	
HCC1143	NPM1	125	1325	True	
HCC1143	PA2G4	154	1325	True	
HCC1143	PARK7	215	1325	True	
HCC1143	PCBD1	214	1325	True	
HCC1143	PEX14	282	1325	True	
HCC1143	PFDN5	57	1325	True	
HCC1143	PMF1	40	1325	True	
HCC1143	PRDX2	186	1325	True	
HCC1143	PRPF6	23	1325	True	
HCC1143	RORC	230	1325	True	
HCC1143	RPS3	72	1325	True	
HCC1143	RUVBL2	51	1325	True	
HCC1143	SMAD1	299	1325	True	
HCC1143	STAT3	305	1325	True	
HCC1143	TAB3	222	1325	True	
HCC1143	TADA3	133	1325	True	
HCC1143	THAP8	335	1325	True	
HCC1143	THRA	188	1325	True	
HCC1143	TMF1	145	1325	True	
HCC1143	TMSB4X	266	1325	True	
HCC1143	UBP1	267	1325	True	
HCC1143	VEZF1	255	1325	True	
HCC1143	XBP1	314	1325	True	
HCC1143	YBX1	177	1325	True	
HCC1143	ZBTB17	75	1325	True	
HCC1143	ZBTB20	315	1325	True	
HCC1143	ZBTB5	212	1325	True	
HCC1143	ZNF131	43	1325	True	
HCC1143	ZNF24	462	1325	True	
HCC1143	ZNF566	372	1325	True	
