cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	dataset_role	control_target_prefix	single_perturbation_filter_status	single_perturbation_evidence_source	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_shift_top50_concentration	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	shift_value	depmap_value_raw	depmap_strength	shift_quantile	depmap_quantile	shift_band	depmap_band	joint_grid	grid_role	is_q1_anchor	is_q2_transcriptomic_excess	is_q3_dependency_excess	is_q4_low_information
HCC1143	ACH-000374	PFDN5	57	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.766008110486418	0.0102329499993855	0.3678506816140182	0.2788155707784975	0.2260696959735927	0.0372214446292738	0.8441328021229424	23	-1.230578156287104	0.9694975960688984	True	True	both	0.0102329499993855	0.9694975960688984	0.9694975960688984	0.8333333333333334	0.8958333333333334	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	PMF1	40	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	5.460196344335996	0.0127756932567781	0.2975810380601958	0.2479672712088868	0.2158728362702784	0.0265147135767589	1.0245916696123525	17	-1.119192133800067	0.9510487581740272	True	True	both	0.0127756932567781	0.9510487581740272	0.9510487581740272	0.9583333333333334	0.875	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	PRPF6	23	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	6.723676671381678	0.0154111896961658	0.3700960036228474	0.3162707465826982	0.2734390827387445	0.0280349580576676	1.3888179558882818	53	-1.862027728723321	1.0	True	True	both	0.0154111896961658	1.0	1.0	0.9791666666666666	0.96875	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	RPS3	72	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	3.49877472663025	0.007860948328555	0.2236248683791814	0.168831286242984	0.1410125990089198	0.0293396575646691	0.3122553820168789	2	-1.8308395717061807	1.0	True	True	both	0.007860948328555	1.0	1.0	0.7708333333333334	0.96875	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	RUVBL2	51	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	5.345672749772987	0.0119327730703482	0.2984163603314346	0.2582937055568975	0.2264243925045004	0.0295698753915554	1.0355165695804445	23	-3.079405316707214	1.0	True	True	both	0.0119327730703482	1.0	1.0	0.9375	0.96875	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	SS18L2	26	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	11.5977256376572	0.0243279181183303	0.6977151119201654	0.5932496586215098	0.5114334740029965	0.0333126824300744	4.690976596338615	472	-3.306704834241443	1.0	True	True	both	0.0243279181183303	1.0	1.0	1.0	0.96875	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	TADA3	133	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	5.1135832829938925	0.0103750807743799	0.3561943203740359	0.2862839964487921	0.2417076083553898	0.0376949036690522	0.9134916210408156	28	-0.3196085427253	0.2498577956515995	True	True	both	0.0103750807743799	0.2498577956515995	0.2498577956515995	0.8541666666666666	0.7708333333333334	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	YBX1	177	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	3.8245990837962864	0.0077493948528648	0.2747349702501908	0.2045421658170788	0.1668213502598506	0.0360572095126519	0.5152004796380538	3	-1.377081609330736	0.9913468022551738	True	True	both	0.0077493948528648	0.9913468022551738	0.9913468022551738	0.75	0.9166666666666666	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	ZBTB17	75	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.928221899857864	0.010587215682323	0.331468708688747	0.267377969903978	0.2236981831707293	0.0345001445001319	0.7729151982489384	22	-0.636991913780868	0.7578619386258375	True	True	both	0.010587215682323	0.7578619386258375	0.7578619386258375	0.9166666666666666	0.8333333333333334	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
HCC1143	ACH-000374	ZNF131	43	1325	3	11636	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.608186179220708	0.0105522037854389	0.2597907369298721	0.2188515031520965	0.1880083787940291	0.0283324034335955	0.5367398728001795	10	-1.08124407956173	0.9463812533969612	True	True	both	0.0105522037854389	0.9463812533969612	0.9463812533969612	0.8958333333333334	0.8541666666666666	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False
