timestamp_utc	candidate_rank	model_id	variant_id	phase	status	message
2026-04-09T08:02:50.495510+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	train	skipped_existing	raw predictions already exist
2026-04-09T08:02:50.495531+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	export_HCC38	started	
2026-04-09T08:02:51.779216+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	export_HCC38	completed	
2026-04-09T08:02:51.779253+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	export_HCC1143	started	
2026-04-09T08:02:52.868669+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	export_HCC1143	completed	
2026-04-09T08:02:52.868706+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	smoke	started	
2026-04-09T08:03:40.606189+00:00	2	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	e30_lr1e-03_wd1e-05	smoke	completed	
2026-04-09T08:03:40.608599+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	train	started	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e30_lr5e-04_wd1e-06.json
2026-04-09T08:49:27.116938+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	train	completed	
2026-04-09T08:49:27.116990+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	export_HCC38	started	
2026-04-09T08:49:28.151093+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	export_HCC38	completed	
2026-04-09T08:49:28.151112+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	export_HCC1143	started	
2026-04-09T08:49:29.181263+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	export_HCC1143	completed	
2026-04-09T08:49:29.181279+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	smoke	started	
2026-04-09T08:50:13.928074+00:00	3	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	e30_lr5e-04_wd1e-06	smoke	completed	
2026-04-09T08:50:13.930356+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	train	started	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e30_lr2e-03_wd1e-06.json
2026-04-09T09:33:08.368614+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	train	completed	
2026-04-09T09:33:08.368657+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	export_HCC38	started	
2026-04-09T09:33:09.388420+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	export_HCC38	completed	
2026-04-09T09:33:09.388438+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	export_HCC1143	started	
2026-04-09T09:33:10.429729+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	export_HCC1143	completed	
2026-04-09T09:33:10.429748+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	smoke	started	
2026-04-09T09:33:57.452774+00:00	4	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	e30_lr2e-03_wd1e-06	smoke	completed	
2026-04-09T09:33:57.454953+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	train	started	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e20_lr1e-03_wd1e-06.json
2026-04-09T10:02:43.647690+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	train	completed	
2026-04-09T10:02:43.647738+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	export_HCC38	started	
2026-04-09T10:02:44.717852+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	export_HCC38	completed	
2026-04-09T10:02:44.717869+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	export_HCC1143	started	
2026-04-09T10:02:45.760746+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	export_HCC1143	completed	
2026-04-09T10:02:45.760760+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	smoke	started	
2026-04-09T10:03:32.955924+00:00	5	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	e20_lr1e-03_wd1e-06	smoke	completed	
2026-04-09T10:03:32.958165+00:00	6	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	e40_lr1e-03_wd1e-06	train	started	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e40_lr1e-03_wd1e-06.json
2026-04-09T10:59:50.823673+00:00	6	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	e40_lr1e-03_wd1e-06	train	completed	
2026-04-09T10:59:50.823717+00:00	6	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	e40_lr1e-03_wd1e-06	export_HCC38	started	
2026-04-09T10:59:51.855666+00:00	6	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	e40_lr1e-03_wd1e-06	export_HCC38	completed	
2026-04-09T10:59:51.855701+00:00	6	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	e40_lr1e-03_wd1e-06	export_HCC1143	started	
