scope,metric_x,metric_y,n_model_contexts,spearman_rho,inference_role
HCC1143,endpoint_alignment_spearman,endpoint_alignment_spearman,9,1.0,descriptive_not_independent_model_trials
HCC1143,endpoint_alignment_spearman,directional_recovery_median_signed_cosine,9,0.45,descriptive_not_independent_model_trials
HCC1143,endpoint_alignment_spearman,anchor_separation_auc,9,0.8117225864930513,descriptive_not_independent_model_trials
HCC1143,endpoint_alignment_spearman,target_identity_spearman,9,0.13333333333333333,descriptive_not_independent_model_trials
HCC1143,endpoint_alignment_spearman,negative_excess_homogenization_uncentered,9,-0.11666666666666665,descriptive_not_independent_model_trials
HCC1143,endpoint_alignment_spearman,conventional_pearson_median,9,0.35,descriptive_not_independent_model_trials
HCC1143,endpoint_alignment_spearman,negative_conventional_normalized_rmse_median,9,-0.48333333333333334,descriptive_not_independent_model_trials
HCC1143,directional_recovery_median_signed_cosine,directional_recovery_median_signed_cosine,9,1.0,descriptive_not_independent_model_trials
HCC1143,directional_recovery_median_signed_cosine,anchor_separation_auc,9,0.22594340036404525,descriptive_not_independent_model_trials
HCC1143,directional_recovery_median_signed_cosine,target_identity_spearman,9,-0.18333333333333335,descriptive_not_independent_model_trials
HCC1143,directional_recovery_median_signed_cosine,negative_excess_homogenization_uncentered,9,-0.5,descriptive_not_independent_model_trials
HCC1143,directional_recovery_median_signed_cosine,conventional_pearson_median,9,0.9333333333333332,descriptive_not_independent_model_trials
HCC1143,directional_recovery_median_signed_cosine,negative_conventional_normalized_rmse_median,9,0.13333333333333333,descriptive_not_independent_model_trials
HCC1143,anchor_separation_auc,anchor_separation_auc,9,1.0,descriptive_not_independent_model_trials
HCC1143,anchor_separation_auc,target_identity_spearman,9,0.25104822262671694,descriptive_not_independent_model_trials
HCC1143,anchor_separation_auc,negative_excess_homogenization_uncentered,9,-0.3096261412396175,descriptive_not_independent_model_trials
HCC1143,anchor_separation_auc,conventional_pearson_median,9,0.06694619270045785,descriptive_not_independent_model_trials
HCC1143,anchor_separation_auc,negative_conventional_normalized_rmse_median,9,-0.25941649671427414,descriptive_not_independent_model_trials
HCC1143,target_identity_spearman,target_identity_spearman,9,1.0,descriptive_not_independent_model_trials
HCC1143,target_identity_spearman,negative_excess_homogenization_uncentered,9,-0.03333333333333333,descriptive_not_independent_model_trials
HCC1143,target_identity_spearman,conventional_pearson_median,9,-0.049999999999999996,descriptive_not_independent_model_trials
HCC1143,target_identity_spearman,negative_conventional_normalized_rmse_median,9,-0.41666666666666663,descriptive_not_independent_model_trials
HCC1143,negative_excess_homogenization_uncentered,negative_excess_homogenization_uncentered,9,1.0,descriptive_not_independent_model_trials
HCC1143,negative_excess_homogenization_uncentered,conventional_pearson_median,9,-0.5499999999999999,descriptive_not_independent_model_trials
HCC1143,negative_excess_homogenization_uncentered,negative_conventional_normalized_rmse_median,9,-0.39999999999999997,descriptive_not_independent_model_trials
HCC1143,conventional_pearson_median,conventional_pearson_median,9,1.0,descriptive_not_independent_model_trials
HCC1143,conventional_pearson_median,negative_conventional_normalized_rmse_median,9,0.0,descriptive_not_independent_model_trials
HCC1143,negative_conventional_normalized_rmse_median,negative_conventional_normalized_rmse_median,9,1.0,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,endpoint_alignment_spearman,9,1.0,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,directional_recovery_median_signed_cosine,9,0.2333333333333333,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,anchor_separation_auc,9,0.7731365422707365,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,target_identity_spearman,9,-0.2333333333333333,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,negative_excess_homogenization_uncentered,9,-0.13333333333333333,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,conventional_pearson_median,9,0.39999999999999997,descriptive_not_independent_model_trials
HCC38,endpoint_alignment_spearman,negative_conventional_normalized_rmse_median,9,-0.6666666666666667,descriptive_not_independent_model_trials
HCC38,directional_recovery_median_signed_cosine,directional_recovery_median_signed_cosine,9,1.0,descriptive_not_independent_model_trials
HCC38,directional_recovery_median_signed_cosine,anchor_separation_auc,9,0.6386780131801736,descriptive_not_independent_model_trials
HCC38,directional_recovery_median_signed_cosine,target_identity_spearman,9,0.38333333333333336,descriptive_not_independent_model_trials
HCC38,directional_recovery_median_signed_cosine,negative_excess_homogenization_uncentered,9,-0.9666666666666667,descriptive_not_independent_model_trials
HCC38,directional_recovery_median_signed_cosine,conventional_pearson_median,9,0.8833333333333333,descriptive_not_independent_model_trials
HCC38,directional_recovery_median_signed_cosine,negative_conventional_normalized_rmse_median,9,-0.2333333333333333,descriptive_not_independent_model_trials
HCC38,anchor_separation_auc,anchor_separation_auc,9,1.0,descriptive_not_independent_model_trials
HCC38,anchor_separation_auc,target_identity_spearman,9,-0.0420182903408009,descriptive_not_independent_model_trials
HCC38,anchor_separation_auc,negative_excess_homogenization_uncentered,9,-0.4958158260214505,descriptive_not_independent_model_trials
HCC38,anchor_separation_auc,conventional_pearson_median,9,0.6470816712483337,descriptive_not_independent_model_trials
HCC38,anchor_separation_auc,negative_conventional_normalized_rmse_median,9,-0.5714487486348921,descriptive_not_independent_model_trials
HCC38,target_identity_spearman,target_identity_spearman,9,1.0,descriptive_not_independent_model_trials
HCC38,target_identity_spearman,negative_excess_homogenization_uncentered,9,-0.3,descriptive_not_independent_model_trials
HCC38,target_identity_spearman,conventional_pearson_median,9,0.4666666666666666,descriptive_not_independent_model_trials
HCC38,target_identity_spearman,negative_conventional_normalized_rmse_median,9,0.049999999999999996,descriptive_not_independent_model_trials
HCC38,negative_excess_homogenization_uncentered,negative_excess_homogenization_uncentered,9,1.0,descriptive_not_independent_model_trials
HCC38,negative_excess_homogenization_uncentered,conventional_pearson_median,9,-0.7999999999999999,descriptive_not_independent_model_trials
HCC38,negative_excess_homogenization_uncentered,negative_conventional_normalized_rmse_median,9,0.11666666666666665,descriptive_not_independent_model_trials
HCC38,conventional_pearson_median,conventional_pearson_median,9,1.0,descriptive_not_independent_model_trials
HCC38,conventional_pearson_median,negative_conventional_normalized_rmse_median,9,-0.38333333333333336,descriptive_not_independent_model_trials
HCC38,negative_conventional_normalized_rmse_median,negative_conventional_normalized_rmse_median,9,1.0,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,endpoint_alignment_spearman,18,1.0,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,directional_recovery_median_signed_cosine,18,0.32301341589267285,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,anchor_separation_auc,18,0.8000009614824136,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,target_identity_spearman,18,-0.12899896800825592,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,negative_excess_homogenization_uncentered,18,-0.1455108359133127,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,conventional_pearson_median,18,0.27966976264189886,descriptive_not_independent_model_trials
pooled_model_context_descriptive,endpoint_alignment_spearman,negative_conventional_normalized_rmse_median,18,-0.5583075335397317,descriptive_not_independent_model_trials
pooled_model_context_descriptive,directional_recovery_median_signed_cosine,directional_recovery_median_signed_cosine,18,1.0,descriptive_not_independent_model_trials
pooled_model_context_descriptive,directional_recovery_median_signed_cosine,anchor_separation_auc,18,0.4051684456086643,descriptive_not_independent_model_trials
pooled_model_context_descriptive,directional_recovery_median_signed_cosine,target_identity_spearman,18,0.23839009287925697,descriptive_not_independent_model_trials
pooled_model_context_descriptive,directional_recovery_median_signed_cosine,negative_excess_homogenization_uncentered,18,-0.7647058823529412,descriptive_not_independent_model_trials
pooled_model_context_descriptive,directional_recovery_median_signed_cosine,conventional_pearson_median,18,0.9463364293085655,descriptive_not_independent_model_trials
pooled_model_context_descriptive,directional_recovery_median_signed_cosine,negative_conventional_normalized_rmse_median,18,-0.04437564499484004,descriptive_not_independent_model_trials
pooled_model_context_descriptive,anchor_separation_auc,anchor_separation_auc,18,1.0,descriptive_not_independent_model_trials
pooled_model_context_descriptive,anchor_separation_auc,target_identity_spearman,18,0.0434109048866426,descriptive_not_independent_model_trials
pooled_model_context_descriptive,anchor_separation_auc,negative_excess_homogenization_uncentered,18,-0.4723519888856111,descriptive_not_independent_model_trials
