scope,cell_line,entrant_id,metric,estimate,ci_low,ci_high,jackknife_se,n_targets,status
m4,HCC1143,cellot_hcc_seed123_retrain_v1,predicted_homogenization_uncentered,0.5665588833822041,0.5330500390694182,0.60006772769499,0.0166470850901429,47,target_delete_one_jackknife
m4,HCC1143,cellot_hcc_seed123_retrain_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,cellot_hcc_seed123_retrain_v1,excess_homogenization_uncentered,0.5060306338122138,0.4539217319817397,0.5581395356426879,0.025887533292063156,47,target_delete_one_jackknife
m4,HCC1143,cellot_hcc_seed123_retrain_v1,predicted_homogenization_centered,-0.006025112409223984,-0.030888296247880132,0.018838071429432165,0.012351949029052133,47,target_delete_one_jackknife
m4,HCC1143,cellot_hcc_seed123_retrain_v1,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,cellot_hcc_seed123_retrain_v1,excess_homogenization_centered,-0.04215514836593051,-0.0893939128501516,0.005083616118290571,0.023468064866146065,47,target_delete_one_jackknife
m4,HCC1143,cpa_v0.8.8,predicted_homogenization_uncentered,0.9387438609106422,0.9156465392368762,0.9618411825844082,0.011474674437246115,47,target_delete_one_jackknife
m4,HCC1143,cpa_v0.8.8,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,cpa_v0.8.8,excess_homogenization_uncentered,0.878215611340652,0.8329655231340979,0.923465699547206,0.02248009694633215,47,target_delete_one_jackknife
m4,HCC1143,cpa_v0.8.8,predicted_homogenization_centered,-0.020744274957950105,-0.026033474680187442,-0.015455075235712766,0.0026276572540953986,47,target_delete_one_jackknife
m4,HCC1143,cpa_v0.8.8,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,cpa_v0.8.8,excess_homogenization_centered,-0.05687431091465664,-0.09207397898292648,-0.021674642846386802,0.01748708084371881,47,target_delete_one_jackknife
m4,HCC1143,gears_hcc_formal_v1,predicted_homogenization_uncentered,0.4724202434574844,0.42578426668948177,0.519056220225487,0.02316860188528304,47,target_delete_one_jackknife
m4,HCC1143,gears_hcc_formal_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,gears_hcc_formal_v1,excess_homogenization_uncentered,0.4118919938874942,0.35351651002515994,0.47026747774982847,0.029000750905149593,47,target_delete_one_jackknife
m4,HCC1143,gears_hcc_formal_v1,predicted_homogenization_centered,-0.0005098084860960346,-0.014515968617158276,0.013496351644966209,0.006958214891314329,47,target_delete_one_jackknife
m4,HCC1143,gears_hcc_formal_v1,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,gears_hcc_formal_v1,excess_homogenization_centered,-0.03663984444280256,-0.07267211352549033,-0.0006075753601147982,0.017900714325189426,47,target_delete_one_jackknife
m4,HCC1143,geneformer_hcc_formal_v1,predicted_homogenization_uncentered,0.47775656436213887,0.3857549157711623,0.5697582129531155,0.04570612039708633,47,target_delete_one_jackknife
m4,HCC1143,geneformer_hcc_formal_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,geneformer_hcc_formal_v1,excess_homogenization_uncentered,0.41722831479214867,0.3142784728976317,0.5201781566866657,0.05114514729416813,47,target_delete_one_jackknife
m4,HCC1143,geneformer_hcc_formal_v1,predicted_homogenization_centered,0.003924622521368904,-0.018611111997604776,0.026460357040342587,0.011195679761569061,47,target_delete_one_jackknife
m4,HCC1143,geneformer_hcc_formal_v1,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,geneformer_hcc_formal_v1,excess_homogenization_centered,-0.03220541343533763,-0.07403302361686252,0.009622196746187264,0.020779820972324135,47,target_delete_one_jackknife
m4,HCC1143,lm_g_geneformer_ridge_hcc_formal_v1,predicted_homogenization_uncentered,0.036795523810985664,-0.006656320554109557,0.08024736817608089,0.02158673524271265,47,target_delete_one_jackknife
m4,HCC1143,lm_g_geneformer_ridge_hcc_formal_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,lm_g_geneformer_ridge_hcc_formal_v1,excess_homogenization_uncentered,-0.02373272575900455,-0.07818951491777766,0.03072406339976856,0.027053956095888353,47,target_delete_one_jackknife
m4,HCC1143,lm_g_geneformer_ridge_hcc_formal_v1,predicted_homogenization_centered,-0.012898532931013722,-0.023167311431205123,-0.002629754430822322,0.005101495828051852,47,target_delete_one_jackknife
m4,HCC1143,lm_g_geneformer_ridge_hcc_formal_v1,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,lm_g_geneformer_ridge_hcc_formal_v1,excess_homogenization_centered,-0.04902856888772025,-0.08644878420618415,-0.011608353569256352,0.01859024151006738,47,target_delete_one_jackknife
m4,HCC1143,lm_g_scgpt_ridge_hcc_formal_v1,predicted_homogenization_uncentered,0.027258706686751545,-0.012679582137784078,0.06719699551128716,0.019841212254612446,47,target_delete_one_jackknife
m4,HCC1143,lm_g_scgpt_ridge_hcc_formal_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,lm_g_scgpt_ridge_hcc_formal_v1,excess_homogenization_uncentered,-0.03326954288323867,-0.09521065944302035,0.028671573676543,0.030772145655757394,47,target_delete_one_jackknife
m4,HCC1143,lm_g_scgpt_ridge_hcc_formal_v1,predicted_homogenization_centered,-0.01854423180327576,-0.02197693978612426,-0.015111523820427259,0.001705358183847817,47,target_delete_one_jackknife
m4,HCC1143,lm_g_scgpt_ridge_hcc_formal_v1,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,lm_g_scgpt_ridge_hcc_formal_v1,excess_homogenization_centered,-0.05467426775998229,-0.09021761649989626,-0.019130919020068318,0.0176578202858581,47,target_delete_one_jackknife
m4,HCC1143,lm_train_lowrank_hcc_formal_v1,predicted_homogenization_uncentered,0.03258744153242527,-0.005448205789435244,0.07062308885428578,0.01889598613175913,47,target_delete_one_jackknife
m4,HCC1143,lm_train_lowrank_hcc_formal_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,lm_train_lowrank_hcc_formal_v1,excess_homogenization_uncentered,-0.027940808037564942,-0.0862495677539764,0.03036795167884651,0.02896760256603125,47,target_delete_one_jackknife
m4,HCC1143,lm_train_lowrank_hcc_formal_v1,predicted_homogenization_centered,-0.018810661674116463,-0.02320689830001392,-0.014414425048219005,0.002184036086251798,47,target_delete_one_jackknife
m4,HCC1143,lm_train_lowrank_hcc_formal_v1,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,lm_train_lowrank_hcc_formal_v1,excess_homogenization_centered,-0.054940697630822995,-0.0901739329565853,-0.0197074623050607,0.01750375694828701,47,target_delete_one_jackknife
m4,HCC1143,null_model,predicted_homogenization_uncentered,NA,NA,NA,NA,47,not_estimable_zero_vectors
m4,HCC1143,null_model,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,null_model,excess_homogenization_uncentered,NA,NA,NA,NA,47,not_estimable_zero_vectors
m4,HCC1143,null_model,predicted_homogenization_centered,NA,NA,NA,NA,47,not_estimable_zero_vectors
m4,HCC1143,null_model,observed_homogenization_centered,0.03613003595670653,0.0006229633227230885,0.07163710859068997,0.017639798434178358,47,target_delete_one_jackknife
m4,HCC1143,null_model,excess_homogenization_centered,NA,NA,NA,NA,47,not_estimable_zero_vectors
m4,HCC1143,scgen_hcc_formal_v1,predicted_homogenization_uncentered,0.7789692471597666,0.7274428268192694,0.8304956675002637,0.02559815837848611,47,target_delete_one_jackknife
m4,HCC1143,scgen_hcc_formal_v1,observed_homogenization_uncentered,0.060528249569990214,0.021331611724677534,0.09972488741530289,0.019472762455417156,47,target_delete_one_jackknife
m4,HCC1143,scgen_hcc_formal_v1,excess_homogenization_uncentered,0.7184409975897763,0.6634984295621214,0.7733835656174313,0.02729528946118689,47,target_delete_one_jackknife
