model_id,cell_line,entrant_role,completion_call,prediction_path,n_targets,n_genes,contract_pass,current_sha256,registered_sha256,hash_matches_registry
cellot_hcc_seed123_retrain_v1,HCC1143,formal,valid_for_rescore,docs/revision_cellot_seed123/predicted_shift_HCC1143.tsv.gz,47,47,True,c41f2a75439a9c5fbdb8937d69a8f13090eff92d54dbb5328e18e62489416243,c41f2a75439a9c5fbdb8937d69a8f13090eff92d54dbb5328e18e62489416243,True
cellot_hcc_seed123_retrain_v1,HCC38,formal,valid_for_rescore,docs/revision_cellot_seed123/predicted_shift_HCC38.tsv.gz,47,47,True,e3f46f0237892717d340ded1d0c870898fc211650d7c866a13aef95f9569a1f1,e3f46f0237892717d340ded1d0c870898fc211650d7c866a13aef95f9569a1f1,True
cpa_v0.8.8,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/cpa_v0.8.8/HCC1143/predicted_shift.tsv.gz,47,47,True,f8695b57bc78832647c12cba9f3b255b2f4c102fd63037b63ce7c6e19749178d,f8695b57bc78832647c12cba9f3b255b2f4c102fd63037b63ce7c6e19749178d,True
cpa_v0.8.8,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/cpa_v0.8.8/HCC38/predicted_shift.tsv.gz,47,47,True,b3feec83b9318e297583b6ee3c39b7c13e06c0eaaf71c9769a116c2ee3423699,b3feec83b9318e297583b6ee3c39b7c13e06c0eaaf71c9769a116c2ee3423699,True
gears_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/gears_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,ce1aecc47262a3afef2bc86e72b050bae72478ee92b5c1b7f81d63a317c3e5ab,ce1aecc47262a3afef2bc86e72b050bae72478ee92b5c1b7f81d63a317c3e5ab,True
gears_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/gears_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,f6e24e099edb022244ac52c3c782fe2bff03d495787e6ffbb849c0403f47a2df,f6e24e099edb022244ac52c3c782fe2bff03d495787e6ffbb849c0403f47a2df,True
geneformer_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/geneformer_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,2abd50a0a5843c83ca60cfb679242cf05e798f4fca877a3e34f58d638c026d5d,2abd50a0a5843c83ca60cfb679242cf05e798f4fca877a3e34f58d638c026d5d,True
geneformer_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/geneformer_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,b083f38585ef88be27bb978159a519919cb6f859e85338ad53053303fa36c09e,b083f38585ef88be27bb978159a519919cb6f859e85338ad53053303fa36c09e,True
scgen_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/scgen_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,c00cc60f93f4bc45ddb71efe7975d652dcd6ecd4e2104b844e3c15e7d9493aba,c00cc60f93f4bc45ddb71efe7975d652dcd6ecd4e2104b844e3c15e7d9493aba,True
scgen_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/scgen_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,d88aaff5d16fc447c16b1ff79737c36b01c5886dc92de28bae626cfee7457941,d88aaff5d16fc447c16b1ff79737c36b01c5886dc92de28bae626cfee7457941,True
scgpt_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/scgpt_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,ba7c5159a50701924cd127d470f31520e0825cfb7fd4065ea30d6bb813b53fc1,ba7c5159a50701924cd127d470f31520e0825cfb7fd4065ea30d6bb813b53fc1,True
scgpt_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/scgpt_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,6700c257ae263b4ad4160093cef946a77b250090642e962fdf0f7c0cd41d4d43,6700c257ae263b4ad4160093cef946a77b250090642e962fdf0f7c0cd41d4d43,True
lm_train_lowrank_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/lm_train_lowrank_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,5145a3ba8f3da1e3fe70810486c04685fb69792102bf11aacbbde052548d9b5d,5145a3ba8f3da1e3fe70810486c04685fb69792102bf11aacbbde052548d9b5d,True
lm_train_lowrank_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/lm_train_lowrank_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,76595c8d8d3ad45feffad91b9039168cb26d86c0769dc21c43c371f065e30bf3,76595c8d8d3ad45feffad91b9039168cb26d86c0769dc21c43c371f065e30bf3,True
lm_g_geneformer_ridge_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/lm_g_geneformer_ridge_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,f96020dcacc734dddd5bcc5e583ed1a430c370967a786b6bdb6ae3be39095c4f,f96020dcacc734dddd5bcc5e583ed1a430c370967a786b6bdb6ae3be39095c4f,True
lm_g_geneformer_ridge_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/lm_g_geneformer_ridge_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,7c737fe16da8648358238dc72bada9983206c5d9d3e2c88f0f5d55554d99fe46,7c737fe16da8648358238dc72bada9983206c5d9d3e2c88f0f5d55554d99fe46,True
lm_g_scgpt_ridge_hcc_formal_v1,HCC1143,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/lm_g_scgpt_ridge_hcc_formal_v1/HCC1143/predicted_shift.tsv.gz,47,47,True,7335bcbd4a60a26f4363e58471855c17273c3a69cca46d0c06984cd56a59232d,7335bcbd4a60a26f4363e58471855c17273c3a69cca46d0c06984cd56a59232d,True
lm_g_scgpt_ridge_hcc_formal_v1,HCC38,formal,valid_for_rescore,data/predictions/hcc_scorer_ready/lm_g_scgpt_ridge_hcc_formal_v1/HCC38/predicted_shift.tsv.gz,47,47,True,9e22aefc51a9e60b66ff083da4e42368efd635c6af35b62bfdb5499f9b056023,9e22aefc51a9e60b66ff083da4e42368efd635c6af35b62bfdb5499f9b056023,True
null_model,HCC1143,diagnostic,valid_for_rescore,data/predictions/hcc_scorer_ready/null_model/HCC1143/predicted_shift.tsv.gz,47,47,True,7b30fce1958afffa972936f0550b5ed33031adb035a40537085238c4bb3c4689,7b30fce1958afffa972936f0550b5ed33031adb035a40537085238c4bb3c4689,True
null_model,HCC38,diagnostic,valid_for_rescore,data/predictions/hcc_scorer_ready/null_model/HCC38/predicted_shift.tsv.gz,47,47,True,2b3194d7906ccb8f9a6ca106a6b9e6af56deeabc561c04a42c40c6817f11a0eb,2b3194d7906ccb8f9a6ca106a6b9e6af56deeabc561c04a42c40c6817f11a0eb,True
shared_mean_baseline,HCC1143,diagnostic,valid_for_rescore,data/predictions/hcc_scorer_ready/shared_mean_baseline/HCC1143/predicted_shift.tsv.gz,47,47,True,a367bf5953e29a2096b1ad3785520ca1fb096b741a565539d0edbe87629b3f61,a367bf5953e29a2096b1ad3785520ca1fb096b741a565539d0edbe87629b3f61,True
shared_mean_baseline,HCC38,diagnostic,valid_for_rescore,data/predictions/hcc_scorer_ready/shared_mean_baseline/HCC38/predicted_shift.tsv.gz,47,47,True,041d4e995635f10a9abb138fd01a952b343a4b7f67e03c10adfcf51476a995a1,041d4e995635f10a9abb138fd01a952b343a4b7f67e03c10adfcf51476a995a1,True
cellot_hcc_sens_iter100_seed1,HCC1143,sensitivity,valid_for_rescore,data/predictions/hcc_scorer_ready/cellot_hcc_sens_iter100_seed1/HCC1143/predicted_shift.tsv.gz,47,47,True,1b980eda287dcb5ee88b808bdee61bb86ed4742ebf16ad0d1534ba94aa8245d7,1b980eda287dcb5ee88b808bdee61bb86ed4742ebf16ad0d1534ba94aa8245d7,True
cellot_hcc_sens_iter100_seed1,HCC38,sensitivity,valid_for_rescore,data/predictions/hcc_scorer_ready/cellot_hcc_sens_iter100_seed1/HCC38/predicted_shift.tsv.gz,47,47,True,2fdc8aa56ba4fc6a17f2c61593f20dc03ce6c7db8471d994aea02014628ac311,2fdc8aa56ba4fc6a17f2c61593f20dc03ce6c7db8471d994aea02014628ac311,True
cellot_hcc_sens_iter200_seed2,HCC1143,sensitivity,valid_for_rescore,data/predictions/hcc_scorer_ready/cellot_hcc_sens_iter200_seed2/HCC1143/predicted_shift.tsv.gz,47,47,True,9a512b3a8d211372fdbb66ce6b2bd66419516e1e4637a6a881ea68f3144b9cb7,9a512b3a8d211372fdbb66ce6b2bd66419516e1e4637a6a881ea68f3144b9cb7,True
cellot_hcc_sens_iter200_seed2,HCC38,sensitivity,valid_for_rescore,data/predictions/hcc_scorer_ready/cellot_hcc_sens_iter200_seed2/HCC38/predicted_shift.tsv.gz,47,47,True,203eaff96365b3aa741aacd78d14cf5415c33489d3afd254321ad932f3f6643a,203eaff96365b3aa741aacd78d14cf5415c33489d3afd254321ad932f3f6643a,True
