dataset_id	context	cell_line	depmap_model_id	depmap_id_source	target_gene	n_cells_target	n_cells_control	truth_source_cell_count	gene_universe_size	normalization	min_target_cells	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	AATF	51	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	11.314567713492922	0.0715628966195301	0.896596506225117	0.7321846130257863	0.6053705579460926	-0.929081114163717	0.907845171178866	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ABCB7	71	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	5.849275916673096	0.0405379931074376	0.3912574398582923	0.324895656297311	0.2764963763323289	-1.903404695993684	0.9999999925748538	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ABCF1	96	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	6.342165421928406	0.0421179012599122	0.454372095723291	0.3814116283291043	0.3204114080727697	-1.192750322678107	0.969244194597964	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ABCG1	57	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	4.668271053573154	0.0348320730959253	0.2565824564974773	0.2139810738519565	0.186569339939664	0.0095417285064696	0.032563621364821	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ABT1	108	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	6.700557957374212	0.0428957095853463	0.5243195296258865	0.4283068577064707	0.357384202119369	-1.120933458674963	0.6612077158054532	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ACIN1	78	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	3.962230322323241	0.0295162371884952	0.2268921295346081	0.1848596651033513	0.1594123512649428	-0.8864629096283734	0.9698173367447136	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ACOT12	80	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	3.554479854583817	0.0271166552490282	0.1669854942325448	0.1455410334109314	0.1306355010759373	-0.0242234912334593	0.0257658128586942	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ACTR2	79	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	3.737391886234193	0.0278701104584077	0.2182987235130196	0.1685895903998366	0.1426012527053316	-1.109311064205966	0.967052476736572	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ACTR6	51	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	5.872400151253584	0.0440708042329655	0.3045909232338432	0.2629637317971046	0.2274921118455674	-0.7451401881442884	0.9041841675028016	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ACTR8	70	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	6.457151408920439	0.0448831135336823	0.4156014893937588	0.3471205288973262	0.2979090330432288	-0.6766700102201805	0.8941765381401211	True	True	both
gse264667_hepg2_day7	HepG2 day 7	HepG2	ACH-000739	DepMap/Harmonizome cell-line mapping; verified row exists in local CRISPRGeneEffect.csv	ADAM10	161	4976	145473	9624	log1p(raw_counts_per_cell_total * 10000)	50	4.911960981343486	0.0340224788152926	0.3224921681744334	0.2615506615324742	0.222390244493063	-0.052628744567133	0.03088584185426	True	True	both
