replicate	cell_line	truth_metric	depmap_endpoint	n_targets	spearman_rho_raw	spearman_rho_aligned	n_control_subsample
0	HCC38	real_shift_L2	depmap_gene_effect	47	-0.6977335800185014	0.6977335800185014	500
0	HCC38	real_shift_L2	depmap_gene_dependency	47	0.697927206790445	0.697927206790445	500
0	HCC38	real_shift_mean_abs	depmap_gene_effect	47	-0.718663274745606	0.718663274745606	500
0	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7190887806190674	0.7190887806190674	500
0	HCC38	real_shift_top20_mean	depmap_gene_effect	47	-0.6533302497687327	0.6533302497687327	500
0	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6532913188240608	0.6532913188240608	500
0	HCC38	real_shift_top50_mean	depmap_gene_effect	47	-0.6386447733580018	0.6386447733580018	500
0	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6387210548764846	0.6387210548764846	500
0	HCC38	real_shift_top100_mean	depmap_gene_effect	47	-0.6404949121184089	0.6404949121184089	500
0	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6406290656315243	0.6406290656315243	500
0	HCC38	real_shift_top50_concentration	depmap_gene_effect	47	-0.19877428307123035	0.19877428307123035	500
0	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1983753000164043	0.1983753000164043	500
0	HCC38	real_Edistance	depmap_gene_effect	47	-0.6177150786308974	0.6177150786308974	500
0	HCC38	real_Edistance	depmap_gene_dependency	47	0.6178485735865042	0.6178485735865042	500
0	HCC38	real_DEG_burden	depmap_gene_effect	47	-0.5680965960160929	0.5680965960160929	500
0	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5681730927833132	0.5681730927833132	500
1	HCC38	real_shift_L2	depmap_gene_effect	47	-0.7153098982423682	0.7153098982423682	500
1	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7154462146321734	0.7154462146321734	500
1	HCC38	real_shift_mean_abs	depmap_gene_effect	47	-0.7414431082331175	0.7414431082331175	500
1	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7418692726640872	0.7418692726640872	500
1	HCC38	real_shift_top20_mean	depmap_gene_effect	47	-0.6407261794634598	0.6407261794634598	500
1	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6406868841392527	0.6406868841392527	500
1	HCC38	real_shift_top50_mean	depmap_gene_effect	47	-0.63945420906568	0.63945420906568	500
1	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6395883324924118	0.6395883324924118	500
1	HCC38	real_shift_top100_mean	depmap_gene_effect	47	-0.639222941720629	0.639222941720629	500
1	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6393570584614978	0.6393570584614978	500
1	HCC38	real_shift_top50_concentration	depmap_gene_effect	47	-0.23704902867715077	0.23704902867715077	500
1	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.23688242616356994	0.23688242616356994	500
1	HCC38	real_Edistance	depmap_gene_effect	47	-0.6343663274745606	0.6343663274745606	500
1	HCC38	real_Edistance	depmap_gene_dependency	47	0.6345003038123057	0.6345003038123057	500
