CCLE_ID	reason
184A1_BREAST	not_found_in_depmap_model_csv
184B5_BREAST	not_found_in_depmap_model_csv
AZ521_STOMACH	not_found_in_depmap_model_csv
COLO699_LUNG	not_found_in_depmap_model_csv
GISTT1_GASTROINTESTINAL_TRACT	not_found_in_depmap_model_csv
KP1NL_PANCREAS	not_found_in_depmap_model_csv
LY2_BREAST	not_found_in_depmap_model_csv
MB157_BREAST	not_found_in_depmap_model_csv
NCIH1339_LUNG	not_found_in_depmap_model_csv
SKRC20_KIDNEY	not_found_in_depmap_model_csv
SW527_BREAST	not_found_in_depmap_model_csv
