scope	cell_line	entrant_id	display_name	frozen_low_quantile	frozen_high_quantile	frozen_anchor_auc	tuned_low_quantile	tuned_high_quantile	tuned_anchor_auc	apparent_auc_inflation	tuned_cutoff_differs	source_file	source_data_row_1based
independent_sensitivity	Replogle K562 essential day 6	chargram_lowrank_ridge_loo	Chargram ridge LOO	0.25	0.75	0.75714285714285712	0.14999999999999999	0.84999999999999998	0.80735186920753932	0.050209012064682201	True	docs/revision_delivery/Results/04_model_context_inflation.csv	1
independent_sensitivity	Replogle K562 essential day 6	geneformer_embedding_kernel_loo	Geneformer kernel LOO	0.25	0.75	0.53727349346818376	0.10000000000000001	0.90000000000000002	0.56744186046511624	0.0301683669969324	True	docs/revision_delivery/Results/04_model_context_inflation.csv	2
independent_sensitivity	Replogle K562 essential day 6	geneformer_embedding_ridge_loo	Geneformer ridge LOO	0.25	0.75	0.78227981458069951	0.10000000000000001	0.90000000000000002	0.89936575052854117	0.1170859359478416	True	docs/revision_delivery/Results/04_model_context_inflation.csv	3
primary_hcc	HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	0.25	0.75	0.8125	0.20000000000000001	0.80000000000000004	0.8666666666666667	0.054166666666666599	True	docs/revision_delivery/Results/04_model_context_inflation.csv	4
primary_hcc	HCC1143	cpa_v0.8.8	CPA	0.25	0.75	0.54166666666666663	0.25	0.75	0.54166666666666663	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	5
primary_hcc	HCC1143	gears_hcc_formal_v1	GEARS	0.25	0.75	0.375	0.25	0.75	0.375	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	6
primary_hcc	HCC1143	geneformer_hcc_formal_v1	Geneformer kernel	0.25	0.75	0.85416666666666663	0.25	0.75	0.85416666666666663	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	7
primary_hcc	HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	Geneformer ridge	0.25	0.75	0.35416666666666669	0.29999999999999999	0.69999999999999996	0.3833333333333333	0.029166666666666601	True	docs/revision_delivery/Results/04_model_context_inflation.csv	8
primary_hcc	HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	scGPT ridge	0.25	0.75	0.58333333333333337	0.25	0.75	0.58333333333333337	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	9
primary_hcc	HCC1143	lm_train_lowrank_hcc_formal_v1	Linear low-rank	0.25	0.75	0.625	0.29999999999999999	0.69999999999999996	0.6333333333333333	0.0083333333333333003	True	docs/revision_delivery/Results/04_model_context_inflation.csv	10
primary_hcc	HCC1143	scgen_hcc_formal_v1	scGen	0.25	0.75	0.875	0.29999999999999999	0.69999999999999996	0.8833333333333333	0.0083333333333333003	True	docs/revision_delivery/Results/04_model_context_inflation.csv	11
primary_hcc	HCC1143	scgpt_hcc_formal_v1	scGPT kernel	0.25	0.75	0.58333333333333337	0.25	0.75	0.58333333333333337	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	12
primary_hcc	HCC38	cellot_hcc_seed123_retrain_v1	CellOT	0.25	0.75	1	0.25	0.75	1	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	13
primary_hcc	HCC38	cpa_v0.8.8	CPA	0.25	0.75	0.42857142857142849	0.14999999999999999	0.84999999999999998	0.66666666666666663	0.238095238095238	True	docs/revision_delivery/Results/04_model_context_inflation.csv	14
primary_hcc	HCC38	gears_hcc_formal_v1	GEARS	0.25	0.75	0.61904761904761907	0.29999999999999999	0.69999999999999996	0.671875	0.052827380952380897	True	docs/revision_delivery/Results/04_model_context_inflation.csv	15
primary_hcc	HCC38	geneformer_hcc_formal_v1	Geneformer kernel	0.25	0.75	0.3571428571428571	0.14999999999999999	0.84999999999999998	0.5	0.14285714285714279	True	docs/revision_delivery/Results/04_model_context_inflation.csv	16
primary_hcc	HCC38	lm_g_geneformer_ridge_hcc_formal_v1	Geneformer ridge	0.25	0.75	0.3571428571428571	0.29999999999999999	0.69999999999999996	0.5625	0.20535714285714279	True	docs/revision_delivery/Results/04_model_context_inflation.csv	17
primary_hcc	HCC38	lm_g_scgpt_ridge_hcc_formal_v1	scGPT ridge	0.25	0.75	0.5	0.29999999999999999	0.69999999999999996	0.609375	0.109375	True	docs/revision_delivery/Results/04_model_context_inflation.csv	18
primary_hcc	HCC38	lm_train_lowrank_hcc_formal_v1	Linear low-rank	0.25	0.75	0.14285714285714279	0.29999999999999999	0.69999999999999996	0.21875	0.075892857142857095	True	docs/revision_delivery/Results/04_model_context_inflation.csv	19
primary_hcc	HCC38	scgen_hcc_formal_v1	scGen	0.25	0.75	1	0.25	0.75	1	0	False	docs/revision_delivery/Results/04_model_context_inflation.csv	20
primary_hcc	HCC38	scgpt_hcc_formal_v1	scGPT kernel	0.25	0.75	0.7857142857142857	0.20000000000000001	0.80000000000000004	0.80000000000000004	0.014285714285714299	True	docs/revision_delivery/Results/04_model_context_inflation.csv	21
