model_id	object_role	cell_line	endpoint_recovery_score	output_homogenization_score	output_homogenization_quadrant	predicted_target_similarity_mean	leading_singular_energy_share	normalized_inverse_effective_rank
cellot_hcc_formal_v1	entrant	HCC1143	0.9109502772525359	0.6371531280433943	low_recovery/low_common	0.3089680808051099	0.3710272040613464	0.8859481396662818
cellot_hcc_formal_v1	entrant	HCC38	1.2840248922887354	0.6970613531768522	high_recovery/low_common	0.32709212915407443	0.5147364477758587	0.912901547177661
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	2.286816852519606	0.997452687742467	high_recovery/high_common	0.9954802218443374	0.9955740511019846	0.9990439012032483
cellot_hcc_sens_iter100_seed1	entrant	HCC38	1.1400751698774136	0.9973873867840294	low_recovery/high_common	0.9953274541532203	0.9954755174142575	0.999022915861221
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	1.9705794676116832	0.9975009843636656	high_recovery/high_common	0.995560509996865	0.9956628479027688	0.999059850189795
cellot_hcc_sens_iter200_seed2	entrant	HCC38	0.8430297251893546	0.9974748846986542	low_recovery/high_common	0.9955021998655156	0.9956182492267472	0.9990553049364563
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	2.0703485594072064	0.8289502328965379	high_recovery/high_common	0.6842188729206985	0.7077777897430826	0.9369634724861822
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	0.506797270759238	0.7201199586056986	low_recovery/low_common	0.3677041918557715	0.5422009093233924	0.9343068705658175
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	1.456940630815893	0.9530025024870756	high_recovery/high_common	0.9124302766243871	0.9106252093040254	0.9921671598450084
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	3.370206466119475	0.9979598947937828	high_recovery/high_common	0.9956923677894828	0.9965678164554616	0.9994656840311457
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	0.2084398149440855	0.9664858385083694	low_recovery/high_common	0.938743860910642	0.9360535281954157	0.9940320568743726
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	-0.4267462300975097	0.9739036614086697	low_recovery/high_common	0.9482816893052886	0.9524213281810863	0.9951488113922788
cpa_v0.8.8	candidate	HCC1143	0.2084398149440855	0.9664858385083694	low_recovery/high_common	0.938743860910642	0.9360535281954157	0.9940320568743726
cpa_v0.8.8	candidate	HCC38	2.0365472884589164	0.9970230087167945	high_recovery/high_common	0.9943975900943732	0.9946940301777658	0.9991762009254318
gears_hcc_formal_v1	entrant	HCC1143	1.2146333336588262	0.7028162659327473	low_recovery/low_common	0.47242024345748446	0.46332182208751854	0.9089168539819809
gears_hcc_formal_v1	entrant	HCC38	2.5148089099784703	0.7611519840271386	high_recovery/low_common	0.5460301042813954	0.5911442343083585	0.9192966656323605
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	-1.0435235769135498	0.7902340635784747	low_recovery/low_common	0.5608439204019288	0.6394085530816641	0.9508716774527963
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	0.33929417537809314	0.7722863837584638	low_recovery/low_common	0.618245361007157	0.5778015421515675	0.9299349286202464
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	1.5253258547941102	0.6642081045996541	high_recovery/low_common	0.3929365713742333	0.3899602241350271	0.9061958039768172
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	1.4010685571825168	0.925618264434701	high_recovery/high_common	0.8195872415007048	0.8860620591374007	0.9809991134163484
