model_id	object_role	cell_line	total_shift_depmap_pvalue	total_shift_depmap_qvalue	response_aligned_depmap_pvalue	response_aligned_depmap_qvalue	response_aligned_endpoint_permutation_pvalue	response_aligned_endpoint_permutation_qvalue
cellot_hcc_formal_v1	entrant	HCC1143	0.7645943068716943	0.880458457516254	0.35227376946586153	0.4843764330155596	0.19080919080919082	0.27985347985347986
cellot_hcc_formal_v1	entrant	HCC38	0.14236326515943723	0.37370357104352275	0.1869774704203973	0.3739549408407946	0.10589410589410589	0.21178821178821175
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	0.3120561028685702	0.4306153744016348	0.021068774048478376	0.07725217151108738	0.022977022977022976	0.07221350078492936
cellot_hcc_sens_iter100_seed1	entrant	HCC38	0.7604718145209607	0.8405214792073776	0.24458934788264208	0.44841380445151047	0.13286713286713286	0.24358974358974358
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	0.2676875187485064	0.4217477078063519	0.045448009530644526	0.12498202620927244	0.03496503496503497	0.09615384615384616
cellot_hcc_sens_iter200_seed2	entrant	HCC38	0.36373119928511755	0.6351291298640721	0.402496067313168	0.6183688636743575	0.19880119880119881	0.2915750915750916
cellot_hcc_sens_iter500_seed1_full	entrant	HCC1143	0.051939309105541946	0.21814509824327616	0.042670331860797404	0.12498202620927244	0.02097902097902098	0.07221350078492936
cellot_hcc_sens_iter500_seed1_full	entrant	HCC38	0.7382097951827036	0.8405214792073776	0.6226842040881365	0.7514707862729322	0.3166833166833167	0.40982546864899805
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC1143	0.11874474653104747	0.28831913137971704	0.14323566328224835	0.31511845922094633	0.07592407592407592	0.16703296703296702
cpa_hcc_sens_e200_latent32_seed1	entrant	HCC38	0.12573256563005114	0.37370357104352275	0.0004631116298721232	0.01018845585718671	0.000999000999000999	0.010989010989010988
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC1143	0.2811651385375679	0.4217477078063519	0.7569434686329544	0.8358717622817377	0.4145854145854146	0.5067155067155067
cpa_hcc_sens_e200_latent64_seed2	entrant	HCC38	0.6486371917185871	0.8405214792073776	0.7040674447966342	0.7514707862729322	0.6653346653346653	0.7001569858712716
cpa_v0.8.8	candidate	HCC1143	0.2811651385375679	0.4217477078063519	0.7569434686329544	0.8358717622817377	0.4145854145854146	0.5067155067155067
cpa_v0.8.8	candidate	HCC38	0.2958056476814158	0.6351291298640721	0.0375306029108791	0.11795332343419145	0.023976023976023976	0.07535321821036108
gears_hcc_formal_v1	entrant	HCC1143	0.9158298597897396	0.9616213527792267	0.2741989598476375	0.4549326785913322	0.10789210789210789	0.1978021978021978
gears_hcc_formal_v1	entrant	HCC38	0.12435013935946443	0.37370357104352275	0.009375579202501757	0.03437712374250644	0.005994005994005994	0.02197802197802198
