model_id	object_role	cell_line	endpoint_recovery_score	common_response_score	common_response_quadrant	mean_stress_axis_share	mean_top_axis_share	mean_target_axis_cosine_proxy
cellot_hcc_formal_v1	entrant	HCC1143	1.1644666682169402	0.2569163937652669	high_recovery/low_common	0.12365273166883803	0.12003630645228319	0.9348539590940623
cellot_hcc_formal_v1	entrant	HCC38	0.535104012779166	0.25284168425287384	low_recovery/low_common	0.09430477695254859	0.11643691202438645	0.9169762074678889
cpa_v0.8.8	candidate	HCC1143	-1.271227215776623	0.907800958985443	low_recovery/high_common	0.26340759723957236	0.19744948393564016	0.9938789985197217
cpa_v0.8.8	candidate	HCC38	1.3133024645927576	0.6605230189798669	high_recovery/high_common	0.17541848622428907	0.09352511299241281	0.9846092868407312
gears_hcc_formal_v1	entrant	HCC1143	0.6308542779548804	0.10653503595551245	low_recovery/low_common	0.10003766722448457	0.12409276832552257	0.8951722923241306
gears_hcc_formal_v1	entrant	HCC38	1.3672536929012795	0.32182587018537634	high_recovery/low_common	0.08350940028540259	0.14754477300622598	0.9296548583009722
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	0.5493274545802985	0.14499222814429877	low_recovery/low_common	0.08306256902726411	0.11138926638514261	0.9305959190636377
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	0.5801109996819873	0.33907751658495205	low_recovery/low_common	0.08300986813947703	0.15032406314857266	0.9336356310905877
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	0.6187361160599738	0.16562799018450466	low_recovery/low_common	0.10915710125656793	0.12239536835244767	0.9109621949734708
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	1.0958920807196828	0.5188067113229822	low_recovery/high_common	0.09847134739430824	0.1635213057673427	0.9672754806151587
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	1.4176800562405845	0.29879548141043527	high_recovery/low_common	0.11674862858016521	0.14247830405891426	0.932085031380762
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	1.4573236370680276	0.4010322335752296	high_recovery/high_common	0.12039798023584404	0.1426414537599799	0.9270389877073802
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	0.8627817884676641	0.287131891462135	low_recovery/low_common	0.13951524425193598	0.1499963305647873	0.9069492640957961
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	1.9491623961271194	0.31139004895451783	high_recovery/low_common	0.10467631841069251	0.12600668231697373	0.9212922727194258
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	-0.067834692573133	0.23826287464519527	low_recovery/low_common	0.09079853629177878	0.12992422285862773	0.9396809649994838
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	1.1272633904034097	0.3513107291948283	high_recovery/low_common	0.08392481866451322	0.1578913846471374	0.9327295093160507
geneformer_hcc_formal_v1	entrant	HCC1143	1.2510034110345924	0.49119818335356014	high_recovery/high_common	0.21194503207393614	0.16202414503087753	0.9192108781093258
geneformer_hcc_formal_v1	entrant	HCC38	0.4274116709700121	0.46684636077734704	low_recovery/high_common	0.14389238103478946	0.14087778792463976	0.9291348289139942
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	1.145053473235152	0.4829846138904355	high_recovery/high_common	0.1791873046208924	0.15323059775753936	0.94507355851241
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	1.1363153618638222	0.39991112878610763	high_recovery/low_common	0.11776323904160964	0.15052249251618238	0.9248086472556567
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	-0.28380186944238234	0.5811138504970058	low_recovery/high_common	0.16074934228768295	0.18277402876889598	0.9616820954827797
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	0.3280408597569585	0.5486269916442886	low_recovery/high_common	0.14432811981306454	0.1788152388658025	0.9336330856757801
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	1.0934215344881302	0.5386050566035546	high_recovery/high_common	0.1531050580537135	0.20422154529827777	0.9319545672906162
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	1.104278326268875	0.5696369544770917	low_recovery/high_common	0.1285400120185772	0.2102422462537024	0.9360862313311168
null_model	null	HCC1143			not_estimable			
null_model	null	HCC38			not_estimable			
scgen_hcc_formal_v1	entrant	HCC1143	2.426114108989938	0.29918772441750696	high_recovery/high_common	0.16264206323930372	0.16567345334730008	0.8818781700360901
scgen_hcc_formal_v1	entrant	HCC38	2.8461055385644096	0.27395525785390645	high_recovery/low_common	0.11508676389695213	0.15111180761416218	0.8901953447325545
scgpt_hcc_formal_v1	entrant	HCC1143	1.20048332371371	0.54508551239525	high_recovery/high_common	0.17720034928099102	0.22013880896657442	0.9041825945686675
scgpt_hcc_formal_v1	entrant	HCC38	0.7447646481151986	0.6144383695225172	low_recovery/high_common	0.17156083918556006	0.21977631240131607	0.9117614303167502
shared_mean_baseline	baseline	HCC1143	1.5438113314697843	0.7811051074844687	high_recovery/high_common	0.1550951550886698	0.23035508790992057	0.9875957405742795
shared_mean_baseline	baseline	HCC38	2.991590451663796	0.6666666666666666	high_recovery/high_common	0.0482329246293423	0.2879265842906668	0.9863820994399071
