target_gene	residual_HCC38	shift_HCC38	effect_HCC38	residual_HCC1143	shift_HCC1143	effect_HCC1143	residual_sign_HCC38	residual_sign_HCC1143	residual_sign_agree
ARID1A	0.002484292666047924	0.0085365617536346	-0.1959555409927433	0.0005303062767008241	0.0073327186787757	-0.330631842036614	1.0	1.0	True
BMPR1A	-0.0008580873192481344	0.0056197913890013	-0.3519701364399601	0.00011299693464573123	0.0070281282052424	-0.3585628390298763	-1.0	1.0	False
CDKN2A	-0.000694336695666627	0.0040551040534158	0.2816188048418129	0.0017555807543913732	0.0050523230156554	0.5380502468314596	-1.0	1.0	False
COMMD6	-0.0008954126758508743	0.0042202270388882	0.1473822164133259	-0.001829002800075679	0.0045342930040741	-0.2218216265227303	-1.0	-1.0	True
ENY2	0.0033190035078499124	0.0103397858020701	-0.5509808712071267	0.004094000909765645	0.0105137437444661	-0.2358088308059663	1.0	1.0	True
ERC1	-0.0007489453509760971	0.00417172244801	0.2188525570329813	-0.0007426226695384421	0.0048784834929897	-0.0379118967638982	-1.0	-1.0	True
ETV3	-0.0008613799584009521	0.0051298888376656	-0.1735948251121793	-0.0010151547990828302	0.0053871026377591	-0.2314760637952857	-1.0	-1.0	True
GON4L	-0.000643025168640475	0.0060144581054616	-0.4178073081616394	0.0012663486589094587	0.0076879048971422	-0.2362581803183601	-1.0	1.0	False
HDGF	-0.0001987538037882767	0.0053940020400889	-0.0275129839181656	-0.0014403316532318631	0.0039901671750222	0.0093193516536966	-1.0	-1.0	True
HLX	0.0003187907713350915	0.0052991294769277	0.1969791502719058	-0.0004894771149374436	0.0050212083343797	-0.0105503675972533	1.0	-1.0	False
KLF3	-0.0008227403199183945	0.0054676604656395	-0.2832468490799181	-0.0003169319150876943	0.0053919861225157	-0.0596711039921486	-1.0	-1.0	True
LAMTOR5	0.004612910275546005	0.0106435490794122	-0.1880265849724247	0.0030702403622925537	0.0093777769035242	-0.2080048465520216	1.0	1.0	True
MAML3	-0.0012488260912194497	0.0039010408237359	0.1348356419568611	-0.0005611094038771788	0.0042930848646172	0.1521238451421929	-1.0	-1.0	True
MIER1	-2.0543350606927642e-05	0.0049938655360828	0.1844901338995709	0.0006147893143467181	0.0057833931966825	0.0742152031018489	-1.0	1.0	False
MTDH	-2.904081276937972e-05	0.0056310162158605	-0.0521834016027112	-0.0004996203460521827	0.0047338690320834	0.0581370024256225	-1.0	-1.0	True
MYBL1	0.0018164771977387173	0.0071407239504648	0.0709136850199211	0.002952965256692753	0.0084130142568229	0.0019970126997557	1.0	1.0	True
NCOA1	-0.0014235038520742605	0.0043489041564256	-0.0933676037953646	-0.0016261904712875919	0.0039071575713196	-0.0161660097106361	-1.0	-1.0	True
NPM1	0.0032673016787406993	0.0113723052385142	-0.9484209992220038	0.0010094406338762235	0.0074812035133293	-0.2486990570176843	1.0	1.0	True
PA2G4	0.0003802684922252497	0.0071702138866234	-0.4663635980262615	-0.0001858844590862897	0.0059315461556859	-0.1608978437052549	1.0	-1.0	False
PARK7	-0.00042493594298012496	0.0050560733285705	0.0134496621963463	-0.00020077125935018692	0.0061480042391653	-0.2182235899354996	-1.0	-1.0	True
PCBD1	-0.0013037732368964914	0.0041690086810655	0.016465541489049	-0.0005170578546941753	0.004675198066501	0.0683543828600407	-1.0	-1.0	True
