cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	control_target_prefix	real_shift_L2	real_shift_mean_abs	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	residual	quadrant
HCC1143	ACH-000374	ARID1A	195	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	3.4463519189121863	0.0073327186787757	0.4000778801630993	8	-0.330631842036614	0.2654515287532237	True	True	both	0.0005303062767008241	middle
HCC1143	ACH-000374	BMPR1A	93	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	3.162989495400181	0.0070281282052424	0.3718529994281674	6	-0.3585628390298763	0.307130270365165	True	True	both	0.00011299693464573123	middle
HCC1143	ACH-000374	CDKN2A	169	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	2.084157760547977	0.0050523230156554	0.12153266987956	0	0.5380502468314596	6.198489826465077e-05	True	True	both	0.0017555807543913732	middle
HCC1143	ACH-000374	COMMD6	324	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	1.9629627640817848	0.0045342930040741	0.1174521441587685	1	-0.2218216265227303	0.1351756293730245	True	True	both	-0.001829002800075679	middle
HCC1143	ACH-000374	ENY2	161	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	4.81257682403588	0.0105137437444661	0.6093855920338918	18	-0.2358088308059663	0.148881151602389	True	True	both	0.004094000909765645	middle
HCC1143	ACH-000374	ERC1	412	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	2.171773525634778	0.0048784834929897	0.1750005664808043	0	-0.0379118967638982	0.0303840215886299	True	True	both	-0.0007426226695384421	middle
HCC1143	ACH-000374	ETV3	187	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	2.391418251940516	0.0053871026377591	0.1827440545576912	0	-0.2314760637952857	0.1444988533493548	True	True	both	-0.0010151547990828302	middle
HCC1143	ACH-000374	GON4L	115	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	3.3323369388260327	0.0076879048971422	0.4164333526417643	2	-0.2362581803183601	0.1493363288328347	True	True	both	0.0012663486589094587	middle
HCC1143	ACH-000374	HDGF	319	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	1.703063739115492	0.0039901671750222	0.0841328871467936	1	0.0093193516536966	0.0196252078195258	True	True	both	-0.0014403316532318631	middle
HCC1143	ACH-000374	HLX	213	1325	3	11636	36601	mtx_protospacer	intergenic_chr_	2.1525423051369463	0.0050212083343797	0.1231875478785546	0	-0.0105503675972533	0.0236239287972883	True	True	both	-0.0004894771149374436	middle
