analysis_id	cell_line	n_targets	spearman_rho	bootstrap_ci_low	bootstrap_ci_high	permutation_pvalue_two_sided	bootstrap_replicates_completed	permutations_completed	statistic	permutation_method	permutation_qvalue_bh_within_analysis
equal_n_expected_shift_depth_20	HCC38	47	0.4475730683261398	0.20228610282558723	0.6409760979498049	0.0012998700129987	5000	10000	spearman	endpoint_label	0.0012998700129987
equal_n_expected_shift_depth_25	HCC38	47	0.4378595590277557	0.1898463986242572	0.6283154754063334	0.0027997200279972004	5000	10000	spearman	endpoint_label	0.0027997200279972004
equal_n_expected_shift_depth_50	HCC38	46	0.4862931329210834	0.23754363502258888	0.6667830525207308	0.0011998800119988001	5000	10000	spearman	endpoint_label	0.0012998700129987
equal_n_expected_shift_depth_100	HCC38	40	0.4121951219512196	0.1224468595886024	0.6525881400136614	0.0086991300869913	5000	10000	spearman	endpoint_label	0.0086991300869913
raw_observed_shift	HCC38	47	0.7257957275155708	0.5526321122193196	0.8355684783264452	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
noise_corrected_shift	HCC38	47	0.44040357336780867	0.18169893507997487	0.6354898877844487	0.0017998200179982	5000	10000	spearman	endpoint_label	0.0017998200179982
partial_model_a_log_n	HCC38	47	0.03950876730235249	-0.3001010339642953	0.36347429888943317	0.8028197180281972	5000	10000	partial_spearman	freedman_lane_rank_residual	0.8028197180281972
partial_model_b_log_n_library	HCC38	47	-0.14096917957949157	-0.44774258552408935	0.21803879499924195	0.3621637836216378	5000	10000	partial_spearman	freedman_lane_rank_residual	0.3621637836216378
partial_model_c_log_n_expression_efficiency	HCC38	47	0.005408970628597886	-0.3834722866742787	0.3746445958972971	0.974002599740026	5000	10000	partial_spearman	freedman_lane_rank_residual	0.974002599740026
partial_model_d_log_n_deg_breadth	HCC38	47	-0.0684573818734511	-0.39279207291843554	0.27756428117348175	0.6559344065593441	5000	10000	partial_spearman	freedman_lane_rank_residual	0.6559344065593441
coverage_exclude_below_q10	HCC38	42	0.6423304432379873	0.41707785208991816	0.7937792490474361	9.999000099990002e-05	5000	10000	spearman	endpoint_label	9.999000099990002e-05
