cell_line	entrant_id	display_name	target_gene	depmap_gene_dependency	endpoint_category	predicted_shift_mean_abs	display_shift_percentile	display_target_position
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	ARID1A	0.2654515287532237	endpoint_anchor	0.5086898676892544	58.51063829787234	38
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	BMPR1A	0.307130270365165	dependency_excess	0.708145926607416	90.42553191489361	39
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	CDKN2A	6.198489826465077e-05	low_information	0.6090577263781365	86.17021276595744	1
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	COMMD6	0.1351756293730245	middle	0.3880472763421688	9.574468085106384	30
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	ENY2	0.148881151602389	middle	0.5316824025296151	69.14893617021276	33
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	ERC1	0.0303840215886299	middle	0.5614489415224563	79.7872340425532	22
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	ETV3	0.1444988533493548	middle	0.4985485974144428	54.255319148936174	32
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	GON4L	0.1493363288328347	middle	0.4788015378599471	47.87234042553192	34
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	HDGF	0.0196252078195258	middle	0.345558280323414	1.0638297872340425	15
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	HLX	0.0236239287972883	middle	0.4229773024612285	24.46808510638298	18
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	KLF3	0.0369385703770605	middle	0.4812005641771124	50.0	23
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	LAMTOR5	0.1226400958971878	middle	0.4510559165414343	39.361702127659576	28
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	MAML3	0.0050198572939971	low_information	0.5404221523315349	73.40425531914893	3
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	MIER1	0.0105919574277721	middle	0.4783747814437176	45.744680851063826	10
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	MTDH	0.0123435627679496	middle	0.4772165463642871	43.61702127659574	13
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	MYBL1	0.0210310036855235	middle	0.5246362305702047	64.8936170212766	16
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	NCOA1	0.0248991192692647	middle	0.4315541874855123	30.851063829787233	19
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	NPM1	0.1622748801750765	middle	0.6262077210431404	88.29787234042553	35
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PA2G4	0.0861889371200693	middle	0.5465492910527169	75.53191489361703	27
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PARK7	0.1318604273725387	middle	0.4961366491748931	52.12765957446808	29
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PCBD1	0.0111916491629234	low_information	0.5059896977023876	56.38297872340426	12
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PEX14	0.0227993432195642	middle	0.4009661509635601	11.702127659574469	17
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PFDN5	0.9694975960688984	endpoint_anchor	0.5777631934652937	84.04255319148936	43
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PMF1	0.9510487581740272	endpoint_anchor	0.7152435132797729	92.55319148936171	42
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PRDX2	0.1660158727868937	middle	0.4147726159463537	18.085106382978722	36
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	PRPF6	1.0	endpoint_anchor	1.1839692938200972	96.80851063829788	45
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	RORC	0.0451125018855452	middle	0.4178235123449184	22.340425531914892	24
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	RPS3	1.0	middle	0.5506288393380794	77.65957446808511	46
HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	RUVBL2	1.0	endpoint_anchor	1.3758900498456144	98.93617021276596	47
