fine_axis	macro_axis	n_genes	mean_residual_HCC38	mean_residual_HCC1143	fraction_residual_sign_agree	within_axis_concordance_mean	fraction_Q1_HCC38	fraction_Q1_HCC1143	n_shift_excess	consistency_class
transcription regulation	gene expression machinery	18	-9.8e-05	0.000274	0.667	0.497	0.167	0.167	4	heterogeneous
TGF-beta / BMP signaling	signaling / growth control	2	-0.000779	-0.000474	0.5	0.5	0.0	0.0	0	heterogeneous
cell cycle / replication	cell-state regulation	1	-0.000694	0.001756	0.0	1.0	0.0	0.0	0	line_skewed
proteostasis / chaperone	proteostasis	1	0.00118	-0.000201	0.0	1.0	1.0	1.0	0	line_skewed
NF-κB / MAPK signaling	signaling / growth control	1	-0.000215	0.000953	0.0	1.0	0.0	0.0	0	line_skewed
growth / proliferation	signaling / growth control	1	0.00038	-0.000186	0.0	1.0	0.0	0.0	0	line_skewed
chromatin remodeling	gene expression machinery	2	0.000801	-0.002716	1.0	0.0	0.5	0.5	1	shared_dual_high
ribosomal / translation	ribosome / nucleolar biogenesis	1	-0.001221	-0.004996	1.0	1.0	1.0	1.0	0	shared_dual_high
signaling / oncogene	signaling / growth control	1	-2.9e-05	-0.0005	1.0	1.0	0.0	0.0	0	shared_middle
cytoskeleton / cell motility	cell-state regulation	1	-0.001927	-0.00113	1.0	1.0	0.0	0.0	0	shared_middle
nuclear receptor / co-activator	gene expression machinery	1	-0.001424	-0.001626	1.0	1.0	0.0	0.0	0	shared_middle
NF-κB / copper signaling	signaling / growth control	1	-0.000895	-0.001829	1.0	1.0	0.0	0.0	0	shared_middle
oxidative stress / antioxidant	stress response	1	-0.001413	-0.000964	1.0	1.0	0.0	0.0	0	shared_middle
metabolism / transcription	metabolism	1	-0.001304	-0.000517	1.0	1.0	0.0	0.0	0	shared_middle
ER stress / UPR	stress response	1	-0.001195	-0.000488	1.0	1.0	0.0	0.0	0	shared_middle
growth factor / proliferation	signaling / growth control	1	-0.000199	-0.00144	1.0	1.0	0.0	0.0	0	shared_middle
RNA processing / transcription	RNA processing	1	-0.004621	-0.003276	1.0	1.0	0.0	0.0	0	shared_middle
synaptic / signaling	signaling / growth control	1	-0.000749	-0.000743	1.0	1.0	0.0	0.0	0	shared_middle
JAK-STAT signaling	signaling / growth control	1	-0.000574	-0.000149	1.0	1.0	0.0	0.0	0	shared_middle
oxidative stress / mitochondrial	stress response	1	-0.000425	-0.000201	1.0	1.0	0.0	0.0	0	shared_middle
nuclear receptor / metabolism	signaling / growth control	2	-0.000902	-0.000854	1.0	1.0	0.0	0.0	0	shared_middle
peroxisome / metabolism	metabolism	1	-0.000493	-0.001046	1.0	1.0	0.0	0.0	0	shared_middle
mTOR / lysosome / signaling	signaling / growth control	1	0.004613	0.00307	1.0	1.0	0.0	0.0	1	shared_shift_excess
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	1	0.003267	0.001009	1.0	1.0	1.0	0.0	1	shared_shift_excess
RNA processing / spliceosome	RNA processing	1	0.004668	0.002429	1.0	1.0	1.0	1.0	1	shared_shift_excess
transcription / chromatin	gene expression machinery	2	0.003392	0.003856	1.0	1.0	0.5	0.5	2	shared_shift_excess
