target_gene	priority_tier	candidate_type	functional_category	functional_description	combined_residual_label	combined_depmap_label	both_lines_shift_excess	grid_HCC38	grid_HCC1143	shift_HCC38	shift_HCC1143	shift_mean	liability_HCC38	liability_HCC1143	liability_mean	residual_HCC38	residual_HCC1143	residual_mean	L2_HCC38	L2_HCC1143	effect_HCC38	effect_HCC1143	dep_HCC38	dep_HCC1143	residual_sign_HCC38	residual_sign_HCC1143	residual_sign_agree	shift_sign_HCC38	shift_sign_HCC1143	shift_sign_agree
THRA	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.005842	0.005343	0.005593	0.124456	0.085463	0.104959	-1.5e-05	-0.00047	-0.000243	2.574879	2.37244	-0.124456	-0.085463	-0.124456	-0.085463	-1.0	-1.0	True	1.0	1.0	True
MTDH	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005631	0.004734	0.005182	0.052183	-0.058137	-0.002977	-2.9e-05	-0.0005	-0.000264	2.564566	2.296175	-0.052183	0.058137	-0.052183	0.058137	-1.0	-1.0	True	1.0	1.0	True
PARK7	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005056	0.006148	0.005602	-0.01345	0.218224	0.102387	-0.000425	-0.000201	-0.000313	2.227877	2.928387	0.01345	-0.218224	0.01345	-0.218224	-1.0	-1.0	True	1.0	1.0	True
STAT3	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004942	0.004579	0.004761	-0.000542	-0.183241	-0.091892	-0.000574	-0.000149	-0.000362	2.169052	2.025626	0.000542	0.183241	0.000542	0.183241	-1.0	-1.0	True	1.0	1.0	True
THAP8	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005056	0.005072	0.005064	0.017551	-0.032499	-0.007474	-0.000509	-0.000265	-0.000387	2.12059	2.448728	-0.017551	0.032499	-0.017551	0.032499	-1.0	-1.0	True	1.0	1.0	True
KLF3	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.005468	0.005392	0.00543	0.283247	0.059671	0.171459	-0.000823	-0.000317	-0.00057	2.319837	2.476164	-0.283247	-0.059671	-0.283247	-0.059671	-1.0	-1.0	True	1.0	1.0	True
ZBTB5	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004638	0.005337	0.004988	-0.072901	0.147108	0.037103	-0.00068	-0.000725	-0.000703	1.897499	2.288843	0.072901	-0.147108	0.072901	-0.147108	-1.0	-1.0	True	1.0	1.0	True
ERC1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004172	0.004878	0.004525	-0.218853	0.037912	-0.09047	-0.000749	-0.000743	-0.000746	1.706863	2.171774	0.218853	-0.037912	0.218853	-0.037912	-1.0	-1.0	True	1.0	1.0	True
PEX14	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004392	0.004449	0.004421	-0.232032	0.006656	-0.112688	-0.000493	-0.001046	-0.000769	1.852132	1.926891	0.232032	-0.006656	0.232032	-0.006656	-1.0	-1.0	True	1.0	1.0	True
UBP1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004398	0.004655	0.004527	-0.022859	-0.071413	-0.047136	-0.001057	-0.000525	-0.000791	1.819347	1.968325	0.022859	0.071413	0.022859	0.071413	-1.0	-1.0	True	1.0	1.0	True
HDGF	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.005394	0.00399	0.004692	0.027513	-0.009319	0.009097	-0.000199	-0.00144	-0.00082	2.310398	1.703064	-0.027513	0.009319	-0.027513	0.009319	-1.0	-1.0	True	1.0	1.0	True
XBP1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004028	0.004589	0.004308	-0.108024	-0.097036	-0.10253	-0.001195	-0.000488	-0.000841	1.63878	2.055447	0.108024	0.097036	0.108024	0.097036	-1.0	-1.0	True	1.0	1.0	True
SMAD1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004564	0.004548	0.004556	-0.09294	0.035067	-0.028937	-0.0007	-0.001062	-0.000881	1.925365	1.91465	0.09294	-0.035067	0.09294	-0.035067	-1.0	-1.0	True	1.0	1.0	True
MAML3	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	Q3: low_liability_low_shift	0.003901	0.004293	0.004097	-0.134836	-0.152124	-0.14348	-0.001249	-0.000561	-0.000905	1.538448	1.799612	0.134836	0.152124	0.134836	0.152124	-1.0	-1.0	True	1.0	1.0	True
PCBD1	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	middle	0.004169	0.004675	0.004422	-0.016466	-0.068354	-0.04241	-0.001304	-0.000517	-0.00091	1.739289	1.966038	0.016466	0.068354	0.016466	0.068354	-1.0	-1.0	True	1.0	1.0	True
ETV3	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.00513	0.005387	0.005258	0.173595	0.231476	0.202535	-0.000861	-0.001015	-0.000938	2.13125	2.391418	-0.173595	-0.231476	-0.173595	-0.231476	-1.0	-1.0	True	1.0	1.0	True
ZNF566	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004541	0.004455	0.004498	0.18341	-0.100126	0.041642	-0.001477	-0.000609	-0.001043	1.923927	2.020865	-0.18341	0.100126	-0.18341	0.100126	-1.0	-1.0	True	1.0	1.0	True
PRDX2	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.004864	0.005521	0.005193	0.278398	0.252201	0.265299	-0.001413	-0.000964	-0.001189	2.130358	2.422398	-0.278398	-0.252201	-0.278398	-0.252201	-1.0	-1.0	True	1.0	1.0	True
ZNF24	4	D: depmap_excess			shift_deficient	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.003971	0.004362	0.004166	0.075135	-0.088222	-0.006543	-0.001752	-0.00075	-0.001251	1.621212	1.878847	-0.075135	0.088222	-0.075135	0.088222	-1.0	-1.0	True	1.0	1.0	True
COMMD6	4	D: depmap_excess	signaling / copper metabolism	Copper metabolism / NF-κB regulation	shift_deficient	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.00422	0.004534	0.004377	-0.147382	0.221822	0.03722	-0.000895	-0.001829	-0.001362	1.715292	1.962963	0.147382	-0.221822	0.147382	-0.221822	-1.0	-1.0	True	1.0	1.0	True
RORC	4	D: depmap_excess			shift_deficient	intermediate_viability_liability	False	middle	middle	0.00476	0.004563	0.004662	0.377798	0.08244	0.230119	-0.001788	-0.001237	-0.001513	1.944086	1.921562	-0.377798	-0.08244	-0.377798	-0.08244	-1.0	-1.0	True	1.0	1.0	True
NCOA1	4	D: depmap_excess	transcription regulation	Nuclear receptor co-activator	shift_deficient	intermediate_viability_liability	False	middle	middle	0.004349	0.003907	0.004128	0.093368	0.016166	0.054767	-0.001424	-0.001626	-0.001525	1.803676	1.631294	-0.093368	-0.016166	-0.093368	-0.016166	-1.0	-1.0	True	1.0	1.0	True
