target_gene	reason	rough_category	real_shift_L2	real_shift_mean_abs	real_Edistance	real_DEG_burden	n_cells_target
ATP5MD	not_in_depmap_panel	mitochondrial / oxidative phosphorylation	4.371237999042786	0.0165041502285142	0.1345873931815973	0	145
BOLA2	not_in_depmap_panel	ribonucleoprotein / snoRNP	5.80136189045573	0.0217543765530514	0.2579031770078117	1	85
BOLA2B	not_in_depmap_panel	ribonucleoprotein / snoRNP	5.589276697139684	0.0208022655106723	0.2976685071034275	1	95
C19orf48	not_in_depmap_panel	protein-coding	4.44535802958901	0.0166901131645944	0.124811263139609	0	137
C6orf226	not_in_depmap_panel	protein-coding	5.119272369547762	0.0191599711544241	0.1871830761711379	0	109
GAS5	not_in_depmap_panel	protein-coding	4.87210183620642	0.0181831450926112	0.1391944907775482	0	115
GPATCH4	not_in_depmap_panel	protein-coding	5.11985026674776	0.0191852901357397	0.1650158121703917	1	100
GSEC	not_in_depmap_panel	protein-coding	5.541885712982546	0.0206398517013635	0.2217976315936773	1	91
HLA-H	not_in_depmap_panel	HLA / immune	4.557421446316688	0.0170608483480554	0.1418285963052277	0	131
HSPA1A	not_in_depmap_panel	protein-coding	5.049285083974769	0.0187427443495612	0.2273314286355514	1	124
IDI2-AS1	not_in_depmap_panel	lncRNA / antisense	4.714072087539499	0.0177052914889653	0.2005939532562521	0	132
LEF1-AS1	not_in_depmap_panel	lncRNA / antisense	4.383802912601133	0.0164342483606019	0.1161211194980076	0	141
LINC00518	not_in_depmap_panel	protein-coding	4.579262361036701	0.0172208234460089	0.1686831764047021	0	134
LRRC75A-AS1	not_in_depmap_panel	lncRNA / antisense	4.764380133707861	0.0178782492826732	0.1230757961762591	0	118
NEAT1	not_in_depmap_panel	protein-coding	5.117088659959802	0.0190066459118253	0.1369782834689736	0	104
NUP50-AS1	not_in_depmap_panel	lncRNA / antisense	4.188938709715422	0.015817921695001	0.1042380203061519	0	153
PSMB8-AS1	not_in_depmap_panel	lncRNA / antisense	4.6590792285143925	0.0173921400891139	0.1894845585596023	0	126
RPSA	gene_exists_cellNaN	ribosomal	6.899095627691386	0.0256433493294806	0.3657372352420687	12	55
SLC22A18	not_in_depmap_panel	protein-coding	4.037480712758743	0.0150972510698592	0.0927631395656618	0	166
SLC7A5P1	not_in_depmap_panel	protein-coding	4.712644089332345	0.0177696420774742	0.1570663354321482	0	125
SNHG6	not_in_depmap_panel	protein-coding	4.937118669458151	0.0184337227997594	0.14140849088432	0	112
ST3GAL6-AS1	not_in_depmap_panel	lncRNA / antisense	4.566009952425147	0.0171359404853332	0.1356212421338121	0	133
TIMM50	gene_exists_cellNaN	mitochondrial / oxidative phosphorylation	5.488418036820332	0.0205620473792207	0.2089860609514389	1	92
TMEM173	not_in_depmap_panel	protein-coding	4.253904119097653	0.0160296164361459	0.0840898056053696	0	144
UBC	gene_exists_cellNaN	protein-coding	6.957292049614815	0.0258244064991597	0.2959290814797199	13	55
UQCRH	not_in_depmap_panel	mitochondrial / oxidative phosphorylation	6.79517336701687	0.0251419014213263	0.3354420405966962	17	60
XAGE1A	not_in_depmap_panel	protein-coding	5.131327143887999	0.0192212342147862	0.1462933039574636	1	99
