model_id	cell_line	backbone_recovery	backbone_cosine	backbone_L2	backbone_top20	baseline_backbone_recovery	baseline_backbone_cosine	baseline_backbone_L2	baseline_backbone_top20	structure_vs_context_separation	baseline_structure_vs_context_separation	failure_mode_call
gears_hcc_formal_v1	HCC38	0.6	0.17934697371476468	0.6365135117006142	0.5833333333333334	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.42578629541000956	0.35699195337176404	mixed
gears_hcc_formal_v1	HCC1143	0.7199999999999999	0.13422124684062772	0.7542386799490793	0.49166666666666664	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.43104446604068813	0.3482371639207613	tradeoff
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC38	0.5933333333333334	0.10428425900616962	0.7257695411166768	0.5166666666666667	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.4609447214541419	0.35699195337176404	mixed
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC1143	0.6599999999999999	0.30639840590735384	0.7030240513868261	0.5750000000000001	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.45736787809964047	0.3482371639207613	mixed
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC38	0.5399999999999999	0.225888183706757	0.5599024592907571	0.5166666666666667	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.41983603150628584	0.35699195337176404	mixed
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC1143	0.6866666666666666	0.21319312917011102	0.7241051992450633	0.5916666666666667	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.43583028969437015	0.3482371639207613	mixed
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC38	0.58	0.05887544118035314	0.6536863514630875	0.5750000000000001	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.4229206586829836	0.35699195337176404	mixed
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC1143	0.7066666666666667	0.3385426606152357	0.6785984585891577	0.55	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.47412810349249673	0.3482371639207613	tradeoff
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC38	0.5333333333333333	0.16527143354818932	0.6538885853936874	0.525	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.42913529793882876	0.35699195337176404	mixed
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC1143	0.5266666666666667	0.2716738942044204	0.7203567837620785	0.625	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.4626504812931767	0.3482371639207613	mixed
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC38	0.38666666666666666	0.10412637363549059	0.6270715200634358	0.4833333333333334	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.49005357276233596	0.35699195337176404	tradeoff
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC1143	0.6	0.31083796499182864	0.728297396471715	0.5666666666666665	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.4467898346336644	0.3482371639207613	mixed
geneformer_hcc_formal_v1	HCC38	0.49333333333333335	0.14766974604196045	0.5165521401951079	0.5666666666666668	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.42282049266867194	0.35699195337176404	mixed
geneformer_hcc_formal_v1	HCC1143	0.5733333333333334	0.20388371040981848	0.6326961127560929	0.6	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.37951029729003405	0.3482371639207613	direction
lm_g_geneformer_ridge_hcc_formal_v1	HCC38	0.5333333333333333	0.08913748284464144	0.6721009422571781	0.5750000000000001	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.3197359883174445	0.35699195337176404	direction
lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	0.7199999999999999	0.22224553315170156	0.712466967884665	0.6166666666666666	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.3315887752109247	0.3482371639207613	direction
lm_g_scgpt_ridge_hcc_formal_v1	HCC38	0.5	0.07821319682842416	0.8378826225941286	0.6	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.252801658315375	0.35699195337176404	direction
lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	0.43333333333333335	0.08769777791374526	0.9832293155281248	0.625	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.2651210611884321	0.3482371639207613	direction
lm_train_lowrank_hcc_formal_v1	HCC38	0.5599999999999999	0.09634277076765439	0.7158537750410451	0.5750000000000001	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.2780542551669404	0.35699195337176404	direction
lm_train_lowrank_hcc_formal_v1	HCC1143	0.5133333333333333	0.19335826820541743	0.8309246889841079	0.6416666666666667	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.2944174276316009	0.3482371639207613	direction
scgpt_hcc_formal_v1	HCC38	0.4266666666666667	0.08548701776390417	0.5928462282624728	0.5416666666666666	0.7733333333333333	0.40783391786856144	0.4734442193924852	0.5916666666666667	0.30848152606146056	0.35699195337176404	direction
scgpt_hcc_formal_v1	HCC1143	0.46666666666666673	0.1371998230980148	0.7053888301160383	0.6333333333333333	0.84	0.40858350594437537	0.5903076255599328	0.6333333333333333	0.28116848047952925	0.3482371639207613	direction
