model_id	object_role	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score	cosine_similarity_mean	l2_distance_mean	top20_overlap_mean
shared_mean_baseline	baseline	0.8066666666666666	0.3333333333333333	0.3526145586462627	0.15797784094137463	0.48828218572075294	0.5696808510638298
gears_hcc_formal_v1	entrant	0.6599999999999999	0.3333333333333333	0.42841538072534885	0.13177780831974872	0.6269034496650597	0.5090425531914894
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	0.6433333333333333	0.8333333333333333	0.4485243810877402	0.1678169400085949	0.5700129145224688	0.5143617021276596
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	0.6266666666666667	0.5	0.4591562997768912	0.2003148281477906	0.6324110045805078	0.5074468085106383
lm_g_geneformer_ridge_hcc_formal_v1	entrant	0.6266666666666666	0.16666666666666666	0.3256623817641846	0.07618751395813712	0.751558267553692	0.5819148936170213
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	0.6133333333333333	0.9166666666666667	0.427833160600328	0.12564883600794602	0.5960476370077242	0.5170212765957447
lm_train_lowrank_hcc_formal_v1	entrant	0.5366666666666666	0.5833333333333333	0.2862358413992706	0.04622249601650719	0.7071498930972573	0.5750000000000001
geneformer_hcc_formal_v1	entrant	0.5333333333333333	0.75	0.401165394979353	0.13051090379265726	0.431977547332276	0.5654255319148938
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	0.53	0.9166666666666667	0.4458928896160027	0.19952925834841867	0.6094527045051442	0.5276595744680852
null_model	null	0.5	0.5	0.0	0.0	0.413637940569376	0.45904255319148923
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	0.4933333333333333	0.6666666666666667	0.4684217036980002	0.2059823703992348	0.5753693543899769	0.5095744680851064
lm_g_scgpt_ridge_hcc_formal_v1	entrant	0.4666666666666667	0.16666666666666666	0.25896135975190354	0.029434316020139767	0.799858091671705	0.5829787234042554
scgpt_hcc_formal_v1	entrant	0.4466666666666667	0.3333333333333333	0.2948250032704949	0.121027655071248	0.49228619504006543	0.5611702127659575
