cell_line	context_role	model_id	display_name	model_family	metric	raw_value	ci_low	ci_high	orientation_multiplier	oriented_value	direction	display_zscore_within_context_metric
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_kernel_loo	Geneformer kernel LOO	Geneformer	total_shift_endpoint_alignment	0.03606553321863684	-0.009829299096678052	0.0803942597885146	1.0	0.03606553321863684	higher_better	-1.3152140199911435
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_kernel_loo	Geneformer kernel LOO	Geneformer	directional_response_recovery	0.1352498831745959	0.12151589160907186	0.1456166526811468	1.0	0.1352498831745959	higher_better	-1.41421212952328
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_kernel_loo	Geneformer kernel LOO	Geneformer	endpoint_anchor_separation	0.5372734934681838	0.48381689844079223	0.5914670248630426	1.0	0.5372734934681838	higher_better	-1.408051694498551
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_kernel_loo	Geneformer kernel LOO	Geneformer	target_identity_preservation	0.018224994835247636	NA	NA	1.0	0.018224994835247636	higher_better	-0.17025133311163507
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_kernel_loo	Geneformer kernel LOO	Geneformer	excess_output_homogenization	0.21572546506055007	NA	NA	-1.0	-0.21572546506055007	higher_is_warning	1.408320916531473
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_ridge_loo	Geneformer ridge LOO	linear_embedding	total_shift_endpoint_alignment	0.2957212490559923	0.2529383874471565	0.33687595128368547	1.0	0.2957212490559923	higher_better	1.1077837099857553
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_ridge_loo	Geneformer ridge LOO	linear_embedding	directional_response_recovery	0.26395214835630554	0.24345466193946222	0.28242014371726565	1.0	0.26395214835630554	higher_better	0.7053626394200895
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_ridge_loo	Geneformer ridge LOO	linear_embedding	endpoint_anchor_separation	0.7822798145806995	0.7377976190476191	0.8226717235566793	1.0	0.7822798145806995	higher_better	0.8182310100696147
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_ridge_loo	Geneformer ridge LOO	linear_embedding	target_identity_preservation	0.08600140641096882	NA	NA	1.0	0.08600140641096882	higher_better	1.3009631814731206
Replogle K562 essential day 6	qualified_independent_context	geneformer_embedding_ridge_loo	Geneformer ridge LOO	linear_embedding	excess_output_homogenization	0.6521110593100554	NA	NA	-1.0	-0.6521110593100554	higher_is_warning	-0.8158481793677608
Replogle K562 essential day 6	qualified_independent_context	chargram_lowrank_ridge_loo	Chargram ridge LOO	linear_symbolic	total_shift_endpoint_alignment	0.199236673900931	0.1544537245317786	0.24301167563072584	1.0	0.199236673900931	higher_better	0.2074303100053884
Replogle K562 essential day 6	qualified_independent_context	chargram_lowrank_ridge_loo	Chargram ridge LOO	linear_symbolic	directional_response_recovery	0.26416387270207575	0.24613809163921874	0.2839838747800792	1.0	0.26416387270207575	higher_better	0.7088494901031912
Replogle K562 essential day 6	qualified_independent_context	chargram_lowrank_ridge_loo	Chargram ridge LOO	linear_symbolic	endpoint_anchor_separation	0.7571428571428571	0.7094395280235988	0.8013305941845764	1.0	0.7571428571428571	higher_better	0.5898206844289352
Replogle K562 essential day 6	qualified_independent_context	chargram_lowrank_ridge_loo	Chargram ridge LOO	linear_symbolic	target_identity_preservation	-0.02602182745917239	NA	NA	1.0	-0.02602182745917239	higher_better	-1.1307118483614857
Replogle K562 essential day 6	qualified_independent_context	chargram_lowrank_ridge_loo	Chargram ridge LOO	linear_symbolic	excess_output_homogenization	0.6082844342271503	NA	NA	-1.0	-0.6082844342271503	higher_is_warning	-0.5924727371637122
