context	endpoint	source_path	historical_rows	finite_compared	exact_matches	tolerance_matches	max_absolute_error	value_mismatches	missing_status_changes	both_missing	status
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	47	47	0.0	0	0	1	Verification passed
HCC38	depmap_gene_dependency	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	47	47	0.0	0	0	1	Verification passed
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	48	48	0.0	0	0	1	Verification passed
HCC1143	depmap_gene_dependency	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	48	48	0.0	0	0	1	Verification passed
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	1875	1882	4.440892098500626e-16	0	0	139	Verification passed
K562_essential_day7	depmap_gene_dependency	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	1882	1882	0.0	0	0	139	Verification passed
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	9254	9261	4.440892098500626e-16	0	0	526	Verification passed
K562_GWPS_day8	depmap_gene_dependency	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	9261	9261	0.0	0	0	526	Verification passed
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1000	0	0	0.711318213502337	1000	3	58	Historical endpoint mismatch; provenance unresolved
HepG2	depmap_gene_dependency	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1000	1000	1000	0.0	0	0	61	Verification passed
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1687	0	0	0.9224437335467699	1687	11	117	Historical endpoint mismatch; provenance unresolved
Jurkat	depmap_gene_dependency	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1687	1687	1687	0.0	0	0	128	Verification passed
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	10	10	0.0	0	0	0	Verification passed
dixit_2016_k562_tf_7d_gse90063	depmap_gene_dependency	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	10	10	0.0	0	0	0	Verification passed
dixit_2016_k562_tf_13d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	10	10	0.0	0	0	0	Verification passed
dixit_2016_k562_tf_13d_gse90063	depmap_gene_dependency	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	10	10	0.0	0	0	0	Verification passed
