cell_line	check	value	policy	details
HCC1143	assayed_targets_missing_depmap_gene_column	0.0	reported	
HCC1143	assayed_targets_missing_expression_symbol	0.0	reported	
HCC1143	assayed_targets_with_exact_model_endpoint_missing	1.0	reported	
HCC1143	duplicated_expression_gene_symbols	10.0	reported_not_silently_dropped	ARMCX5-GPRASP2,CYB561D2,GGT1,GOLGA8M,HSPA14,LINC01238,LINC01505,MATR3,TBCE,TMSB15B
HCC1143	duplicated_expression_gene_symbols_overlapping_assayed_targets	0.0	must_be_zero	
HCC1143	expression_gene_features	36601.0	count	
HCC1143	final_target_set_validation_max_abs_shift_error	9.974659986866641e-17	must_be_le_1e-12	
HCC1143	raw_call_barcodes_not_in_matrix	0.0	must_be_zero	
HCC1143	raw_call_duplicate_barcodes	0.0	must_be_zero	
HCC1143	raw_protospacer_call_rows	13475.0	count	
HCC1143	requested_depmap_gene_columns_with_duplicate_clean_name	0.0	must_be_zero	
HCC38	assayed_targets_missing_depmap_gene_column	0.0	reported	
HCC38	assayed_targets_missing_expression_symbol	0.0	reported	
HCC38	assayed_targets_with_exact_model_endpoint_missing	1.0	reported	
HCC38	duplicated_expression_gene_symbols	10.0	reported_not_silently_dropped	ARMCX5-GPRASP2,CYB561D2,GGT1,GOLGA8M,HSPA14,LINC01238,LINC01505,MATR3,TBCE,TMSB15B
HCC38	duplicated_expression_gene_symbols_overlapping_assayed_targets	0.0	must_be_zero	
HCC38	expression_gene_features	36601.0	count	
HCC38	final_target_set_validation_max_abs_shift_error	9.71445146547012e-17	must_be_le_1e-12	
HCC38	raw_call_barcodes_not_in_matrix	0.0	must_be_zero	
HCC38	raw_call_duplicate_barcodes	0.0	must_be_zero	
HCC38	raw_protospacer_call_rows	16800.0	count	
HCC38	requested_depmap_gene_columns_with_duplicate_clean_name	0.0	must_be_zero	
