cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260920	reference	observed_magnitude_random_direction	20260920.0	48	47	0.9791666666666666	SS18L2	47	0.5492078214128752	0.31855937555976055	0.7209687088046358	estimated	47	-0.0009097082366002865	-0.03703214459300685	0.04839540971886089	47	0.8333333333333334	0.5	1.0	8	6	0.014513985190910267	0.30256974302569745	estimated	47	1081	-0.0014448850770950507	0.06052824956999022	-0.06197313464708527	47	47	0.009451091255143514	0.03613003595670643	-0.026678944701562915	47	47	-0.0065334886111541365	-0.0376602163371153	0.04402164664267115	47	1.4148566770076754	1.382144564946196	1.4337129956617507	47	0.024297233384838423	0.016929720038634723	0.037119388093049495	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260921	reference	observed_magnitude_random_direction	20260921.0	48	47	0.9791666666666666	SS18L2	47	0.5292008824563732	0.28638825062763307	0.7069919995882782	estimated	47	0.04882495500891168	-0.011179753240306123	0.07857350575124271	47	0.8541666666666666	0.5625	1.0	8	6	-0.0008318119751361717	0.5111488851114888	estimated	47	1081	-0.001251362798177279	0.06052824956999022	-0.0617796123681675	47	47	0.013183872478594654	0.03613003595670643	-0.02294616347811177	47	47	0.04383903116404455	-0.024609803754223534	0.08419798365396859	47	1.3792570790038294	1.357023370123472	1.422096869584	47	0.02941406364020042	0.021025894931230547	0.03857721461006906	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260922	reference	observed_magnitude_random_direction	20260922.0	48	47	0.9791666666666666	SS18L2	47	0.5512894682407191	0.3163739293619595	0.7227510676930616	estimated	47	-0.030218138387585497	-0.07387773451717645	0.061414781822432665	47	0.8333333333333334	0.5	1.0	8	6	-0.018026389461238756	0.7222277772222778	estimated	47	1081	0.006780606914572846	0.06052824956999022	-0.05374764265541737	47	47	0.02356555507064624	0.03613003595670643	-0.012564480886060186	47	47	-0.04837014851280205	-0.07577833532634991	0.06869138396788949	47	1.4354219856109116	1.370098695844622	1.465522251292812	47	0.028559983880071672	0.023514348728172957	0.03478335635965959	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260923	reference	observed_magnitude_random_direction	20260923.0	48	47	0.9791666666666666	SS18L2	47	0.5615820553339486	0.3286661479578278	0.7285174364540873	estimated	47	0.0017037827429631541	-0.022897992897936578	0.055417567369015125	47	0.8541666666666666	0.5625	1.0	8	6	-0.016555721038289208	0.7066293370662934	estimated	47	1081	-0.001980237858161007	0.06052824956999022	-0.06250848742815122	47	47	0.013871859865963801	0.03613003595670643	-0.022258176090742626	47	47	0.011501838595475853	-0.038782287138889295	0.0699593779582446	47	1.4130082924434926	1.374327785322645	1.443034246629788	47	0.022754388439908797	0.012673456649981105	0.03502074143522752	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260924	reference	observed_magnitude_random_direction	20260924.0	48	47	0.9791666666666666	SS18L2	47	0.5605412319200265	0.32374241903872775	0.7261567321346206	estimated	47	0.00227409786881241	-0.04229863933833293	0.05283415056828967	47	0.8333333333333334	0.5	1.0	8	6	-0.018033295657987655	0.7179282071792821	estimated	47	1081	-0.0026410016038875598	0.06052824956999022	-0.06316925117387778	47	47	0.021523060504372513	0.03613003595670643	-0.014606975452333915	47	47	-0.0019370719776729012	-0.04000646850194924	0.03764087070496242	47	1.4126046171035884	1.3763472304848876	1.4438721211852923	47	0.02372029998531712	0.015026390378872954	0.03239575117591999	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260925	reference	observed_magnitude_random_direction	20260925.0	48	47	0.9791666666666666	SS18L2	47	0.5480513509529616	0.31252822032673494	0.7151816804333171	estimated	47	-0.036100282836523744	-0.05959639023711834	0.005668783755810326	47	0.8541666666666666	0.5625	1.0	8	6	0.06104071920201984	0.031996800319968	estimated	47	1081	0.005232629383104609	0.06052824956999022	-0.055295620186885615	47	47	0.013391650069750549	0.03613003595670643	-0.022738385886955877	47	47	-0.03563500979470707	-0.06484097238281882	0.029048895847165045	47	1.4395140032917526	1.4101994300411484	1.458455155341775	47	0.025532282879395303	0.01460227083046056	0.04052943686852195	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260926	reference	observed_magnitude_random_direction	20260926.0	48	47	0.9791666666666666	SS18L2	47	0.5405342929635245	0.30124994926657583	0.718187989703459	estimated	47	0.01386895410477219	-0.06751491923667537	0.068181240389729	47	0.8333333333333334	0.5	1.0	8	6	-0.006531352708302578	0.5812418758124187	estimated	47	1081	-0.0014856508478709712	0.06052824956999022	-0.062013900417861194	47	47	0.031595196513272104	0.03613003595670643	-0.004534839443434323	47	47	0.006418062526334966	-0.044254189251459235	0.06024156777827716	47	1.404372490399344	1.3643889385170014	1.4662461905472006	47	0.03140249674447739	0.01864256261106088	0.04837827721335936	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260927	reference	observed_magnitude_random_direction	20260927.0	48	47	0.9791666666666666	SS18L2	47	0.5421533516074033	0.3010954158695859	0.7104606734729189	estimated	47	0.0025340159211853686	-0.07304325355895182	0.04067840179301062	47	0.8333333333333334	0.5	1.0	8	6	-0.022300384790103864	0.7613238676132387	estimated	47	1081	0.008458766449280144	0.06052824956999022	-0.05206948312071008	47	47	0.01972367577184091	0.03613003595670643	-0.016406360184865517	47	47	-0.00024849591663646167	-0.09532519326749274	0.04277205907781441	47	1.4124206059660944	1.3851509652070348	1.4649527320421993	47	0.039020454382219724	0.022497627819609758	0.04948040916912273	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260928	reference	observed_magnitude_random_direction	20260928.0	48	47	0.9791666666666666	SS18L2	47	0.548860880274901	0.2989736991990739	0.7188795735536876	estimated	47	0.015728646682499715	-0.07446179171628767	0.06004489714330409	47	0.8541666666666666	0.5625	1.0	8	6	0.036671809740834276	0.1100889911008899	estimated	47	1081	0.0026261979537848513	0.06052824956999022	-0.05790205161620537	47	47	0.010208966744713128	0.03613003595670643	-0.0259210692119933	47	47	0.015351567077625064	-0.045380132507085086	0.06564008149866644	47	1.4030476494527906	1.3710981750820732	1.4630920998608765	47	0.03268654791383373	0.021833970994832988	0.04594697289444229	47
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260929	reference	observed_magnitude_random_direction	20260929.0	48	47	0.9791666666666666	SS18L2	47	0.529432176548356	0.29131965346972083	0.7095370625021151	estimated	47	-0.03563468789144966	-0.08043635176816796	-0.008523990649026056	47	0.8333333333333334	0.5	1.0	8	6	-0.011506911231527821	0.6331366863313669	estimated	47	1081	0.003908800905247885	0.06052824956999022	-0.05661944866474233	47	47	0.010107665842234517	0.03613003595670643	-0.02602237011447191	47	47	-0.037903229020023375	-0.06969359186309078	3.6066884785295096e-05	47	1.439190527964557	1.4202281441015214	1.4704399709076832	47	0.019571566129533834	0.013861793724826856	0.03620749056094991	47
