context	pathway	full_NES	full_padj	loo_NES_min	loo_NES_max	loo_NES_median	loo_NES_mean	loo_sign_retained_fraction	loo_fdr010_retained_fraction	loo_fdr005_retained_fraction
HCC1143	E2F Targets	-1.7932426190015	2.64301912646539e-09	-1.87747447484784	-1.70548952387164	-1.78122564559963	-1.7885781528306477	1.0	1.0	1.0
HCC1143	G2-M Checkpoint	-1.81145487723892	2.64301912646539e-09	-1.89432978018023	-1.75851204908831	-1.79213533669044	-1.8057126250983577	1.0	1.0	1.0
HCC1143	Glycolysis	-1.44770312171263	0.0120257769594986	-1.48255591202225	-1.37416819643072	-1.43141763515495	-1.429041929200181	1.0	1.0	0.8888888888888888
HCC1143	Mitotic Spindle	-1.74556995999108	5.84289579456673e-08	-1.7755434787164	-1.69889658475339	-1.74772304153082	-1.73819508596947	1.0	1.0	1.0
HCC1143	Myc Targets V1	-1.62552959573515	5.18566258539937e-05	-1.82952718588192	-1.514720346796	-1.62736954294029	-1.6369281205934891	1.0	1.0	1.0
HCC1143	TNF-alpha Signaling via NF-kB	1.47299279729122	0.0120257769594986	1.35362747050716	1.63207420785076	1.46501422832651	1.4557688490661276	1.0	1.0	1.0
HCC1143	mTORC1 Signaling	-1.28074782188442	0.1772306094736	-1.30434396794508	-1.21336499657037	-1.2927961857386	-1.2735542151924433	1.0	0.0	0.0
HCC1143	p53 Pathway	1.3453479476648	0.0509286998202517	1.28601939465299	1.44433752141654	1.32347941549304	1.3323371842548613	1.0	0.8888888888888888	0.2222222222222222
HCC38	E2F Targets	-1.65190353703246	3.06831020019522e-05	-1.83514270860737	-1.21491537647812	-1.64634101588932	-1.6033998816464132	1.0	0.8888888888888888	0.7777777777777778
HCC38	G2-M Checkpoint	-1.62495522546412	6.26657111060254e-05	-1.81536823396946	-1.17231765004265	-1.62196942670851	-1.5577207927498944	1.0	0.7777777777777778	0.7777777777777778
HCC38	Glycolysis	-1.5029410085967	0.0041641756301798	-1.58392040111856	-1.41069626402532	-1.50176964756122	-1.5033655005144433	1.0	1.0	1.0
HCC38	Mitotic Spindle	-1.44338904739184	0.0127297270951415	-1.59893739602921	-1.1546285641138	-1.4534009535082	-1.41486472197242	1.0	0.7777777777777778	0.7777777777777778
HCC38	Myc Targets V1	-1.95026327884799	5e-09	-2.00892328243655	-1.85475101008917	-1.92999874588901	-1.9190043503957552	1.0	1.0	1.0
HCC38	TNF-alpha Signaling via NF-kB	0.979809473844066	0.579952680477812	-1.06571250194489	1.22371493247067	1.00585557222868	0.40374711291383253	0.6666666666666666	0.0	0.0
HCC38	mTORC1 Signaling	-1.75366985582011	1.76494566983819e-07	-1.80198663875137	-1.63668711533603	-1.76143451394323	-1.7348300367318776	1.0	1.0	1.0
HCC38	p53 Pathway	0.989898520618659	0.55291504108486	-0.999085315461357	1.2236746976175	0.994395409819399	0.1804492367623707	0.5555555555555556	0.0	0.0
