context	held_out_target	n_remaining_q1_targets	pathway	full_NES	full_ES	full_pval	full_padj	loo_NES	loo_ES	loo_pval	loo_padj
HCC38	ENY2	8	Myc Targets V1	-1.95026327884799	-0.820747297256772	1e-10	5e-09	-1.86792124255605	-0.803772476637617	1e-10	2.5e-09
HCC38	ENY2	8	E2F Targets	-1.65190353703246	-0.694495803968757	1.84098612011713e-06	3.06831020019522e-05	-1.56571104341879	-0.67303878097769	2.40125102167882e-05	0.0004002085036131
HCC38	ENY2	8	G2-M Checkpoint	-1.62495522546412	-0.684303950614596	5.01325688848203e-06	6.26657111060254e-05	-1.46694831732169	-0.631396668422449	0.0004585443581036	0.0026548969939305
HCC38	ENY2	8	Mitotic Spindle	-1.44338904739184	-0.60642729915171	0.0022913508771254	0.0127297270951415	-1.3059902366164	-0.561323440169061	0.0220081024854922	0.0483197577823373
HCC38	ENY2	8	mTORC1 Signaling	-1.75366985582011	-0.737280554893339	7.0597826793527805e-09	1.76494566983819e-07	-1.80198663875137	-0.774604545188043	1e-10	2.5e-09
HCC38	ENY2	8	Glycolysis	-1.5029410085967	-0.631447535419893	0.0004997010756215	0.0041641756301798	-1.50176964756122	-0.645470755657839	0.0001377936242719	0.0011482802022661
HCC38	ENY2	8	p53 Pathway	0.989898520618659	0.348511541327117	0.446601941747573	0.55291504108486	-0.999085315461357	-0.429909602228079	0.49021978021978	0.570023000255558
HCC38	ENY2	8	TNF-alpha Signaling via NF-kB	0.979809473844066	0.34443554647265	0.498759305210918	0.579952680477812	-1.06571250194489	-0.457980401540206	0.33129035788552	0.445844829870452
HCC38	NPM1	8	Myc Targets V1	-1.95026327884799	-0.820747297256772	1e-10	5e-09	-1.92999874588901	-0.800234498127094	1e-10	5e-09
HCC38	NPM1	8	E2F Targets	-1.65190353703246	-0.694495803968757	1.84098612011713e-06	3.06831020019522e-05	-1.21491537647812	-0.503706204283036	0.0816136178150869	0.170028370448098
HCC38	NPM1	8	G2-M Checkpoint	-1.62495522546412	-0.684303950614596	5.01325688848203e-06	6.26657111060254e-05	-1.17231765004265	-0.486245604800085	0.12977632805219	0.249569861638827
