context	pathway	genome_wide_pearson_r	genome_wide_sign_agreement	mean_NES	mean_ES	mean_pval	mean_padj	median_NES	median_ES	median_pval	median_padj	NES_difference	sign_agree
HCC38	Myc Targets V1	0.8127372686727716	0.6304282473832363	-1.95026327884799	-0.820747297256772	1e-10	5e-09	-1.8277889610088	-0.781859256326189	1e-10	5e-09	-0.12247431783918983	True
HCC38	E2F Targets	0.8127372686727716	0.6304282473832363	-1.65190353703246	-0.694495803968757	1.84098612011713e-06	3.06831020019522e-05	-1.4785951423661	-0.632382845715489	0.0003767498838778	0.0033493890399072	-0.17330839466636005	True
HCC38	G2-M Checkpoint	0.8127372686727716	0.6304282473832363	-1.62495522546412	-0.684303950614596	5.01325688848203e-06	6.26657111060254e-05	-1.51296243737521	-0.647612145353431	0.0002159883800896	0.0026998547511211	-0.11199278808891	True
HCC38	Mitotic Spindle	0.8127372686727716	0.6304282473832363	-1.44338904739184	-0.60642729915171	0.0022913508771254	0.0127297270951415	-1.37955959378275	-0.589786498453131	0.0056173463655769	0.0274666756353771	-0.06382945360908998	True
HCC38	mTORC1 Signaling	0.8127372686727716	0.6304282473832363	-1.75366985582011	-0.737280554893339	7.0597826793527805e-09	1.76494566983819e-07	-1.65702733741786	-0.708696811615262	2.28785826075519e-07	5.71964565188798e-06	-0.09664251840225013	True
HCC38	Glycolysis	0.8127372686727716	0.6304282473832363	-1.5029410085967	-0.631447535419893	0.0004997010756215	0.0041641756301798	-1.49583641137278	-0.639496925901687	0.0004019266847888	0.0033493890399072	-0.007104597223920095	True
HCC38	p53 Pathway	0.8127372686727716	0.6304282473832363	0.989898520618659	0.348511541327117	0.446601941747573	0.55291504108486	-1.02994809451782	-0.440572991966111	0.408395228449246	0.499890134036476	2.019846615136479	False
HCC38	TNF-alpha Signaling via NF-kB	0.8127372686727716	0.6304282473832363	0.979809473844066	0.34443554647265	0.498759305210918	0.579952680477812	-0.896381072885171	-0.383027468207463	0.735973967684022	0.782951029451087	1.876190546729237	False
HCC1143	Myc Targets V1	0.9136740058063056	0.6348828947008828	-1.62552959573515	-0.718803278188061	4.14853006831949e-06	5.18566258539937e-05	-1.61986526022951	-0.730571828385586	7.33041378358762e-06	9.16301722948453e-05	-0.00566433550564005	True
HCC1143	E2F Targets	0.9136740058063056	0.6348828947008828	-1.7932426190015	-0.79225248047855	1.05720765058616e-10	2.64301912646539e-09	-1.73472186503913	-0.782105449289055	2.70542809623743e-09	6.76357024059356e-08	-0.05852075396237	True
HCC1143	G2-M Checkpoint	0.9136740058063056	0.6348828947008828	-1.81145487723892	-0.801357519872186	1e-10	2.64301912646539e-09	-1.77138589658366	-0.798839108744519	6.88215279659226e-10	3.44107639829613e-08	-0.0400689806552601	True
HCC1143	Mitotic Spindle	0.9136740058063056	0.6348828947008828	-1.74556995999108	-0.770971206082154	3.50573747674004e-09	5.84289579456673e-08	-1.68507614432395	-0.759607408452364	3.93582408110164e-07	6.55970680183606e-06	-0.06049381566712997	True
HCC1143	mTORC1 Signaling	0.9136740058063056	0.6348828947008828	-1.28074782188442	-0.565832881732654	0.042535346273664	0.1772306094736	-1.35799662951272	-0.612257552904087	0.0104129688794226	0.0578498271079031	0.0772488076283	True
HCC1143	Glycolysis	0.9136740058063056	0.6348828947008828	-1.44770312171263	-0.639411451490256	0.0012904300644759	0.0120257769594986	-1.4425659439986	-0.650287396171077	0.0033060882507133	0.0245195552764578	-0.0051371777140298835	True
HCC1143	p53 Pathway	0.9136740058063056	0.6348828947008828	1.3453479476648	0.51036016384045	0.0101857399640503	0.0509286998202517	1.38581843747236	0.53495023459532	0.0034327377387041	0.0245195552764578	-0.04047048980756007	True
HCC1143	TNF-alpha Signaling via NF-kB	0.9136740058063056	0.6348828947008828	1.47299279729122	0.557269867425567	0.0014430932351398	0.0120257769594986	1.47051585481585	0.565436324165779	0.0010219929510421	0.010219929510421	0.002476942475370114	True
