model_id	cell_line	total_shift_depmap_spearman	total_shift_depmap_pvalue	total_shift_depmap_qvalue	total_shift_depmap_status	panel	axis_aligned_depmap_spearman	axis_aligned_depmap_pvalue	axis_aligned_depmap_qvalue	axis_aligned_endpoint_permutation_qvalue	anchor_vs_low_information_axis_auc	metric_family	metric	pvalue_column	qvalue_column	source_table	correction_scope	object_role	n_targets	predicted_shift_mean_abs_n_unique	dependency_strength_n_unique	axis_aligned_depmap_status	axis_aligned_magnitude_n_unique	axis_aligned_endpoint_permutation_pvalue	axis_aligned_endpoint_permutation_zscore	predicted_vs_observed_shift_spearman	predicted_vs_observed_shift_pvalue	predicted_vs_observed_shift_status	observed_shift_mean_abs_n_unique	q1_anchor_count	low_information_count	mean_top_axis_share	mean_axis_entropy	mean_stress_axis_share	mean_target_axis_cosine_proxy	target_identity_preservation_spearman	target_identity_preservation_pvalue	target_identity_label_permutation_pvalue	target_identity_label_permutation_zscore	target_identity_preservation_status	target_identity_n_pairs	predicted_target_similarity_mean	observed_target_similarity_mean	target_identity_label_permutation_qvalue	endpoint_recovery_score	common_response_score	common_response_quadrant	target_gene	predicted_shift_mean_abs	predicted_shift_l2	predicted_topk_abs_shift	expected_axis	predicted_shift_axis_aligned_magnitude	axis_total_magnitude	top_axis	top_axis_magnitude	axis_entropy	stress_axis_magnitude	top_axis_share	common_axis_dominance_score	stress_axis_share	observed_shift_mean_abs	observed_shift_l2	depmap_gene_effect	dependency_strength	endpoint_category	depmap_gene_dependency	residual	quadrant	dataset_id	context	evidence_layer	claim_role	source_path	source_sha256	n_targets_total	n_targets_matched_depmap	dependency_strength_variable	shift_metric	spearman_rho	spearman_permutation_pvalue	spearman_bootstrap_ci_low	spearman_bootstrap_ci_high	pearson_r	pearson_permutation_pvalue	pearson_bootstrap_ci_low	pearson_bootstrap_ci_high	n_permutations	n_bootstrap	status	supported_claim
cellot_hcc_formal_v1	HCC1143	0.0448658649398704	0.7645943068716943	0.9293728162671568	estimated	a																																																																																					
cellot_hcc_formal_v1	HCC38	0.2172756706753006	0.1423632651594372	0.3986171424464242	estimated	a																																																																																					
cpa_v0.8.8	HCC1143	-0.1604995374653099	0.2811651385375679	0.4920389924407438	estimated	a																																																																																					
cpa_v0.8.8	HCC38	-0.1557585568917668	0.2958056476814158	0.5927871878731339	estimated	a																																																																																					
gears_hcc_formal_v1	HCC1143	0.0158418131359852	0.9158298597897396	0.971078286353992	estimated	a																																																																																					
gears_hcc_formal_v1	HCC38	0.2273358001850139	0.1243501393594644	0.3986171424464242	estimated	a																																																																																					
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC1143	-0.2291859389454209	0.121233360062147	0.3459829576556604	estimated	a																																																																																					
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC38	0.1195652173913043	0.4234194199093813	0.5927871878731339	estimated	a																																																																																					
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC1143	0.0568917668825161	0.7040674447966342	0.9293728162671568	estimated	a																																																																																					
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC38	0.1274283071230342	0.3933445199855087	0.5927871878731339	estimated	a																																																																																					
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC1143	0.4927150786308972	0.0004342321778229	0.0030396252447603	estimated	a																																																																																					
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC38	0.1376040703052728	0.356340108919035	0.5927871878731339	estimated	a																																																																																					
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC1143	0.2277983348751156	0.1235653420198787	0.3459829576556604	estimated	a																																																																																					
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC38	0.2511563367252544	0.0885883622041651	0.3986171424464242	estimated	a																																																																																					
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC1143	-0.1666281221091582	0.2629558640250296	0.4920389924407438	estimated	a																																																																																					
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC38	0.0779370952821461	0.6025651179900802	0.766901059260102	estimated	a																																																																																					
geneformer_hcc_formal_v1	HCC1143	0.145814061054579	0.3280879043060074	0.5103589622537893	estimated	a																																																																																					
geneformer_hcc_formal_v1	HCC38	-0.1236123959296947	0.4077804191672295	0.5927871878731339	estimated	a																																																																																					
lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	-0.0054347826086956	0.971078286353992	0.971078286353992	estimated	a																																																																																					
lm_g_geneformer_ridge_hcc_formal_v1	HCC38	-0.0138760407030527	0.926243491979	0.926243491979	estimated	a																																																																																					
lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	0.0386216466234967	0.7966052710861344	0.9293728162671568	estimated	a																																																																																					
lm_g_scgpt_ridge_hcc_formal_v1	HCC38	0.029486586493987	0.8440238618371709	0.908948774286184	estimated	a																																																																																					
lm_train_lowrank_hcc_formal_v1	HCC1143	0.1957678075855689	0.1872429963522215	0.4369003248218503	estimated	a																																																																																					
lm_train_lowrank_hcc_formal_v1	HCC38	0.0509944495837187	0.7335492754755175	0.8558074880547704	estimated	a																																																																																					
null_model	HCC1143				non_estimable_constant_score	a																																																																																					
null_model	HCC38				non_estimable_constant_score	a																																																																																					
scgen_hcc_formal_v1	HCC1143	0.5201202590194265	0.0001788037437314	0.0025032524122402	estimated	a																																																																																					
scgen_hcc_formal_v1	HCC38	0.4868177613320999	0.0005205873441632	0.0055512477149475	estimated	a																																																																																					
scgpt_hcc_formal_v1	HCC1143	0.2606382978723404	0.0768179229531643	0.3459829576556604	estimated	a																																																																																					
scgpt_hcc_formal_v1	HCC38	0.4727104532839963	0.0007930353878496	0.0055512477149475	estimated	a																																																																																					
shared_mean_baseline	HCC1143				non_estimable_constant_score	a																																																																																					
shared_mean_baseline	HCC38				non_estimable_constant_score	a																																																																																					
cellot_hcc_formal_v1	HCC1143					b	0.1771507863089731	0.2335629139358729	0.4688820004203888	0.2584915084915085																																																																																	
cellot_hcc_formal_v1	HCC38					b	0.0841813135985198	0.5737224569861368	0.6619874503686194	0.3469607315761162																																																																																	
cpa_v0.8.8	HCC1143					b	-0.1862858464384829	0.2099400159080872	0.4688820004203888	0.8871128871128872																																																																																	
cpa_v0.8.8	HCC38					b	0.198427382053654	0.181203725525325	0.4025520832136204	0.2247752247752247																																																																																	
