model_id	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score
gears_hcc_formal_v1	0.6599999999999999	0.3333333333333333	0.4284153807253488
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	0.6266666666666667	0.5	0.45915629977689115
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	0.6133333333333333	0.9166666666666667	0.42783316060032794
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	0.6433333333333333	0.8333333333333333	0.4485243810877402
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	0.53	0.9166666666666667	0.4458928896160027
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	0.4933333333333333	0.6666666666666667	0.4684217036980002
geneformer_hcc_formal_v1	0.5333333333333333	0.75	0.40116539497935294
lm_g_geneformer_ridge_hcc_formal_v1	0.6266666666666666	0.16666666666666666	0.3256623817641846
lm_g_scgpt_ridge_hcc_formal_v1	0.4666666666666667	0.16666666666666666	0.25896135975190354
lm_train_lowrank_hcc_formal_v1	0.5366666666666666	0.5833333333333333	0.2862358413992706
null_model	0.5	0.5	0.0
scgpt_hcc_formal_v1	0.44666666666666666	0.3333333333333333	0.2948250032704949
shared_mean_baseline	0.8066666666666666	0.3333333333333333	0.3526145586462627
