model_id	metric	observed	null_n	null_mean	null_sd	null_q025	null_q500	null_q975	empirical_p_ge_observed	observed_percentile
gears_hcc_formal_v1	backbone_recovery_score	0.6599999999999999	1000	0.5448333333333334	0.06665110762714828	0.4065833333333333	0.5466666666666666	0.6766666666666666	0.04295704295704296	0.9630369630369631
gears_hcc_formal_v1	shift_excess_identification_score	0.3333333333333333	1000	0.5455	0.25657145641239776	0.0	0.5833333333333333	1.0	0.8251748251748252	0.24975024975024976
gears_hcc_formal_v1	structure_vs_context_separation_score	0.4284153807253488	1000	0.4021259997806984	0.014330158970752394	0.37363164905376123	0.4015975197458869	0.4292855620683088	0.029970029970029972	0.971028971028971
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	backbone_recovery_score	0.6266666666666667	1000	0.4988633333333333	0.06657022712582576	0.36	0.5	0.6234166666666665	0.025974025974025976	0.977022977022977
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	shift_excess_identification_score	0.5	1000	0.41291666666666665	0.2576136687023853	0.0	0.4166666666666667	0.9166666666666667	0.4355644355644356	0.7032967032967034
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	structure_vs_context_separation_score	0.45915629977689115	1000	0.4016334736814356	0.014754083327638817	0.3731706797154379	0.4023211291125145	0.4303531724100604	0.000999000999000999	1.0
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	backbone_recovery_score	0.6133333333333333	1000	0.5279066666666666	0.06325659752518939	0.40325	0.53	0.6434166666666665	0.0899100899100899	0.9180819180819181
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	shift_excess_identification_score	0.9166666666666667	1000	0.56575	0.2514621766426064	0.08333333333333333	0.5833333333333333	1.0	0.13986013986013987	0.951048951048951
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	structure_vs_context_separation_score	0.42783316060032794	1000	0.40756079060921957	0.01419828637727797	0.37971450828937225	0.40784664160747586	0.43527478534061653	0.06793206793206794	0.9330669330669331
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	backbone_recovery_score	0.6433333333333333	1000	0.5380633333333332	0.07374587746669112	0.39	0.54	0.6766666666666666	0.07492507492507493	0.9340659340659341
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	shift_excess_identification_score	0.8333333333333333	1000	0.5463333333333332	0.2522403233749351	0.0	0.5833333333333333	1.0	0.1848151848151848	0.8771228771228772
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	structure_vs_context_separation_score	0.4485243810877402	1000	0.40031107398818977	0.014143803856737873	0.3709756297257174	0.4004120000865432	0.4266650071787842	0.000999000999000999	1.0
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	backbone_recovery_score	0.53	1000	0.5180766666666666	0.06925988054621159	0.3799166666666667	0.5216666666666667	0.6500833333333332	0.44755244755244755	0.5714285714285714
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	shift_excess_identification_score	0.9166666666666667	1000	0.42183333333333334	0.24918056116634438	0.0	0.4166666666666667	0.9166666666666667	0.03996003996003996	0.9920079920079921
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	structure_vs_context_separation_score	0.4458928896160027	1000	0.39023148418418246	0.014917014929943094	0.36132719932025076	0.3895963884965748	0.4189826847762222	0.000999000999000999	1.0
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	backbone_recovery_score	0.4933333333333333	1000	0.51122	0.06907704969343946	0.3766666666666667	0.51	0.6467499999999999	0.6193806193806194	0.3906093906093906
