model_id	context	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score
gears_hcc_formal_v1	HCC1143	0.7199999999999999	0.5	0.4310444660406881
gears_hcc_formal_v1	HCC38	0.6	0.1666666666666666	0.4257862954100095
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC1143	0.6599999999999999	0.5	0.4573678780996404
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC38	0.5933333333333334	0.5	0.4609447214541419
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC1143	0.6866666666666666	1.0	0.4358302896943701
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC38	0.5399999999999999	0.8333333333333334	0.4198360315062858
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC1143	0.7066666666666667	0.6666666666666666	0.4741281034924967
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC38	0.58	1.0	0.4229206586829836
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC1143	0.5266666666666667	0.8333333333333334	0.4626504812931767
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC38	0.5333333333333333	1.0	0.4291352979388287
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC1143	0.6	0.5	0.4467898346336644
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC38	0.3866666666666666	0.8333333333333334	0.4900535727623359
geneformer_hcc_formal_v1	HCC1143	0.5733333333333334	0.6666666666666666	0.379510297290034
geneformer_hcc_formal_v1	HCC38	0.4933333333333333	0.8333333333333334	0.4228204926686719
lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	0.7199999999999999	0.0	0.3315887752109247
lm_g_geneformer_ridge_hcc_formal_v1	HCC38	0.5333333333333333	0.3333333333333333	0.3197359883174445
lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	0.4333333333333333	0.3333333333333333	0.2651210611884321
lm_g_scgpt_ridge_hcc_formal_v1	HCC38	0.5	0.0	0.252801658315375
lm_train_lowrank_hcc_formal_v1	HCC1143	0.5133333333333333	0.5	0.2944174276316009
lm_train_lowrank_hcc_formal_v1	HCC38	0.5599999999999999	0.6666666666666666	0.2780542551669404
null_model	HCC1143	0.5	0.5	0.0
null_model	HCC38	0.5	0.5	0.0
scgpt_hcc_formal_v1	HCC1143	0.4666666666666667	0.1666666666666666	0.2811684804795292
scgpt_hcc_formal_v1	HCC38	0.4266666666666667	0.5	0.3084815260614605
shared_mean_baseline	HCC1143	0.84	0.1666666666666666	0.3482371639207613
shared_mean_baseline	HCC38	0.7733333333333333	0.5	0.356991953371764
