ensembl_gene_id	hgnc_symbol	in_k562_13d	in_k562_7d
ENSG00000000003	TSPAN6	True	True
ENSG00000000005	TNMD	True	True
ENSG00000000419	DPM1	True	True
ENSG00000000457	SCYL3	True	True
ENSG00000000460	C1orf112	True	True
ENSG00000000938	FGR	True	True
ENSG00000000971	CFH	True	True
ENSG00000001036	FUCA2	True	True
ENSG00000001084	GCLC	True	True
ENSG00000001167	NFYA	True	True
ENSG00000001460	STPG1	True	True
ENSG00000001461	NIPAL3	True	True
ENSG00000001497	LAS1L	True	True
ENSG00000001617	SEMA3F	True	True
ENSG00000001626	CFTR	False	True
ENSG00000001629	ANKIB1	True	True
ENSG00000001630	CYP51A1	True	True
ENSG00000001631	KRIT1	True	True
ENSG00000002016	RAD52	True	True
ENSG00000002330	BAD	True	True
ENSG00000002549	LAP3	True	True
ENSG00000002586	CD99	True	True
ENSG00000002587	HS3ST1	True	True
ENSG00000002726	AOC1	True	True
ENSG00000002745	WNT16	True	True
ENSG00000002746	HECW1	True	True
ENSG00000002822	MAD1L1	True	True
ENSG00000002834	LASP1	True	True
ENSG00000002919	SNX11	True	True
ENSG00000002933	TMEM176A	True	True
ENSG00000003056	M6PR	True	True
ENSG00000003096	KLHL13	True	True
ENSG00000003147	ICA1	True	True
ENSG00000003249	DBNDD1	True	True
ENSG00000003393	ALS2	True	True
ENSG00000003400	CASP10	True	True
ENSG00000003402	CFLAR	True	True
ENSG00000003436	TFPI	True	True
ENSG00000003509	NDUFAF7	True	True
ENSG00000003756	RBM5	True	True
ENSG00000003987	MTMR7	True	True
ENSG00000003989	SLC7A2	True	True
ENSG00000004059	ARF5	True	True
ENSG00000004139	SARM1	True	True
ENSG00000004142	POLDIP2	True	True
ENSG00000004399	PLXND1	True	True
ENSG00000004455	AK2	True	True
ENSG00000004468	CD38	True	True
ENSG00000004478	FKBP4	True	True
ENSG00000004487	KDM1A	True	True
ENSG00000004534	RBM6	True	True
ENSG00000004660	CAMKK1	True	True
ENSG00000004700	RECQL	True	True
ENSG00000004766	CCDC132	True	True
ENSG00000004776	HSPB6	True	True
ENSG00000004777	ARHGAP33	True	True
ENSG00000004779	NDUFAB1	True	True
ENSG00000004799	PDK4	True	True
ENSG00000004838	ZMYND10	True	True
ENSG00000004846	ABCB5	True	True
ENSG00000004848	ARX	True	True
ENSG00000004864	SLC25A13	True	True
ENSG00000004866	ST7	True	True
ENSG00000004897	CDC27	True	True
ENSG00000004939	SLC4A1	True	True
ENSG00000004948	CALCR	True	True
ENSG00000004961	HCCS	True	True
ENSG00000004975	DVL2	True	True
ENSG00000005001	PRSS22	True	True
ENSG00000005007	UPF1	True	True
ENSG00000005020	SKAP2	True	True
ENSG00000005022	SLC25A5	True	True
ENSG00000005059	CCDC109B	True	True
ENSG00000005075	POLR2J	True	True
ENSG00000005100	DHX33	True	True
ENSG00000005108	THSD7A	True	False
ENSG00000005156	LIG3	True	True
ENSG00000005175	RPAP3	True	True
ENSG00000005187	ACSM3	True	True
ENSG00000005189	AC004381.6	True	True
ENSG00000005194	CIAPIN1	True	True
ENSG00000005238	FAM214B	True	True
ENSG00000005243	COPZ2	True	True
ENSG00000005249	PRKAR2B	True	True
ENSG00000005302	MSL3	True	True
ENSG00000005339	CREBBP	True	True
ENSG00000005379	BZRAP1	True	True
ENSG00000005381	MPO	True	True
ENSG00000005436	GCFC2	True	True
ENSG00000005448	WDR54	True	True
ENSG00000005469	CROT	True	True
ENSG00000005471	ABCB4	True	False
ENSG00000005483	KMT2E	True	True
ENSG00000005486	RHBDD2	True	True
ENSG00000005513	SOX8	True	False
ENSG00000005700	IBTK	True	True
ENSG00000005801	ZNF195	True	True
ENSG00000005810	MYCBP2	True	True
ENSG00000005812	FBXL3	True	True
ENSG00000005844	ITGAL	True	True
ENSG00000005882	PDK2	True	True
ENSG00000005884	ITGA3	True	True
ENSG00000005889	ZFX	True	True
ENSG00000005893	LAMP2	True	True
ENSG00000005955	GGNBP2	True	True
ENSG00000005961	ITGA2B	True	True
ENSG00000005981	ASB4	False	True
ENSG00000006007	GDE1	True	True
ENSG00000006015	C19orf60	True	True
ENSG00000006016	CRLF1	True	True
ENSG00000006025	OSBPL7	True	True
ENSG00000006042	TMEM98	True	True
ENSG00000006047	YBX2	False	True
ENSG00000006071	ABCC8	False	True
ENSG00000006074	CCL18	True	False
ENSG00000006075	CCL3	True	True
ENSG00000006114	SYNRG	True	True
ENSG00000006116	CACNG3	True	False
ENSG00000006118	TMEM132A	True	True
ENSG00000006125	AP2B1	True	True
ENSG00000006128	TAC1	True	True
ENSG00000006194	ZNF263	True	True
ENSG00000006210	CX3CL1	True	True
ENSG00000006282	SPATA20	True	True
ENSG00000006283	CACNA1G	True	True
ENSG00000006327	TNFRSF12A	True	True
ENSG00000006377	DLX6	False	True
ENSG00000006432	MAP3K9	True	True
ENSG00000006451	RALA	True	True
ENSG00000006453	BAIAP2L1	True	True
ENSG00000006459	KDM7A	True	True
ENSG00000006468	ETV1	True	True
ENSG00000006530	AGK	True	True
ENSG00000006534	ALDH3B1	True	True
ENSG00000006555	TTC22	True	True
ENSG00000006576	PHTF2	True	True
ENSG00000006606	CCL26	True	True
ENSG00000006607	FARP2	True	True
ENSG00000006611	USH1C	True	False
ENSG00000006625	GGCT	True	True
ENSG00000006634	DBF4	True	True
ENSG00000006638	TBXA2R	True	True
ENSG00000006652	IFRD1	True	True
ENSG00000006659	LGALS14	True	False
ENSG00000006695	COX10	True	True
ENSG00000006704	GTF2IRD1	True	True
ENSG00000006712	PAF1	True	True
ENSG00000006715	VPS41	True	True
ENSG00000006740	ARHGAP44	True	True
ENSG00000006744	ELAC2	True	True
ENSG00000006747	SCIN	True	True
ENSG00000006756	ARSD	True	True
ENSG00000006757	PNPLA4	True	True
ENSG00000006788	MYH13	True	True
ENSG00000006831	ADIPOR2	True	True
ENSG00000006837	CDKL3	True	True
ENSG00000007038	PRSS21	True	True
ENSG00000007047	MARK4	True	True
ENSG00000007080	CCDC124	True	True
ENSG00000007129	CEACAM21	True	True
ENSG00000007168	PAFAH1B1	True	True
