model_id	object_role	cell_line	endpoint_recovery_score	output_homogenization_score	output_homogenization_quadrant	predicted_target_similarity_mean	leading_singular_energy_share	normalized_inverse_effective_rank
cellot_hcc_formal_v1	entrant	HCC1143	0.910950277252536	0.6371531280433943	low_recovery/low_common	0.3089680808051099	0.3710272040613464	0.8859481396662818
cellot_hcc_formal_v1	entrant	HCC38	1.2840248922887354	0.6970613531768522	high_recovery/low_common	0.3270921291540744	0.5147364477758587	0.912901547177661
cpa_v0.8.8	candidate	HCC1143	0.2084398149440855	0.9664858385083694	low_recovery/high_common	0.938743860910642	0.9360535281954157	0.9940320568743726
cpa_v0.8.8	candidate	HCC38	2.0365472884589164	0.9970230087167944	high_recovery/high_common	0.9943975900943732	0.9946940301777658	0.9991762009254318
gears_hcc_formal_v1	entrant	HCC1143	1.2146333336588262	0.7028162659327473	low_recovery/low_common	0.4724202434574844	0.4633218220875185	0.9089168539819809
gears_hcc_formal_v1	entrant	HCC38	2.5148089099784703	0.7611519840271386	high_recovery/low_common	0.5460301042813954	0.5911442343083585	0.9192966656323605
geneformer_hcc_formal_v1	entrant	HCC1143	-0.6676807621388461	0.7365979459227929	low_recovery/low_common	0.477756564362139	0.5612693666614963	0.9096461889258124
geneformer_hcc_formal_v1	entrant	HCC38	0.8334044589629348	0.7127256954564528	low_recovery/low_common	0.5146872998631231	0.4958729301463226	0.8849605062914734
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	0.1145474694930057	0.5359799213699922	low_recovery/low_common	0.0367955238109856	0.270315989435718	0.8192260127687655
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	0.8937700130476851	0.5952411338998299	low_recovery/low_common	0.0240288470057757	0.4315427665344917	0.8421662116621106
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	0.3014930014203044	0.5223205724307328	low_recovery/low_common	0.0272587066867515	0.2586204237792127	0.7947119401696103
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	-0.4068367327050943	0.5167671931989619	low_recovery/low_common	0.0072176059978728	0.2601626665350631	0.7865301100628858
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	1.1051155768887224	0.5154694246154573	low_recovery/low_common	0.0325874415324252	0.2308505741893365	0.7992639788908227
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	0.0076974122269368	0.5128922314417601	low_recovery/low_common	0.0175076917214645	0.2401695752391728	0.7897532732253745
null_model		HCC1143			not_estimable			
null_model		HCC38			not_estimable			
scgen_hcc_formal_v1	entrant	HCC1143	3.002532171079509	0.8303271966859089	high_recovery/high_common	0.7789692471597667	0.6724040385366731	0.9290929279411712
scgen_hcc_formal_v1	entrant	HCC38	3.06877157975614	0.8434841927323642	high_recovery/high_common	0.7937453571091759	0.6996044653052507	0.9339754343372548
scgpt_hcc_formal_v1	entrant	HCC1143	1.3067722996389457	0.6862404057760579	high_recovery/low_common	0.2535636536365697	0.5347064052009594	0.8972329853089304
scgpt_hcc_formal_v1	entrant	HCC38	1.3725971908137384	0.6100505792384392	high_recovery/low_common	0.2021883619648669	0.3873448601279407	0.8417126966049429
shared_mean_baseline	baseline	HCC1143	-0.0700717855548023	1.0	low_recovery/high_common	1.0	1.0	1.0
shared_mean_baseline	baseline	HCC38	1.9270462501207504	1.0	high_recovery/high_common	1.0000000000000002	1.0	1.0
