model_id	object_role	cell_line	target_gene	predicted_shift_mean_abs	predicted_shift_l2	predicted_topk_abs_shift	predicted_shift_response_aligned_signed	predicted_shift_response_aligned_magnitude	predicted_observed_shift_cosine	predicted_target_similarity_mean	leading_singular_energy_share	normalized_inverse_effective_rank	output_homogenization_score	expected_axis	predicted_shift_axis_aligned_magnitude	axis_total_magnitude	top_axis	top_axis_magnitude	axis_entropy	top_axis_share	common_axis_dominance_score	observed_shift_mean_abs	observed_shift_l2	depmap_gene_effect	dependency_strength	model_pipeline_endpoint_category	depmap_gene_dependency	residual	quadrant	frozen_endpoint_category	frozen_endpoint_category_label	endpoint_category	endpoint_category_source	dependency_strength_percentile	predicted_shift_mean_abs_percentile	metric_status	visualization_percentile_scope	rank_endpoint_alignment_note
cellot_hcc_formal_v1	entrant	HCC38	ARID1A	4.454858226344941	38.02051144604784	9.56398344039917	8.418780457597244	8.418780457597244	0.2214273332315302	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	chromatin remodeling	4.371618032455444	132.9938250001934	JAK-STAT signaling	10.18336582183838	0.9288068888199942	0.0765702153601761	0.0765702153601761	0.0085365617536346	4.5521106820450274	-0.1959555409927433	0.1959555409927433	shift_excess	0.0939245801107399	0.0024842926660479	middle	middle	Middle band	middle	Fig. 2 frozen observed-shift x DepMap joint_grid	63.829787234042556	91.48936170212765	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	BMPR1A	0.8173562193170507	7.279796440711649	1.9235845923423769	-1.8124602125244105	1.8124602125244105	-0.248971276502785	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	TGF-beta / BMP signaling	1.1161639988422394	23.103259967433083	growth factor / proliferation	2.660298585891724	0.9219271579354998	0.1151481907593017	0.1151481907593017	0.0056197913890013	2.4112086854129164	-0.3519701364399601	0.3519701364399601	dependency_excess	0.2329854350238944	-0.0008580873192481	middle	middle	Middle band	middle	Fig. 2 frozen observed-shift x DepMap joint_grid	72.3404255319149	59.57446808510638	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	CDKN2A	0.5807392264300204	5.327596972598208	1.3325968503952026	1.3405572022885193	1.3405572022885193	0.2516251152599376	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	cell cycle / replication	1.566022515296936	16.44218041996161	signaling / oncogene	2.868919134140014	0.8726610583516613	0.1744853213419922	0.1744853213419922	0.0040551040534158	1.6153802596872924	0.2816188048418129	-0.2816188048418129	low_information	0.0034117871973033	-0.0006943366956666	low_shift_high_depmap	Q4_low_information	Low-information	Q4_low_information	Fig. 2 frozen observed-shift x DepMap joint_grid	4.25531914893617	23.404255319148938	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	COMMD6	1.024846433325017	8.457194355615318	2.074072229862213	0.6819434333686416	0.6819434333686416	0.0806347122572454	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	NF-κB / copper signaling	0.7936638593673706	27.46417233016756	proteostasis / chaperone	3.018684148788452	0.92110885722541	0.1099135307082467	0.1099135307082467	0.0042202270388882	1.715292039582324	0.1473822164133259	-0.1473822164133259	low_information	0.0087958879569685	-0.0008954126758508	low_shift_high_depmap	Q4_low_information	Low-information	Q4_low_information	Fig. 2 frozen observed-shift x DepMap joint_grid	14.893617021276595	70.2127659574468	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	ENY2	0.9321232098848262	7.56330895518758	1.8213379621505736	1.1481474585600655	1.1481474585600655	0.1518049130827275	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	transcription / chromatin	1.1612138152122498	22.72786337716712	cytoskeleton / cell motility	1.9284820556640625	0.9573577969460484	0.0848510052907769	0.0848510052907769	0.0103397858020701	4.544919712264169	-0.5509808712071267	0.5509808712071267	endpoint_anchor	0.4895161201697765	0.0033190035078499	high_shift_low_depmap	Q1_anchor	Endpoint anchors	Q1_anchor	Fig. 2 frozen observed-shift x DepMap joint_grid	82.97872340425532	65.95744680851064	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	ERC1	0.679724947886264	5.893562841571536	1.450738686323166	-1.1987273986166915	1.1987273986166915	-0.2033960493576492	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	synaptic / signaling	0.5101139545440674	17.787313089602524	cytoskeleton / cell motility	3.0255026817321777	0.9055444163303076	0.1700932943886122	0.1700932943886122	0.00417172244801	1.7068626495623005	0.2188525570329813	-0.2188525570329813	low_information	0.0054295617631019	-0.000748945350976	low_shift_high_depmap	Q4_low_information	Low-information	Q4_low_information	Fig. 2 frozen observed-shift x DepMap joint_grid	8.51063829787234	38.297872340425535	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	ETV3	16.723345939149247	114.96505973747914	18.300832557678223	22.40190712741127	22.40190712741127	0.194858395921036	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	transcription regulation	17.142950269911026	425.4329054090712	NF-κB / copper signaling	18.722307205200195	0.9991353758727568	0.0440076612954936	0.0440076612954936	0.0051298888376656	2.131250251028423	-0.1735948251121793	0.1735948251121793	middle	0.0807914252803547	-0.0008613799584009	middle	middle	Middle band	middle	Fig. 2 frozen observed-shift x DepMap joint_grid	55.319148936170215	100.0	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	GON4L	1.036589930349208	8.571115411844161	2.102706694602966	-0.8920663682188639	0.8920663682188639	-0.1040782121526615	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	transcription regulation	0.924351069662306	28.062784362170436	JAK-STAT signaling	3.28181791305542	0.9433095425963252	0.1169455557474695	0.1169455557474695	0.0060144581054616	2.438389539750892	-0.4178073081616394	0.4178073081616394	dependency_excess	0.3129469325001975	-0.0006430251686404	middle	middle	Middle band	middle	Fig. 2 frozen observed-shift x DepMap joint_grid	78.72340425531915	72.3404255319149	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	HDGF	0.6665059606287074	5.7094195310731966	1.3747315168380738	0.3164926033903408	0.3164926033903408	0.0554334116923529	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	growth factor / proliferation	0.5131579041481018	17.292428957505358	cytoskeleton / cell motility	2.221137523651123	0.9028220627208404	0.1284456642331378	0.1284456642331378	0.0053940020400889	2.310398267970584	-0.0275129839181656	0.0275129839181656	middle	0.0286996254177853	-0.0001987538037882	middle	middle	Middle band	middle	Fig. 2 frozen observed-shift x DepMap joint_grid	40.42553191489361	36.17021276595745	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
cellot_hcc_formal_v1	entrant	HCC38	HLX	0.809666912606422	7.03306429869312	1.7961364269256592	1.2721278212879503	1.2721278212879503	0.1808781730495961	0.3270921291540744	0.5147364477758585	0.912901547177661	0.6970613531768522	transcription regulation	0.8100267284446292	21.507774942451054	RNA processing / transcription	2.64746618270874	0.9085531406166631	0.123093448289869	0.123093448289869	0.0052991294769277	2.2837459862813443	0.1969791502719058	-0.1969791502719058	middle	0.006315463793662	0.000318790771335	middle	middle	Middle band	middle	Fig. 2 frozen observed-shift x DepMap joint_grid	10.638297872340425	55.319148936170215	estimated	within model x cell line	Raw predicted scores retained; percentiles used for cross-model visualization.
