target_gene	candidate_type	combined_residual_label	combined_depmap_label	both_lines_shift_excess	functional_category	functional_description	residual_HCC38	residual_HCC1143	shift_HCC38	shift_HCC1143	effect_HCC38	effect_HCC1143	dep_HCC38	dep_HCC1143	residual_label_HCC38	residual_label_HCC1143	depmap_label_HCC38	depmap_label_HCC1143
PRPF6	A: shift_excess_and_low_viability	top_residual_in_both	weak_viability_liability	True	RNA processing / spliceosome	Spliceosome / U4-U6-U5 tri-snRNP complex	0.0046678160507967	0.0024286466081761	0.0144798741040019	0.0154111896961658	-1.5741714599009082	-1.862027728723321	0.9972796156547944	1.0	shift_excess_top_residual	shift_excess	weak_viability_liability	weak_viability_liability
LAMTOR5	B: shift_excess_but_still_essential	top_residual_in_both	intermediate_viability_liability	True	mTOR / lysosome / signaling	mTOR signaling / lysosome scaffold	0.004612910275546	0.0030702403622925	0.0106435490794122	0.0093777769035242	-0.1880265849724247	-0.2080048465520216	0.0890975409858624	0.1226400958971878	shift_excess_top_residual	shift_excess_top_residual	intermediate_viability_liability	intermediate_viability_liability
TADA3	A: shift_excess_and_low_viability	top_residual_in_both	intermediate_viability_liability	True	transcription / chromatin	Transcription regulation / SAGA complex subunit	0.003465369534057	0.0036171542109612	0.0091400872937874	0.0103750807743799	-0.0575575471120086	-0.3196085427253	0.035551946395066	0.2498577956515995	shift_excess_top_residual	shift_excess_top_residual	intermediate_viability_liability	weak_viability_liability
ENY2	A: shift_excess_and_low_viability	top_residual_in_both	weak_viability_liability	True	transcription / chromatin	Transcription co-activator / SAGA complex	0.0033190035078499	0.0040940009097656	0.0103397858020701	0.0105137437444661	-0.5509808712071267	-0.2358088308059663	0.4895161201697765	0.148881151602389	shift_excess_top_residual	shift_excess_top_residual	weak_viability_liability	weak_viability_liability
NPM1	A: shift_excess_and_low_viability	top_residual_in_both	weak_viability_liability	True	ribosome biogenesis / nucleolar	Ribosome biogenesis / nucleolar stress sensor	0.0032673016787406	0.0010094406338762	0.0113723052385142	0.0074812035133293	-0.9484209992220038	-0.2486990570176843	0.8555302996262993	0.1622748801750765	shift_excess_top_residual	shift_excess	weak_viability_liability	weak_viability_liability
ARID1A	A: shift_excess_and_low_viability	top_residual_in_both	intermediate_viability_liability	True	chromatin remodeling	Chromatin remodeling / SWI-SNF complex	0.0024842926660479	0.0005303062767008	0.0085365617536346	0.0073327186787757	-0.1959555409927433	-0.330631842036614	0.0939245801107399	0.2654515287532237	shift_excess	shift_excess	intermediate_viability_liability	weak_viability_liability
ZNF131	A: shift_excess_and_low_viability	top_residual_in_both	weak_viability_liability	True	transcription regulation	Transcription factor / zinc finger	0.0024362738208512	0.0007206062048738	0.0098454685363047	0.0105522037854389	-0.6933601874242165	-1.08124407956173	0.6622862073859538	0.9463812533969612	shift_excess	shift_excess	weak_viability_liability	weak_viability_liability
MYBL1	B: shift_excess_but_still_essential	top_residual_in_both	strong_viability_liability	True	transcription regulation	Transcription factor / cell cycle	0.0018164771977387	0.0029529652566927	0.0071407239504648	0.0084130142568229	0.0709136850199211	0.0019970126997557	0.0145675964421822	0.0210310036855235	shift_excess	shift_excess	strong_viability_liability	strong_viability_liability
VEZF1	B: shift_excess_but_still_essential	top_residual_in_both	intermediate_viability_liability	True			0.0014426707127253	0.0004490057753968	0.0073740581188237	0.0060274132373266	-0.151644262020672	-0.0273314385525012	0.0694464693745538	0.0275909199432945	shift_excess	shift_excess	intermediate_viability_liability	intermediate_viability_liability
ZBTB17	A: shift_excess_and_low_viability	top_residual_in_both	weak_viability_liability	True	transcription regulation	Transcription factor / MYC interactor	0.0013977461767984	0.0025484506840411	0.0079465191255336	0.010587215682323	-0.3779576510823618	-0.636991913780868	0.2634223656448051	0.7578619386258375	shift_excess	shift_excess	weak_viability_liability	weak_viability_liability
PFDN5	C: line_specific_shift_excess	top_residual_in_one	weak_viability_liability	False			0.0011803139937399	-0.0002013030526004	0.0091179791241103	0.0102329499993855	-0.8870801927678431	-1.230578156287104	0.8201974002162512	0.9694975960688984	shift_excess	shift_deficient	weak_viability_liability	weak_viability_liability
PA2G4	C: line_specific_shift_excess	top_residual_in_one	intermediate_viability_liability	False			0.0003802684922252	-0.0001858844590862	0.0071702138866234	0.0059315461556859	-0.4663635980262615	-0.1608978437052549	0.3764696904296344	0.0861889371200693	shift_excess	shift_deficient	weak_viability_liability	intermediate_viability_liability
HLX	C: line_specific_shift_excess	top_residual_in_one	strong_viability_liability	False			0.000318790771335	-0.0004894771149374	0.0052991294769277	0.0050212083343797	0.1969791502719058	-0.0105503675972533	0.006315463793662	0.0236239287972883	shift_excess	shift_deficient	strong_viability_liability	intermediate_viability_liability
TMF1	C: line_specific_shift_excess	top_residual_in_one	intermediate_viability_liability	False			0.0003103866486258	-0.0004859054124556	0.00630257681098	0.0058951763799742	-0.1739325679207107	-0.2262288778701592	0.0809743969956026	0.1394316818255967	shift_excess	shift_deficient	intermediate_viability_liability	intermediate_viability_liability
ZBTB20	C: line_specific_shift_excess	top_residual_in_one	strong_viability_liability	False			0.0002531985170202	-0.0006628572937179	0.0048062658192207	0.0043814448697306	0.3536029010287363	0.1050163545153338	0.0018330352467763	0.0078803596044426	shift_excess	shift_deficient	strong_viability_liability	strong_viability_liability
THRA	D: depmap_excess	shift_deficient	intermediate_viability_liability	False			-1.5302507314757935e-05	-0.000469821160215	0.0058419151883759	0.0053431820384494	-0.1244560670130739	-0.0854627248517602	0.0573416619307745	0.0463338341696651	shift_deficient	shift_deficient	intermediate_viability_liability	intermediate_viability_liability
MIER1	C: line_specific_shift_excess	top_residual_in_one	strong_viability_liability	False			-2.054335060692764e-05	0.0006147893143467	0.0049938655360828	0.0057833931966825	0.1844901338995709	0.0742152031018489	0.0068709338808792	0.0105919574277721	shift_deficient	shift_excess	strong_viability_liability	strong_viability_liability
