target	expression_control	expression_perturbed
AAAS	0.2155808955430984	0.024300655350089
AAMP	0.501615583896637	0.1494996398687362
AARS	0.3078929781913757	0.030358463525772
AARS2	0.1050794497132301	0.005403162445873
AASDHPPT	0.5458394289016724	0.1260034143924713
AATF	0.6521533131599426	0.0945492982864379
ABCB10	0.2797841429710388	0.2175342291593551
ABCB7	0.1987483650445938	0.0139669338241219
ABCE1	1.0473852157592771	0.2744831442832947
ABCF1	1.0372673273086548	0.5723915696144104
ABHD11	0.0674724131822586	0.0
ABHD17A	0.6219686269760132	0.226974070072174
ABT1	0.5743061304092407	0.1002317443490028
ACD	0.1038451865315437	0.0201502218842506
ACIN1	0.8032127618789673	0.5556499361991882
ACTB	3.0752382278442383	2.156658172607422
ACTL6A	0.6052507758140564	0.1331492811441421
ACTR10	0.1928878128528595	0.0165567770600318
ACTR1A	0.184905931353569	0.1211828887462616
ACTR1B	0.0955092385411262	0.0151853002607822
ACTR2	1.0107991695404053	0.1173290535807609
ACTR3	0.9907023310661316	0.3976669609546661
ACTR6	0.2429625540971756	0.0179139953106641
ACTR8	0.1510650962591171	0.0199607536196708
ADAT2	0.1462726891040802	0.0035762162879109
ADRM1	0.9495953917503356	0.355932354927063
ADSL	0.7064281702041626	0.1502188891172409
AHCTF1	0.8086520433425903	0.3396329879760742
AHCY	0.7648491859436035	0.0634815096855163
AIFM1	0.5421933531761169	0.1077299043536186
AKIRIN2	0.3607099652290344	0.0916581377387046
ALDOA	0.1260712444782257	0.0054361745715141
ALG1	0.1079129427671432	0.0154392421245574
ALG11	0.1145839542150497	0.0334094315767288
ALG13	0.2421253472566604	0.011403183452785
ALG14	0.1004330590367317	0.0180308353155851
ALG2	0.1472036987543106	0.0442663952708244
ALYREF	1.1565366983413696	0.7701089382171631
ANAPC1	0.3360081017017364	0.1084026023745536
ANAPC10	0.2662070691585541	0.0
ANAPC11	0.991394340991974	0.2488104403018951
ANAPC13	0.4074254333972931	0.038308709859848
ANAPC15	0.4935914576053619	0.4080162346363067
ANAPC4	0.1828723698854446	0.0367724932730197
ANAPC5	0.9478508830070496	0.1462233513593673
ANKLE2	0.4388961493968963	0.0695242658257484
ANKRD11	0.7601324915885925	0.2077763825654983
ANKRD49	0.1252692192792892	0.0216902233660221
ANKS6	0.2166772335767746	0.0346471928060054
ANLN	0.2656086087226867	0.0171706415712833
AP2M1	1.0647532939910889	0.7036111950874329
AP2S1	1.1699362993240356	0.2637084722518921
AQR	0.2543103098869324	0.0475498288869857
ARCN1	0.5301121473312378	0.2415460348129272
ARF4	0.7396951913833618	0.2030883133411407
