cell_line	truth_metric	depmap_endpoint	n_high	n_low	high_group_median_raw	low_group_median_raw	high_minus_low_raw	aligned_effect_direction	mannwhitney_u	pvalue	alignment_note
HCC38	real_shift_L2	depmap_gene_effect	16	16	-0.6221705293156716	0.08292074769590295	-0.7050912770115746	0.7050912770115746	19.0	4.327746795458854e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_L2	depmap_gene_dependency	16	16	0.5759011637778652	0.01347665438113075	0.5624245093967344	0.5624245093967344	237.0	4.320759942596445e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_mean_abs	depmap_gene_effect	16	16	-0.6221705293156716	0.08292074769590295	-0.7050912770115746	0.7050912770115746	19.0	4.327746795458854e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_mean_abs	depmap_gene_dependency	16	16	0.5759011637778652	0.01347665438113075	0.5624245093967344	0.5624245093967344	237.0	4.320759942596445e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top20_mean	depmap_gene_effect	16	16	-0.5086722346166941	0.04787991420425955	-0.5565521488209536	0.5565521488209536	23.0	8.199534855042336e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top20_mean	depmap_gene_dependency	16	16	0.43299290529970547	0.01727533484748155	0.4157175704522239	0.4157175704522239	233.0	8.18720977511362e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top50_mean	depmap_gene_effect	16	16	-0.5086722346166941	0.04787991420425955	-0.5565521488209536	0.5565521488209536	25.0	0.00011195068382782738	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top50_mean	depmap_gene_dependency	16	16	0.43299290529970547	0.01727533484748155	0.4157175704522239	0.4157175704522239	231.0	0.00011178846307810437	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top100_mean	depmap_gene_effect	16	16	-0.6221705293156716	0.08292074769590295	-0.7050912770115746	0.7050912770115746	19.0	4.327746795458854e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top100_mean	depmap_gene_dependency	16	16	0.5759011637778652	0.01347665438113075	0.5624245093967344	0.5624245093967344	237.0	4.320759942596445e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top50_concentration	depmap_gene_effect	16	16	-0.191991062982584	0.001603987500498701	-0.1935950504830827	0.1935950504830827	102.0	0.33651827439216053	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_shift_top50_concentration	depmap_gene_dependency	16	16	0.09151106054830115	0.0236653633073498	0.06784569724095135	0.06784569724095135	154.0	0.33647398877476375	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_Edistance	depmap_gene_effect	16	16	-0.5086722346166941	0.08292074769590295	-0.591592982312597	0.591592982312597	19.0	4.327746795458854e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_Edistance	depmap_gene_dependency	16	16	0.43299290529970547	0.01347665438113075	0.4195162509185747	0.4195162509185747	237.0	4.320759942596445e-05	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_DEG_burden	depmap_gene_effect	29	18	-0.1959555409927433	0.08292074769590295	-0.2788762886886462	0.2788762886886462	113.0	0.0012468084875855952	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
HCC38	real_DEG_burden	depmap_gene_dependency	29	18	0.0939245801107399	0.01347665438113075	0.08044792572960915	0.08044792572960915	409.0	0.0012464018156782316	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
