cell_line,context_role,entrant_id,entrant_kind,reference_type,reference_seed,full_endpoint_n_targets,contract_n_targets,endpoint_coverage_fraction,missing_endpoint_targets,contract_n_genes,endpoint_alignment_spearman,endpoint_alignment_ci_low,endpoint_alignment_ci_high,endpoint_alignment_status,endpoint_alignment_n,directional_recovery_median_signed_cosine,directional_recovery_ci_low,directional_recovery_ci_high,directional_recovery_n,anchor_separation_auc,anchor_separation_ci_low,anchor_separation_ci_high,anchor_n,low_information_n,target_identity_spearman,target_identity_label_permutation_pvalue,target_identity_status,target_identity_n_targets,target_identity_n_pairs,predicted_homogenization_uncentered,observed_homogenization_uncentered,excess_homogenization_uncentered,predicted_homogenization_uncentered_n,observed_homogenization_uncentered_n,predicted_homogenization_centered,observed_homogenization_centered,excess_homogenization_centered,predicted_homogenization_centered_n,observed_homogenization_centered_n,conventional_pearson_median,conventional_pearson_ci_low,conventional_pearson_ci_high,conventional_pearson_n,conventional_normalized_rmse_median,conventional_normalized_rmse_ci_low,conventional_normalized_rmse_ci_high,conventional_normalized_rmse_n,secondary_absolute_projection_median,secondary_absolute_projection_ci_low,secondary_absolute_projection_ci_high,secondary_absolute_projection_n,entrant_role,display_name,model_family,endpoint_alignment_label_permutation_pvalue,endpoint_alignment_permutation_qvalue_bh,target_identity_permutation_qvalue_bh,scored_target_held_out,training_seed,predicted_homogenization_uncentered_ci_low,predicted_homogenization_uncentered_ci_high,predicted_homogenization_uncentered_jackknife_status,observed_homogenization_uncentered_ci_low,observed_homogenization_uncentered_ci_high,observed_homogenization_uncentered_jackknife_status,excess_homogenization_uncentered_ci_low,excess_homogenization_uncentered_ci_high,excess_homogenization_uncentered_jackknife_status,predicted_homogenization_centered_ci_low,predicted_homogenization_centered_ci_high,predicted_homogenization_centered_jackknife_status,observed_homogenization_centered_ci_low,observed_homogenization_centered_ci_high,observed_homogenization_centered_jackknife_status,excess_homogenization_centered_ci_low,excess_homogenization_centered_ci_high,excess_homogenization_centered_jackknife_status,inference_family
HCC1143,qualified_primary_context,cellot_hcc_seed123_retrain_v1,formal,NA,NA,48,47,0.9791666666666666,SS18L2,47,0.488030534083456,0.189054248604445,0.7175288779178958,estimated,47,0.1384657840067752,0.0926960643875057,0.1833934772633985,47,0.8125,0.5416666666666666,1.0,8,6,-0.0028502833440583,0.5141485851414859,estimated,47,1081,0.5665588833822041,0.0605282495699902,0.5060306338122138,47,47,-0.0060251124092239,0.0361300359567065,-0.0421551483659305,47,47,0.1188964974818149,0.0616947084581097,0.1902505109449024,47,15.79724637743221,11.771028820685862,19.641488240465367,47,0.6987158795060492,0.5488274828867802,0.8870048163725458,47,formal,CellOT,CellOT,0.0006999300069993,0.0031496850314968,0.7976202379762024,False,123,0.5330500390694182,0.60006772769499,target_delete_one_jackknife,0.0213316117246775,0.0997248874153028,target_delete_one_jackknife,0.4539217319817397,0.5581395356426879,target_delete_one_jackknife,-0.0308882962478801,0.0188380714294321,target_delete_one_jackknife,0.000622963322723,0.0716371085906899,target_delete_one_jackknife,-0.0893939128501516,0.0050836161182905,target_delete_one_jackknife,A010_eighteen_formal_HCC_outputs
HCC1143,qualified_primary_context,cellot_hcc_seed124_sensitivity_v1,training_seed_sensitivity,NA,NA,48,47,0.9791666666666666,SS18L2,47,-0.4038394846017603,-0.64835702831777,-0.1136712766818906,estimated,47,0.0620335554912878,-0.0050853162588094,0.1134983192371265,47,0.3958333333333333,0.0833333333333333,0.7708333333333334,8,6,-0.0638783111033594,0.9558044195580442,estimated,47,1081,0.1953815876201759,0.0605282495699902,0.1348533380501856,47,47,0.0143804937019241,0.0361300359567065,-0.0217495422547824,47,47,0.0395488170579671,-0.0135552064527116,0.0898185906260586,47,54.95664749339621,31.888038376517947,78.61348631938222,47,1.791752880917891,1.295602589814899,2.223668992524009,47,training_seed_sensitivity,CellOT,CellOT,0.0047995200479952,0.0191980801919808,0.9558044195580442,False,124,0.1571155731380868,0.2336476021022649,NA,0.0213316117246775,0.0997248874153028,NA,0.0756044340929348,0.1941022420074365,NA,-0.0082024800931128,0.036963467496961,NA,0.000622963322723,0.0716371085906899,NA,-0.0622270679296981,0.0187279834201333,NA,A012_eight_additional_seed_context_outputs
HCC1143,qualified_primary_context,cellot_hcc_seed125_sensitivity_v1,training_seed_sensitivity,NA,NA,48,47,0.9791666666666666,SS18L2,47,-0.2145252703139362,-0.4929356073110949,0.0801729562145553,estimated,47,0.0757561491498286,0.031202118069926,0.1786155136509826,47,0.6041666666666666,0.25,0.9583333333333334,8,6,0.0001181653113611,0.4854514548545146,estimated,47,1081,0.2538422200391049,0.0605282495699902,0.1933139704691147,47,47,0.0275329111569407,0.0361300359567065,-0.0085971247997657,47,47,0.0584976088718837,-0.0172471381319495,0.1184191338703074,47,26.64220216754839,19.80396699035996,41.013469575651456,47,1.1444433031601813,0.8870857610305808,1.749504419302333,47,training_seed_sensitivity,CellOT,CellOT,0.1468853114688531,0.2937706229377062,0.9328210036139243,False,125,0.2089647358212485,0.2987197042569613,NA,0.0213316117246775,0.0997248874153028,NA,0.1369447041212512,0.2496832368169782,NA,-0.0160287632741262,0.0710945855880077,NA,0.000622963322723,0.0716371085906899,NA,-0.0629979742832203,0.0458037246836888,NA,A012_eight_additional_seed_context_outputs
HCC1143,qualified_primary_context,cellot_hcc_seed126_sensitivity_v1,training_seed_sensitivity,,NA,48,47,0.9791666666666666,SS18L2,47,-0.033884584475462706,-0.3044693218351682,0.2569776302581073,estimated,47,0.053931215993002386,-0.023502702887048605,0.15703113628359808,47,0.5833333333333334,0.20833333333333334,0.9375,8,6,-0.03092508457953611,0.7474252574742526,estimated,47,1081,0.32813904560524915,0.060528249569990214,0.26761079603525895,47,47,0.019456944195141324,0.03613003595670653,-0.016673091761565208,47,47,0.044834410873845106,-0.030287425146892675,0.0760311814033158,47,25.097624194252578,19.51858498653354,34.68710092559065,47,1.1011258922111882,0.7700897393535987,1.513924128798394,47,training_seed_sensitivity,CellOT,CellOT,0.8165183481651834,0.8165183481651834,0.9328210036139243,False,126,0.27514510146386406,0.38113298974663423,NA,0.021331611724677534,0.09972488741530289,NA,0.19838559043081805,0.33683600163969984,NA,-0.002889724552414003,0.04180361294269665,NA,0.0006229633227230885,0.07163710859068997,NA,-0.0568370453084278,0.023490861785297384,NA,A012_eight_additional_seed_context_outputs
HCC1143,qualified_primary_context,cellot_hcc_seed127_sensitivity_v1,training_seed_sensitivity,,NA,48,47,0.9791666666666666,SS18L2,47,-0.31479125918842826,-0.5607267200467959,-0.03474853353013592,estimated,47,0.038461802476775275,-0.02621563886370234,0.09972670335835097,47,0.20833333333333334,0.0,0.5213541666666591,8,6,-0.028775167482395846,0.7496250374962504,estimated,47,1081,0.21604017238920334,0.060528249569990214,0.1555119228192131,47,47,0.05739532668061879,0.03613003595670653,0.021265290723912256,47,47,-0.012641183838728122,-0.044505732418009876,0.0638931847378286,47,63.443705697910225,47.0387973863699,119.26431825056291,47,2.44695855963418,1.405635666955344,3.8606811314129597,47,training_seed_sensitivity,CellOT,CellOT,0.0287971202879712,0.07679232076792321,0.9328210036139243,False,127,0.1690657263737146,0.2630146184046921,NA,0.021331611724677534,0.09972488741530289,NA,0.09598554218150944,0.21503830345691677,NA,0.02092458943050777,0.0938660639307298,NA,0.0006229633227230885,0.07163710859068997,NA,-0.028589920966075058,0.07112050241389957,NA,A012_eight_additional_seed_context_outputs
HCC38,sensitivity_boundary_context,cellot_hcc_seed123_retrain_v1,formal,NA,NA,47,47,1.0,NA,47,0.6681506753102793,0.4354400301888028,0.8267948813291516,estimated,47,0.1717857903548792,0.0753362957717988,0.233104720426804,47,1.0,1.0,1.0,7,6,-0.0337178289501308,0.7592240775922408,estimated,47,1081,0.6367425889152823,0.0573125562535605,0.5794300326617218,47,47,-0.0155743237162015,0.0221499268077361,-0.0377242505239376,47,47,0.1679523654017835,0.0980398778444498,0.2221761087836062,47,19.22681561411964,14.02709915064448,25.34216617549296,47,0.9973724529385922,0.6786818794678516,1.0953880041202018,47,formal,CellOT,CellOT,9.999000099990002e-05,0.0008999100089991,0.7976202379762024,False,123,0.6048600526156304,0.6686251252149343,target_delete_one_jackknife,0.0255548804635405,0.0890702320435805,target_delete_one_jackknife,0.5320417679922956,0.6268182973311479,target_delete_one_jackknife,-0.0240498547597107,-0.0070987926726923,target_delete_one_jackknife,-0.0060058151622282,0.0503056687777005,target_delete_one_jackknife,-0.068786584180039,-0.0066619168678363,target_delete_one_jackknife,A010_eighteen_formal_HCC_outputs
HCC38,sensitivity_boundary_context,cellot_hcc_seed124_sensitivity_v1,training_seed_sensitivity,NA,NA,47,47,1.0,NA,47,-0.1407302478111128,-0.3899559794015473,0.1580229709644212,estimated,47,0.076920430089718,0.0052398612022439,0.1365336170961302,47,0.3571428571428571,0.0476190476190476,0.6904761904761905,7,6,0.0632372507523194,0.0972902709729027,estimated,47,1081,0.2981522344414353,0.0573125562535605,0.2408396781878747,47,47,0.0774813091870066,0.0221499268077361,0.0553313823792705,47,47,0.0342219165459251,-0.0117281462642485,0.1430610125046919,47,63.88051716853366,52.92228748228865,78.66808821990092,47,2.140754355874451,1.3566258102433797,3.0463392654570742,47,training_seed_sensitivity,CellOT,CellOT,0.3426657334266573,0.5482651734826517,0.3891610838916108,False,124,0.2345690449783267,0.361735423904544,NA,0.0255548804635405,0.0890702320435805,NA,0.1765973466391283,0.3050820097366212,NA,0.0244124283880536,0.1305501899859597,NA,-0.0060058151622282,0.0503056687777005,NA,-0.0078105239027933,0.1184732886613344,NA,A012_eight_additional_seed_context_outputs
HCC38,sensitivity_boundary_context,cellot_hcc_seed125_sensitivity_v1,training_seed_sensitivity,NA,NA,47,47,1.0,NA,47,-0.1055765951121988,-0.4213030027082387,0.2409149276354762,estimated,47,0.1002880562037385,0.0009885487741917,0.1706064639638411,47,0.4047619047619047,0.119047619047619,0.7380952380952381,7,6,0.0640920802167576,0.0671932806719328,estimated,47,1081,0.2752955827829128,0.0573125562535605,0.2179830265293522,47,47,0.0275496247470748,0.0221499268077361,0.0053996979393387,47,47,0.0987544400522962,0.043597753150798,0.1410924979043731,47,38.86818596702986,24.43911853027813,63.62102569123104,47,1.631708842199933,1.2038748506535313,1.9853712366835887,47,training_seed_sensitivity,CellOT,CellOT,0.4803519648035196,0.5489736740611653,0.3891610838916108,False,125,0.2246868622165987,0.3259043033492269,NA,0.0255548804635405,0.0890702320435805,NA,0.1601412530197858,0.2758248000389187,NA,-0.0050661535311953,0.060165403025345,NA,-0.0060058151622282,0.0503056687777005,NA,-0.0352354770114618,0.0460348728901392,NA,A012_eight_additional_seed_context_outputs
HCC38,sensitivity_boundary_context,cellot_hcc_seed126_sensitivity_v1,training_seed_sensitivity,,NA,47,47,1.0,,47,0.41617761862957686,0.1459251607212468,0.6365736140826275,estimated,47,0.1503476064201509,0.0841429573623697,0.21360856770006262,47,0.8095238095238095,0.5,1.0,7,6,-0.041241584082042954,0.8162183781621838,estimated,47,1081,0.5245389496099799,0.05731255625356057,0.46722639335641936,47,47,-0.016186959872043192,0.02214992680773614,-0.03833688667977933,47,47,0.12487951201073082,0.06865344878058975,0.2093907359238183,47,25.906973862945286,17.106303189845324,29.04334611601217,47,1.1299426559334047,0.8497114107488026,1.5169002783995444,47,training_seed_sensitivity,CellOT,CellOT,0.0034996500349965005,0.0191980801919808,0.9328210036139243,False,126,0.4844063047381731,0.5646715944817868,NA,0.025554880463540597,0.08907023204358054,NA,0.4121358469423255,0.5223169397705132,NA,-0.022260430354851538,-0.010113489389234846,NA,-0.006005815162228298,0.050305668777700575,NA,-0.06730645508305806,-0.0093673182765006,NA,A012_eight_additional_seed_context_outputs
HCC38,sensitivity_boundary_context,cellot_hcc_seed127_sensitivity_v1,training_seed_sensitivity,,NA,47,47,1.0,,47,-0.11552137844149687,-0.4250616118233825,0.20119355306302686,estimated,47,0.09024151884319255,0.03358605852978417,0.1295195257159765,47,0.40476190476190477,0.07142857142857142,0.7619047619047619,7,6,-0.019824679498323224,0.6582341765823417,estimated,47,1081,0.3049279674995351,0.05731255625356057,0.24761541124597453,47,47,0.046577997674897884,0.02214992680773614,0.024428070867161745,47,47,0.04423350952205099,0.0005090232175890348,0.10575837573168557,47,69.90279327505928,50.97333720183569,92.23452280760984,47,2.1463934646525433,1.8101219550920167,2.9965289793603036,47,training_seed_sensitivity,CellOT,CellOT,0.4320567943205679,0.5489736740611653,0.9328210036139243,False,127,0.24693925911744044,0.3629166758816298,NA,0.025554880463540597,0.08907023204358054,NA,0.1810977224742108,0.31413310001773825,NA,-0.02753507696141541,0.12069107231121118,NA,-0.006005815162228298,0.050305668777700575,NA,-0.05341647002659408,0.10227261176091756,NA,A012_eight_additional_seed_context_outputs
